donor,media,sample,pre_mass,wet_mass,wet_biomass,wet_g_l
1,LB,1.1.1,1.03781,1.04486,0.00705,7.05
1,LB,1.1.2,1.04823,1.05526,0.00703,7.03
1,BB,1.2.1,1.04126,1.04765,0.00639,6.39
1,BB,1.2.2,1.04316,1.04947,0.00631,6.31
1,BHI,1.3.1,1.04186,1.05384,0.01198,11.98
1,BHI,1.3.2,1.03744,1.04808,0.01064,10.64
1,liver,1.4.1,1.04328,1.05685,0.01357,13.57
1,liver,1.4.2,1.03859,1.05103,0.01244,12.44
1,GAM,1.5.1,1.04307,1.05724,0.01417,14.17
1,GAM,1.5.2,1.03996,1.05494,0.01498,14.98
1,GMM,1.6.1,1.04434,1.05425,0.00991,9.91
1,GMM,1.6.2,1.04728,1.05732,0.01004,10.04
1,RCM,1.7.1,1.04097,1.08301,0.04204,42.04
1,RCM,1.7.2,1.0404,1.08237,0.04197,41.97
1,MRS,1.8.1,1.04237,1.05537,0.013,13
1,MRS,1.8.2,1.04358,1.05297,0.00939,9.39
1,TB,1.9.1,1.04257,1.05749,0.01492,14.92
1,TB,1.9.2,1.0423,1.05584,0.01354,13.54
1,BG,1.10.1,1.03969,1.04796,0.00827,8.27
1,BG,1.10.2,1.04326,1.05168,0.00842,8.42
2,LB,2.1.1,1.04556,1.05397,0.00841,8.41
2,LB,2.1.2,1.04284,1.05273,0.00989,9.89
2,BB,2.2.1,1.04181,1.04646,0.00465,4.65
2,BB,2.2.2,1.03906,1.04395,0.00489,4.89
2,BHI,2.3.1,1.04467,1.05443,0.00976,9.76
2,BHI,2.3.2,1.04329,1.05487,0.01158,11.58
2,liver,2.4.1,1.04395,1.05493,0.01098,10.98
2,liver,2.4.2,1.04372,1.05857,0.01485,14.85
2,GAM,2.5.1,1.04944,1.06383,0.01439,14.39
2,GAM,2.5.2,1.04753,1.06195,0.01442,14.42
2,GMM,2.6.1,1.04294,1.05055,0.00761,7.61
2,GMM,2.6.2,1.0422,1.05234,0.01014,10.14
2,RCM,2.7.1,1.04411,1.08425,0.04014,40.14
2,RCM,2.7.2,1.04099,1.0815,0.04051,40.51
2,MRS,2.8.1,1.04046,1.04871,0.00825,8.25
2,MRS,2.8.2,1.04444,1.05875,0.01431,14.31
2,TB,2.9.1,1.04105,1.05535,0.0143,14.3
2,TB,2.9.2,1.04209,1.05416,0.01207,12.07
2,BG,2.10.1,1.04347,1.05025,0.00678,6.78
2,BG,2.10.2,1.04099,1.05,0.00901,9.01
3,LB,3.1.1,1.04058,1.0485,0.00792,7.92
3,LB,3.1.2,1.04091,1.05053,0.00962,9.62
3,BB,3.2.1,1.04895,1.0546,0.00565,5.65
3,BB,3.2.2,1.04326,1.04796,0.0047,4.7
3,BHI,3.3.1,1.03795,1.05108,0.01313,13.13
3,BHI,3.3.2,1.04294,1.05688,0.01394,13.94
3,liver,3.4.1,1.04323,1.05739,0.01416,14.16
3,liver,3.4.2,1.04334,1.0596,0.01626,16.26
3,GAM,3.5.1,1.04645,1.06266,0.01621,16.21
3,GAM,3.5.2,1.04276,1.05756,0.0148,14.8
3,GMM,3.6.1,1.04267,1.05441,0.01174,11.74
3,GMM,3.6.2,1.04531,1.05662,0.01131,11.31
3,RCM,3.7.1,1.04444,1.08009,0.03565,35.65
3,RCM,3.7.2,1.04303,1.08255,0.03952,39.52
3,MRS,3.8.1,1.04346,1.05842,0.01496,14.96
3,MRS,3.8.2,1.04396,1.05972,0.01576,15.76
3,TB,3.9.1,1.04365,1.06211,0.01846,18.46
3,TB,3.9.2,1.03866,1.0561,0.01744,17.44
3,BG,3.10.1,1.03854,1.04815,0.00961,9.61
3,BG,3.10.2,1.0457,1.05608,0.01038,10.38
4,LB,4.1.1,1.04414,1.04998,0.00584,5.84
4,LB,4.1.2,1.04259,1.05148,0.00889,8.89
4,BB,4.2.1,1.04021,1.04704,0.00683,6.83
4,BB,4.2.2,1.04532,1.05178,0.00646,6.46
4,BHI,4.3.1,1.04441,1.0567,0.01229,12.29
4,BHI,4.3.2,1.04047,1.05466,0.01419,14.19
4,liver,4.4.1,1.04352,1.05656,0.01304,13.04
4,liver,4.4.2,1.04484,1.05692,0.01208,12.08
4,GAM,4.5.1,1.04351,1.06055,0.01704,17.04
4,GAM,4.5.2,1.04739,1.06579,0.0184,18.4
4,GMM,4.6.1,1.04117,1.05228,0.01111,11.11
4,GMM,4.6.2,1.04287,1.05296,0.01009,10.09
4,RCM,4.7.1,1.04617,1.08126,0.03509,35.09
4,RCM,4.7.2,1.03966,1.07417,0.03451,34.51
4,MRS,4.8.1,1.04009,1.05087,0.01078,10.78
4,MRS,4.8.2,1.04414,1.05443,0.01029,10.29
4,TB,4.9.1,1.04731,1.0654,0.01809,18.09
4,TB,4.9.2,1.0431,1.06092,0.01782,17.82
4,BG,4.10.1,1.04157,1.05118,0.00961,9.61
4,BG,4.10.2,1.041,1.05063,0.00963,9.63
5,LB,5.1.1,1.0459,1.05443,0.00853,8.53
5,LB,5.1.2,1.04378,1.05277,0.00899,8.99
5,BB,5.2.1,1.04185,1.04693,0.00508,5.08
5,BB,5.2.2,1.04374,1.04898,0.00524,5.24
5,BHI,5.3.1,1.03832,1.05057,0.01225,12.25
5,BHI,5.3.2,1.04475,1.05666,0.01191,11.91
5,liver,5.4.1,1.04859,1.06109,0.0125,12.5
5,liver,5.4.2,1.04598,1.05861,0.01263,12.63
5,GAM,5.5.1,1.04389,1.06399,0.0201,20.1
5,GAM,5.5.2,1.04087,1.0598,0.01893,18.93
5,GMM,5.6.1,1.03821,1.05112,0.01291,12.91
5,GMM,5.6.2,1.04242,1.05279,0.01037,10.37
5,RCM,5.7.1,1.04174,1.07643,0.03469,34.69
5,RCM,5.7.2,1.0369,1.07084,0.03394,33.94
5,MRS,5.8.1,1.03833,1.05174,0.01341,13.41
5,MRS,5.8.2,1.04445,1.05741,0.01296,12.96
5,TB,5.9.1,1.03983,1.05423,0.0144,14.4
5,TB,5.9.2,1.04514,1.05957,0.01443,14.43
5,BG,5.10.1,1.04357,1.05357,0.01,10
5,BG,5.10.2,1.04537,1.05426,0.00889,8.89
6,LB,6.1.1,1.03715,1.04523,0.00808,8.08
6,LB,6.1.2,1.04263,1.05059,0.00796,7.96
6,BB,6.2.1,1.04534,1.04737,0.00203,2.03
6,BB,6.2.2,1.04389,1.0459,0.00201,2.01
6,BHI,6.3.1,1.04552,1.06046,0.01494,14.94
6,BHI,6.3.2,1.04195,1.05475,0.0128,12.8
6,liver,6.4.1,1.0428,1.05793,0.01513,15.13
6,liver,6.4.2,1.04029,1.05583,0.01554,15.54
6,GAM,6.5.1,1.04292,1.06313,0.02021,20.21
6,GAM,6.5.2,1.0427,1.06109,0.01839,18.39
6,GMM,6.6.1,1.04955,1.06163,0.01208,12.08
6,GMM,6.6.2,1.04839,1.0582,0.00981,9.81
6,RCM,6.7.1,1.04546,1.08636,0.0409,40.9
6,RCM,6.7.2,1.04304,1.08335,0.04031,40.31
6,MRS,6.8.1,1.04682,1.06827,0.02145,21.45
6,MRS,6.8.2,1.04492,1.06357,0.01865,18.65
6,TB,6.9.1,1.0395,1.0539,0.0144,14.4
6,TB,6.9.2,1.03865,1.05144,0.01279,12.79
6,BG,6.10.1,1.04261,1.05001,0.0074,7.4
6,BG,6.10.2,1.04361,1.05143,0.00782,7.82
7,LB,7.1.1,1.04555,1.05459,0.00904,9.04
7,LB,7.1.2,1.04388,1.05291,0.00903,9.03
7,BB,7.2.1,1.04288,1.04845,0.00557,5.57
7,BB,7.2.2,1.04409,1.05058,0.00649,6.49
7,BHI,7.3.1,1.04436,1.05626,0.0119,11.9
7,BHI,7.3.2,1.0423,1.05496,0.01266,12.66
7,liver,7.4.1,1.0434,1.05246,0.00906,9.06
7,liver,7.4.2,1.04014,1.05046,0.01032,10.32
7,GAM,7.5.1,1.04541,1.06182,0.01641,16.41
7,GAM,7.5.2,1.04339,1.06043,0.01704,17.04
7,GMM,7.6.1,1.04732,1.05637,0.00905,9.05
7,GMM,7.6.2,1.04613,1.05455,0.00842,8.42
7,RCM,7.7.1,1.04296,1.07587,0.03291,32.91
7,RCM,7.7.2,1.03747,1.07012,0.03265,32.65
7,MRS,7.8.1,1.04067,1.05179,0.01112,11.12
7,MRS,7.8.2,1.04504,1.05491,0.00987,9.87
7,TB,7.9.1,1.04705,1.06388,0.01683,16.83
7,TB,7.9.2,1.04808,1.06419,0.01611,16.11
7,BG,7.10.1,1.04361,1.05434,0.01073,10.73
7,BG,7.10.2,1.03719,1.04798,0.01079,10.79
8,LB,8.1.1,1.04242,1.05099,0.00857,8.57
8,LB,8.1.2,1.04107,1.0505,0.00943,9.43
8,BB,8.2.1,1.042,1.04949,0.00749,7.49
8,BB,8.2.2,1.04551,1.0529,0.00739,7.39
8,BHI,8.3.1,1.04343,1.05967,0.01624,16.24
8,BHI,8.3.2,1.0389,1.05648,0.01758,17.58
8,liver,8.4.1,1.03894,1.05531,0.01637,16.37
8,liver,8.4.2,1.03936,1.05412,0.01476,14.76
8,GAM,8.5.1,1.04538,1.06607,0.02069,20.69
8,GAM,8.5.2,1.04502,1.06548,0.02046,20.46
8,GMM,8.6.1,1.0408,1.05319,0.01239,12.39
8,GMM,8.6.2,1.04563,1.05839,0.01276,12.76
8,RCM,8.7.1,1.03797,1.07504,0.03707,37.07
8,RCM,8.7.2,1.04367,1.0811,0.03743,37.43
8,MRS,8.8.1,1.04493,1.05757,0.01264,12.64
8,MRS,8.8.2,1.04317,1.05686,0.01369,13.69
8,TB,8.9.1,1.04326,1.06178,0.01852,18.52
8,TB,8.9.2,1.04388,1.06157,0.01769,17.69
8,BG,8.10.1,1.04227,1.05502,0.01275,12.75
8,BG,8.10.2,1.0443,1.0551,0.0108,10.8
9,LB,9.1.1,1.04363,1.05132,0.00769,7.69
9,LB,9.1.2,1.03982,1.04885,0.00903,9.03
9,BB,9.2.1,1.03842,1.04538,0.00696,6.96
9,BB,9.2.2,1.04067,1.04744,0.00677,6.77
9,BHI,9.3.1,1.0375,1.05085,0.01335,13.35
9,BHI,9.3.2,1.04589,1.05856,0.01267,12.67
9,liver,9.4.1,1.04396,1.05536,0.0114,11.4
9,liver,9.4.2,1.03954,1.05062,0.01108,11.08
9,GAM,9.5.1,1.03877,1.05509,0.01632,16.32
9,GAM,9.5.2,1.04047,1.05601,0.01554,15.54
9,GMM,9.6.1,1.04947,1.0656,0.01613,16.13
9,GMM,9.6.2,1.04288,1.05622,0.01334,13.34
9,RCM,9.7.1,1.04183,1.08774,0.04591,45.91
9,RCM,9.7.2,1.03752,1.08491,0.04739,47.39
9,MRS,9.8.1,1.03962,1.05816,0.01854,18.54
9,MRS,9.8.2,1.03787,1.05729,0.01942,19.42
9,TB,9.9.1,1.04322,1.05845,0.01523,15.23
9,TB,9.9.2,1.04925,1.06397,0.01472,14.72
9,BG,9.10.1,1.04148,1.05141,0.00993,9.93
9,BG,9.10.2,1.04432,1.05702,0.0127,12.7
10,LB,10.1.1,1.04277,1.05201,0.00924,9.24
10,LB,10.1.2,1.04738,1.05704,0.00966,9.66
10,BB,10.2.1,1.04344,1.05139,0.00795,7.95
10,BB,10.2.2,1.04181,1.04761,0.0058,5.8
10,BHI,10.3.1,1.03849,1.0529,0.01441,14.41
10,BHI,10.3.2,1.03766,1.05093,0.01327,13.27
10,liver,10.4.1,1.04386,1.05927,0.01541,15.41
10,liver,10.4.2,1.04352,1.05717,0.01365,13.65
10,GAM,10.5.1,1.04452,1.05875,0.01423,14.23
10,GAM,10.5.2,1.04269,1.0588,0.01611,16.11
10,GMM,10.6.1,1.04565,1.05637,0.01072,10.72
10,GMM,10.6.2,1.04014,1.05044,0.0103,10.3
10,RCM,10.7.1,1.04738,1.08402,0.03664,36.64
10,RCM,10.7.2,1.03835,1.07554,0.03719,37.19
10,MRS,10.8.1,1.04236,1.06549,0.02313,23.13
10,MRS,10.8.2,1.04337,1.06377,0.0204,20.4
10,TB,10.9.1,1.04155,1.05745,0.0159,15.9
10,TB,10.9.2,1.04518,1.0616,0.01642,16.42
10,BG,10.10.1,1.04393,1.0552,0.01127,11.27
10,BG,10.10.2,1.04269,1.05443,0.01174,11.74
11,LB,11.1.1,1.03898,1.04573,0.00675,6.75
11,LB,11.1.2,1.03747,1.04779,0.01032,10.32
11,BB,11.2.1,1.0388,1.04379,0.00499,4.99
11,BB,11.2.2,1.04678,1.05204,0.00526,5.26
11,BHI,11.3.1,1.04384,1.05611,0.01227,12.27
11,BHI,11.3.2,1.04213,1.05502,0.01289,12.89
11,liver,11.4.1,1.04344,1.0546,0.01116,11.16
11,liver,11.4.2,1.04659,1.05556,0.00897,8.97
11,GAM,11.5.1,1.0424,1.05878,0.01638,16.38
11,GAM,11.5.2,1.04643,1.06246,0.01603,16.03
11,GMM,11.6.1,1.04316,1.05474,0.01158,11.58
11,GMM,11.6.2,1.04374,1.05323,0.00949,9.49
11,RCM,11.7.1,1.04188,1.0846,0.04272,42.72
11,RCM,11.7.2,1.04726,1.09132,0.04406,44.06
11,MRS,11.8.1,1.04604,1.05586,0.00982,9.82
11,MRS,11.8.2,1.04202,1.05365,0.01163,11.63
11,TB,11.9.1,1.04212,1.05796,0.01584,15.84
11,TB,11.9.2,1.04337,1.05899,0.01562,15.62
11,BG,11.10.1,1.04649,1.05549,0.009,9
11,BG,11.10.2,1.04271,1.05096,0.00825,8.25
