sample,count
1A.1,36726
1A.2,33259
1A.3,27776
1A.4,31918
1A.5.1,29129
1A.5.2,29830
1A.5.3,27497
1B.5.1,26338
1B.5.2,31958
1B.5.3,27063
2A.1,28233
2A.2,14579
2A.3,25303
2A.4,25367
2A.5.1,30242
2A.5.2,31916
2A.5.3,31219
2B.5.1,31086
2B.5.2,25785
2B.5.3,27449
3A.1,32745
3A.2,23861
3A.3,29356
3A.4,24820
3A.5.1,25902
3A.5.2,25544
3A.5.3,33508
3B.5.1,40774
3B.5.2,35916
3B.5.3,35344
4A.1,34035
4A.2,34417
4A.3,35787
4A.4,27174
4A.5.1,36409
4A.5.2,29796
4A.5.3,33055
4B.5.1,30191
4B.5.2,41689
4B.5.3,44068
5A.1,40487
5A.2,43055
5A.3,40007
5A.4,38768
5A.5.1,37724
5A.5.2,31924
5A.5.3,37211
5B.5.1,32598
5B.5.2,35617
5B.5.3,35177
6A.1,25758
6A.2,26725
6A.3,25091
6A.4,27141
6A.5.1,25599
6A.5.2,22471
6A.5.3,28063
6B.5.1,23783
6B.5.2,25797
6B.5.3,24590
7A.1,23078
7A.2,25541
7A.3,33122
7A.4,37150
7A.5.1,24133
7A.5.2,30366
7A.5.3,31875
7B.5.1,27393
7B.5.2,34060
7B.5.3,27479
8A.1,33412
8A.2,26190
8A.3,25479
8A.4,28635
8A.5.1,44871
8A.5.2,39988
8A.5.3,33479
8B.5.1,34566
8B.5.2,31725
8B.5.3,30027
9A.1,36153
9A.2,25183
9A.3,31723
9A.4,28545
9A.5.1,28478
D10-feces,27284
D1-feces,34449
D2-feces,39103
D3-feces,35892
D4-feces,27869
D5-feces,29435
D6-feces,31245
D7-feces,32829
D8-feces,29186
D9-feces,32940
Blank-P1,596
D11-feces,35458
D12-feces,38830
D13-feces,38407
D14-feces,30757
D15-feces,30775
D16-feces,35595
D17-feces,33436
D18-feces,31457
D19-feces,37880
D20-feces,29952
10A.1,38563
10A.2,39504
10A.3,26666
10A.4,31555
10A.5.1,29277
11A.1,28972
11A.2,24120
11A.3,30263
11A.4,26671
11A.5.1,26844
12A.1,30538
12A.2,21806
12A.3,27234
12A.4,28921
12A.5.1,27710
13A.1,33563
13A.2,29507
13A.3,31556
13A.4,32982
13A.5.1,32177
14A.1,32347
14A.2,900
14A.3,32221
14A.4,26348
14A.5.1,29611
15A.1,36859
15A.2,33063
15A.3,39630
15A.4,33509
15A.5.1,34489
16A.1,36588
16A.2,34940
16A.3,37329
16A.4,26590
16A.5.1,36652
17A.1,32455
17A.2,27335
17A.3,35053
17A.4,39651
17A.5.1,49740
18A.1,43656
18A.2,47814
18A.3,44790
18A.4,42103
18A.5.1,41116
19A.1,38106
19A.2,43064
19A.3,34321
19A.4,37067
19A.5.1,42059
20A.1,24536
20A.2,28927
20A.3,25271
20A.4,27904
20A.5.1,25484
D1-GMM,29646
D1-RCM,26428
D1-MRS,24555
D1-TB,27063
D1-BG,26926
D2-GMM,25330
D2-RCM,29433
D2-MRS,29404
D2-TB,37643
