Compound Method,BG-2X-P2-E1,MeOH-1,BG-2X-P2-A1,BG-2X-P2-A2,BG-2X-P2-A3,BG-2X-P2-A5,BG-2X-P2-A6,BG-2X-P2-A7,BG-2X-P2-A9,BG-2X-P2-A10,BG-2X-P2-A11,BG-2X-P2-B1,BG-2X-P2-B2,BG-2X-P2-B3,BG-2X-P2-B5,BG-2X-P2--B6,BG-2X-P2-B7,BG-2X-P2-B9,BG-2X-P2-B10,BG-2X-P2-B11,BG-2X-P2-C1,BG-2X-P2-C2,BG-2X-P2-C3,BG-2X-P2-C5,BG-2X-P2-C6,BG-2X-P2-C7,BG-2X-P2-C9,BG-2X-P2-C10,BG-2X-P2-C11,BG-2X-P2-D1,BG-2X-P2-D2,BG-2X-P2-D3,BG-2X-P2-D5,BG-2X-P2-D6,BG-2X-P2-D7,BG-2X-P2-D9,BG-2X-P2-D10,BG-2X-P2--D11,BG-2X-P2-E2,BG-2X-P2-E3,BG-2X-P2-E5,BG-2X-P2-E6,BG-2X-P2-E7,BG-2X-P2-E9,BG-2X-P2-E10,BG-2X-P2-E11,BG-2X-P2-F1,BG-2X-P2-F2,BG-2X-P2-F3,BG-2X-P2-F5,BG-2X-P2-F6,BG-2X-P2-F7,BG-2X-P2-F9,BG-2X-P2-F10,BG-2X-P2-F11,BG-2X-P2-G1,BG-2X-P2-G2,BG-2X-P2-G3,BG-2X-P2-G5,BG-2X-P2-G6,BG-2X-P2-G7,BG-2X-P2-G9,BG-2X-P2-H1,BG-2X-P2-H2,BG-2X-P2-H3,BG-2X-P2-H5,BG-2X-P2-H6,BG-2X-P2-H7,BG-2X-P2-H9,BG-2X-P2-H10,MeOH-2,BG-2X-P2-G10,BG-2X-P2-G11,BG-2X-P2-H11
Name,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.
voriconazole,1683754,4647,1950517,1905073,1768869,1863620,1883094,1822563,1919347,1937570,1890482,1990790,1866558,1853340,1882764,1931985,1840565,1907524,1945605,1863003,1815294,1915027,1819276,1786976,1865061,1818267,1754352,1854949,1757313,1633601,1628338,1684949,1660534,1685758,1719313,1500768,1741685,1644344,1660166,1688451,1737611,1795338,1669586,1685987,1636761,1657206,1933257,1762464,1802017,1749037,1794885,1600533,1664563,1618193,1659352,1788364,1772770,1732006,1572098,1739282,1722857,1723607,1860615,1873724,1808953,1632312,1701055,1633624,1632450,1733415,3427,1849659,1663275,1419109
hydrocortisone,2617,3470,5475,4554,4412,1113979,1116498,1052212,3780,3605,4592,2004,3751,3684,2739,5332,4196,2327,3655,3181,2460,2285,3039,4639,3544,3691,3362,2412,1876,2674,2977,1843,2980,2806,2750,2747,2819,2755,2514,2688,2739,2075,2536,3102,2022,3679,2981,1995,2142,2521,2204,2152,2650,2856,3504,3271,2438,3327,2053,1926,2559,4150,2734,2247,2363,1772,2876,2055,2787,2466,2727,1058,2822,2679
capecitabine,,,1391177,1304680,1222667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tolcapone_met_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5316,1801,2576,,,,,,,,,,,,,,,,
nicardipine,,,,,,,,,,,,8914869,8454508,8372199,2117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tolcapone,,,,,,,,,,,,,,,22499,27088,25784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mycophenolate_mofetil,,,942,2065,,,,,,,,,,,,,,,,,3270557,3436594,3312998,1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sulfasalazine_met_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,,,,,,,,,,,,75024,88860,72339,,,,,,,,,,,,,,,,,,,,,,
spironolactone,,4325,,,,,,,,,,,,,,,,,,,,,,896292,860921,878426,,,,,,,,,,,778,,,,,,,,,,,,,,,,,,,,,,,,698,,344,,,,762,,,647,,627,,
