name,digoxin_met_1
HK-2X-P1-E1,0
BG-2X-P2-E1,0
BG-2X-P2-E2,0
BG-2X-P2-E3,0
HK-2X-P1-E2,782
HK-2X-P1-E3,453
D10-2X-P2-E1,0
D10-2X-P2-E2,62126
D10-2X-P2-E3,58582
D11-2X-P1-E1,77173
D11-2X-P1-E2,101843
D11-2X-P1-E3,102683
D12-2X-P2-E1,0
D12-2X-P2-E2,0
D12-2X-P2-E3,0
D1-2X-P2-E1,0
D1-2X-P2-E2,0
D1-2X-P2-E3,0
D13-2X-P1-E1,0
D13-2X-P1-E2,0
D13-2X-P1-E3,0
D14-2X-P2-E1,0
D14-2X-P2-E2,0
D14-2X-P2-E3,3757
D15-2X-P1-E1,0
D15-2X-P1-E2,0
D15-2X-P1-E3,0
D16-2X-P1-E1,21214
D16-2X-P1-E2,62395
D16-2X-P1-E3,72270
D17-2X-P1-E1,0
D17-2X-P1-E2,20567
D17-2X-P1-E3,21541
D18-2X-P2-E1,1332
D18-2X-P2-E2,0
D18-2X-P2-E3,0
D19-2X-P1-E1,0
D19-2X-P1-E2,0
D19-2X-P1-E3,0
D20-2X-P1-E1,0
D20-2X-P1-E2,0
D20-2X-P1-E3,680
D2-2X-P1-E1,0
D2-2X-P1-E2,0
D2-2X-P1-E3,0
D3-2X-P1-E1,0
D3-2X-P1-E2,0
D3-2X-P1-E3,0
D4-2X-P1-E1,0
D4-2X-P1-E2,0
D4-2X-P1-E3,0
D5-2X-P1-E1,245821
D5-2X-P1-E2,265714
D5-2X-P1-E3,274108
D6-2X-P1-E1,231
D6-2X-P1-E2,9626
D6-2X-P1-E3,10901
D7-2X-P1-E1,0
D7-2X-P1-E2,34220
D7-2X-P1-E3,0
D8-2X-P1-E1,0
D8-2X-P1-E2,0
D8-2X-P1-E3,0
D9-2X-P1-E1,258910
D9-2X-P1-E2,285305
D9-2X-P1-E3,296905
D10-2X-P2-H10,0
D10-2X-P2-H11,0
D10-2X-P2-H9,0
D11-2X-P1-H10,0
D11-2X-P1-H11,0
D11-2X-P1-H9,0
D12-2X-P2-H10,0
D12-2X-P2-H11,0
D12-2X-P2-H9,0
D1-2X-P2-H10,0
D1-2X-P2-H11,0
D1-2X-P2-H9,0
D13-2X-P1-H10,0
D13-2X-P1-H11,0
D13-2X-P1-H9,0
D14-2X-P2-H10,0
D14-2X-P2-H11,0
D14-2X-P2-H9,0
D15-2X-P1-H10,0
D15-2X-P1-H11,0
D15-2X-P1-H9,0
D16-2X-P1-H10,0
D16-2X-P1-H11,0
D16-2X-P1-H9,0
D17-2X-P1-H10,0
D17-2X-P1-H11,0
D17-2X-P1-H9,0
D19-2X-P1-H10,0
D19-2X-P1-H11,0
D19-2X-P1-H9,0
D20-2X-P1-H10,0
D20-2X-P1-H11,0
D20-2X-P1-H9,0
D2-2X-P1-H10,0
D2-2X-P1-H11,0
D2-2X-P1-H9,0
D3-2X-P1-H10,0
D3-2X-P1-H11,0
D3-2X-P1-H9,0
D4-2X-P1-H10,0
D4-2X-P1-H11,0
D4-2X-P1-H9,0
D6-2X-P1-H10,0
D6-2X-P1-H11,0
D6-2X-P1-H9,0
D7-2X-P1-H10,0
D7-2X-P1-H11,0
D7-2X-P1-H9,0
D8-2X-P1-H10,0
D8-2X-P1-H11,0
D8-2X-P1-H9,0
D9-2X-P1-H10,0
D9-2X-P1-H11,0
D9-2X-P1-H9,0
D18-2X-P2-H10,0
D18-2X-P2-H11,0
D18-2X-P2-H9,0
D5-2X-P1-H10,0
D5-2X-P1-H11,0
D5-2X-P1-H9,0
