Compound Method,x4,x1,x2,x3,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
Name,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.
voriconazole,3038740,3044688,3053370,3011674,2995923,2998525,2999748,3103947,3058635,2975366,3164611,2995826,2822549,2910456,2956714,2974847,2886116,2800525,2846987,2991849,2941399,2922091,2892242,2931008,2921080,2905223,2878914,2922345,2957835,2980731,2876596,2988773,2934557,2970843,3073109,2968678,3008221,2992853,2962746,2928975
hydrocortisone,2812769,2888230,2865410,2799887,2807912,2778148,2791285,2833080,2824920,2839950,2993648,2793660,2677419,2748878,2742164,2756835,2704137,2639394,2697476,2780591,2721765,2757333,2741005,2720995,2706901,2695941,2712958,2752317,2728661,2689497,2668777,2796716,2752518,2779785,2760014,2706574,2723528,2712952,2752084,2738377
capecitabine,604,551,745,564,721,1357,2811,528,606,620,951,1072,1068,1172,,483,418,530,783,582,505,902,,667,2165,,592,,,591,571,1127,,,915,,,,564,620
tolcapone_met_1,,,,,,,,,,,1065,,,,,,,,,,,,,586,,,,,,,,,,,,,,,,704
nicardipine,,541,1263,,604,832,532,,,,569,,,,,,,,,,,,,,,,,,,,,516,,,,,,760,,
tolcapone,,,,,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mycophenolate_mofetil,4581,4936,6266,3174,2766,5522,4692,3702,4025,4103,5457,2470,3846,3868,2629,,1915,1905,1935,1340,2941,1467,2741,2313,2593,2051,2517,,1111,2150,1677,1120,3924,1233,1781,1734,967,945,950,2088
sulfasalazine_met_1,954,1127,754,1441,,,793,634,1086,883,1176,745,1202,1020,,1203,905,,,,959,898,,,,,581,743,530,,1018,,,952,1209,1791,719,1058,1099,
spironolactone,3969,1441,2837,2942,757,1331,2827,1837,2998,3143,3818,,758,,,,,739,,,,530,748,518,400,,,629,,505,,,,819,,,721,,1402,336
