Compound Method,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x1,x2,x3,x4,x5
Name,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.
voriconazole,2994291,2978415,3021674,2960335,2962864,2992323,2986631,2944735,2954521,2973175,2960971,2975825,2996471,2979789,2996411,2919634,2899664,2975248,2954435,3005059,2979815,2928313,2996980,2942215,2981053,2799612,2920137,2922397,2869071,2914564,2990757,2946948,2993301,2972153,2973245,3091038,2925196,2935557,3012139,2975959
hydrocortisone,2810681,2875883,2833781,2845547,2847069,2857045,2860908,2784919,2819295,2867262,2807960,2835351,2847456,2844198,2861547,2796550,2836948,2855774,2796848,2703729,2811906,2816691,2856751,2856033,2870610,2691613,2802055,2746222,2835399,2822768,2809136,2851401,2864131,2853783,2818368,2919113,2819259,2793928,2823086,2793498
capecitabine,3882,,3780,2128,4664,,3139,1639,3053,2801,,1075,,,1625,5033,3405,3685,5430,1998,4525,2225,5439,732,3817,2987,1074,2855,3282,6456,5516,2421,2106,1836,9235,3094,6342,5132,2344,3363
tolcapone_met_1,12253,20485,30170,24017,20333,31281,28466,27830,30593,27913,25228,22999,35515,23685,25269,22823,19113,21038,24833,23209,20858,1231,20001,25447,25865,15028,22972,20133,21703,24889,18165,22953,22441,22348,25168,22151,21270,26931,21337,25846
nicardipine,3505,,523,,3916,4670,2572,,6359,6116,3917,9592,4395,,1200,,,4220,,,,,463,597,918,1182,2277,,3496,,929,,,4621,,,2557,3168,7044,
tolcapone,1618,,,,,,,,,,602,,,,,,,,,,,,,,,,,,478,,,,,,,,,,,
mycophenolate_mofetil,10385,11443,20113,13454,5413,4841,2468,2032,8908,13382,17072,5739,14301,12106,,4232,,1846,9311,13073,10290,8605,,8011,5307,4916,6641,7754,1604,10696,10625,10145,,1041,8956,9957,8491,9033,10436,7749
sulfasalazine_met_1,844,3975,2778,2555,2922,932,4674,1756,,1936,1721,2119,3651,2712,3633,3600,2278,1582,1972,,588,3040,953,2773,2615,3930,1993,1796,589,2330,1285,1479,2428,931,571,1580,1934,396,2271,4189
spironolactone,4052,2899,,4186,4900,5925,3503,4036,3547,4897,4307,4642,4720,3981,4572,5030,2516,3431,5828,,370,932,4802,2926,950,4839,6362,3048,,,5456,6948,4154,2329,8401,4616,594,5077,6124,3911
