Compound Method,x25,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
Name,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.
capecitabine_met_1,2429,2588,2373,,,827,1578,1647,,860,,3150,1145,2715,1709,1008,5139,1032,1381,544,1644,1021,1944,2537,1073,,736,635,511,710,1523,2183,1080,2300,696,1253,1858,572,827,682
vorinostat_met_1,99294,140340,45663,110909,83011,103889,90822,124920,133971,121504,100117,129398,113154,108315,59224,100472,132052,89899,131063,119823,112616,101436,103364,122377,67460,88928,120298,91722,86075,103169,44039,81832,94150,87592,111307,78285,43251,70504,82105,92795
sulfasalazine_met_1,,518,500,,728,,,,653,612,582,713,512,743,951,,487,,847,820,527,503,,,,547,598,,,,1051,,765,,551,1026,615,,,
ketoprofen,537,,,,,569,,,841,,,,,392,,,503,708,,550,544,,,,,821,,,,,708,,,,,269,,,,
ropinirole,508,1305,,739,,881,,,,573,,617,,505,577,,312,,,,,,,546,,,,688,,,,,837,,,,,983,536,670
vorinostat,,,,1754,7995,2130,1763,3251,2011,5145,5367,,2337,8282,1321,1164,6993,5392,,3038,5133,1233,4454,2633,7685,4425,4917,,1442,3397,4556,3080,3535,,3617,3120,453,,,
tolcapone,,,,,,,,,,,,,,,,,632,,,,,,,,,,,,825,,,,,,,,,,,
clonazepam_met_1,6092,3560,1135,1795,1703,6644,3952,9614,2358,7552,8256,10838,10442,928,6849,2383,8751,1463,4456,7741,1103,8562,9914,6066,3982,3829,12355,843,,1270,2148,682,504,3122,9277,5472,6884,1768,6412,11280
tolcapone_met_1,,721,1063,1281,1512,704,745,902,737,577,771,1389,875,358,,762,788,,1162,1977,1405,924,643,,701,854,,1281,641,618,1139,,,254,,616,555,522,942,830
duloxetine,657,764,,,511,,,,,,,1182,897,,,,43388,,,,,,,,616,498,,,,,,1632,1302,,,,,,587,
mycophenolate_mofetil_met_1,1300,585,,,522,,,621,,606,,604,485,,340,730,486,,727,1119,635,,,668,516,,518,663,572,638,,,,,620,,596,,323,
praziquantel,771,733,966,,816,670,,678,,718,,1091,854,,658,,560,,548,1033,1238,1114,,337,,,1178,,,1308,,,611,,527,572,934,810,797,
levonorgestrel,1042,3192,1042,3095,654,924,1059,1103,952,3248,1083,,2166,849,545,888,4400,657,4327,1364,4835,3146,3925,1233,832,511,2767,1646,2235,3450,630,281,1915,1400,485,818,,3171,1556,3055
clonazepam,,,,,,,,,,,,,,,,,,582,,,,,,632,,767,514,720,,,813,,,,,,,,,
mycophenolate_mofetil_met_2,776,629,,473,,739,864,638,618,1022,,781,,,,,1312,962,,383,798,520,1035,543,882,,667,,1014,538,576,,,497,1099,617,,,1631,846
dolasetron,8598,6936,8487,10689,7648,5208,4523,9985,13324,8520,6142,13190,7066,11482,5255,,11593,9694,6382,4341,7979,4507,8909,7477,8620,9544,5808,13846,6340,14274,6403,7029,7456,8873,10565,6933,2293,5667,4381,8120
sulindac_met_1,,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spironolactone,1217,629,,598,,1315,,1261,,1566,634,798,302,,653,,1207,,451,,,1258,,581,,,,613,691,1831,652,,1245,,1099,579,1178,1101,1601,533
torsemide,,1612,,844,860,1096,368,,844,555,1843,1211,1051,1147,,1200,,,985,565,,514,1794,1137,484,1557,1109,1379,840,463,1343,719,496,,,800,1010,,1119,559
voriconazole,3149219,3125409,3101295,3062738,3183922,3119020,3054264,3071510,3086356,3146975,3142371,3146322,3106472,3082373,3095012,3070069,3079781,3132739,3075275,3138285,3120550,3062524,3133254,3147048,3124932,3138388,3061597,3084449,3078759,3120780,3080913,3050855,3177198,3143088,3218816,3181813,3121155,3067047,3121587,3194720
sulindac,648,,618,,,,,,,,,514,,,758,979,908,,,,,,949,,499,,,527,,,,,,,,,,,,
capecitabine,1161,3042,1370,593,664,1617,481,2204,1573,3058,1303,873,1415,,1689,1260,1451,1316,1220,627,1549,1685,1215,,1991,1844,950,2431,957,435,979,1205,1904,819,1354,,1018,1387,1004,1598
hydrocortisone,2551428,2602600,2551033,2538204,2572379,2555970,2506011,2571899,2547728,2600310,2596350,2591810,2539846,2579349,2568924,2569489,2546639,2619849,2549084,2591185,2569375,2547022,2545496,2607641,2452865,2573507,2526577,2537523,2548702,2569298,2571475,2569641,2505822,2548119,2601961,2592889,2634516,2608196,2555026,2597386
hydrocortisone_met_1,7511,4109,6557,103477,68270,9070,,7614,99828,59985,43800,5906,8841,4692,96902,1837,3946,5007,1819,3635,3476,13459,38547,8837,11024,37803,8067,79733,3902,4044,,70566,5619,,8051,,5602,,4615,4232
misoprostol,,,619,828,,,,,,637,777,,753,306,877,575,893,689,563,849,345,565,1130,493,650,699,418,,541,774,979,695,582,276,,,874,1300,582,1185
spironolactone_met_1,3412,2487,1031,1360,812,2534,2321,3036,1143,1701,1034,5602,645,1978,495,488,5237,3828,1560,725,773,840,904,2055,3622,2536,1194,1274,527,,1333,1755,664,639,622,2123,529,908,1281,2053
misoprostol_met_1,10983,10466,7041,10302,11420,10602,6536,20222,11248,11168,9752,9434,7383,6335,3425,16000,29200,9075,15887,5883,8137,10793,19944,9939,7538,11261,11808,11154,9556,8901,8103,6408,9790,5134,15175,7376,3245,4729,4918,4805
sulfasalazine,995,,,,721,,,720,929,,,981,747,1722,644,615,,,1175,1118,507,2315,893,,913,,1075,1096,923,,801,,,893,1495,,528,910,1394,1394
lovastatin,538,1227,1040,2001,539,1641,1525,1307,516,611,1398,517,660,737,526,1051,1366,724,1822,1842,1054,2108,534,556,746,644,1338,1621,,2203,781,,939,793,,647,953,,,477
risperidone,1293,6224,2934,908,,1527,,419,2206,2935,,,2344,2525,3766,1729,1606,1062,,2326,,,3359,2340,3187,1822,5050,,1878,3306,1943,,2190,2955,,2494,2255,3293,587,1310
risperidone_met_1,43782,47315,38056,45023,36535,44843,42561,35585,49793,52719,43613,46975,49170,45488,37376,4826,5369,43534,5242,37123,44034,49734,7131,45102,39751,44578,39309,50099,36720,50386,33005,36580,38953,38834,39400,6374,18548,1109,21269,
duloxetine_met_1,15542,21134,23754,18143,14406,17412,17480,23479,17151,16086,21797,17346,19053,21443,31056,20365,33598,21944,18685,21969,27602,20164,19298,17307,16674,17005,25461,14949,25209,19416,21665,20045,17015,19722,17411,26769,25280,16004,17960,16710
mycophenolate_mofetil,,11615,1166,14030,8279,11015,759,14986,13761,14183,13651,11005,963,8922,15099,12853,5347,11771,13504,10465,14409,5601,15531,13728,989,6162,9036,2093,5125,15585,10971,8811,8839,4962,15194,2681,1128,7674,821,892
clofazimine_met_1,8032,3546,9861,4477,5901,5845,7292,9761,11552,8654,4400,10566,11650,6484,1395,5671,14291,8897,6090,2460,3381,,5035,15817,3992,8174,8769,4123,10755,8640,2382,3292,8533,5764,3633,5517,6194,4438,15182,6835
nicardipine_met_1,3854,2570,2563,2412,3901,1569,1610,1009,2954,2154,851,2527,1072,2802,,1273,,,1659,756,2185,1123,3841,641,672,1910,,2166,,,813,958,1985,2884,2407,701,1699,1042,1084,1144
