Compound Method,Path1_3,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,MeOH-2,x21,x22,x23,x24,x25,x26,x28,x29,x30,x31,x32,x33,x34,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,MeOH-3,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,Path1_1,Path1_2,Path1_4,x27,Path1_4-R
Name,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.,Resp.
voriconazole,3146417,3216807,3184317,3208250,3114411,3099588,3116105,3093784,3245435,3099564,3249746,3231542,3227742,3226807,3132084,3128872,3269450,3195679,3127269,3195887,3130700,7194,3112141,3113200,3099766,3093610,3097505,3098987,3154476,3117412,3167209,3168073,3189995,3200753,3141616,3160072,3151041,3118984,3116691,3144770,3079963,5520,3125088,3118393,3038598,3059723,3179077,3133170,3279019,3100916,3056892,3172795,3047421,3172629
hydrocortisone,2736334,2911288,2801662,2870043,2725007,2824475,2814868,2787638,2852892,2809119,2804843,2836762,2866180,2872638,2812470,2783193,2858534,2825584,2808795,2838801,2820205,3750,2820599,2791652,2752490,2792050,2811392,2798633,2869131,2821763,2794443,2844869,2847454,4784,3230,2879963,2697446,2606506,2798061,2818454,2804931,5476,2827613,2861769,2778618,2783886,2868793,2835456,2914385,2626742,2538149,2862055,2721828,2813492
capecitabine,1013,2697,6013,5100,3461,1929,459,3986,,3099,5730,1951,,,3470,3076,856,1602,5984,,,,,3948,1764,,2764,,,3056,6704,,,,,2548,2666,6287,2817,6983,,,3189,6253,6268,3559,6175,5203,4233,3011,2875,,3122,8575
tolcapone_met_1,16314,5405,1264,2831,3738,2947,3410,3587,2808,1897,,1649,3970,3801,2917,2303,4696,1810,1919,4010,1496,,1754,951,2380,2331,816,1823,2777,2920,923,,3877,,,1023,2441,525,1443,2395,2124,,1004,623,802,2174,757,767,846,5447,3070,12041,2292,15109
nicardipine,,6150,3371,1521,,,3161,1314,,373,1328,968,918,1031,1486,,1298,406,,3585,,,2286,,922,5136,1293,,,,1664,1214,4083,,,466,688,655,,801,,,476,825,953,941,1142,569,,581,542,5363,,
tolcapone,,,735,588,,,,,,,,,,,,,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mycophenolate_mofetil,9262,14730,5645,5279,12291,7400,11009,10789,,6031,7425,7230,9154,12222,5901,5711,6784,5539,5703,5268,,,12055,8874,7117,,9476,6152,6498,2424,,11766,8530,580,,778,8343,781,4508,8077,1278,,2083,,3050,3363,4858,2754,,4455,3144,1212,6109,8761
sulfasalazine_met_1,978,4934,2353,783,1368,566,2961,2882,1393,1539,3648,,1798,,,1849,554,1019,410,1225,2913,,,1355,1388,943,964,598,2645,507,559,1335,1626,1850,,2289,893,1516,3654,,1305,,671,1099,662,2262,1932,1415,704,1449,1002,799,2331,2192
spironolactone,,1827,619,884,1265,606,363,1685,1968,563,859,1887,1794,921,1842,919,1563,871,1031,1133,1578,,1406,1471,2499,935,3239,1672,1443,529,611,878,549,5174,1913,645,845,1064,,1077,,530,471,1044,693,1112,759,1848,1203,539,642,844,1759,787
