ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
GROUP-2	GROUP-1	GROUP-2,GROUP-1	G1,G2	0	2	2	0	0	0	0	2	2	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=9ce35661d49d4849ac01f221a9da28e5&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=9ce35661d49d4849ac01f221a9da28e5&show=true	N/A	N/A	N/A	N/A	150.41	3.5440627816109522	N/A	N/A	BG-1X-P1-A1.mzXML|Cap_D10_A1.mzXML	2	2	-1	4	211.141	1	211.141	4.15905e+06
GROUP-2	GROUP-1	GROUP-2,GROUP-1	G1,G2	0	6	6	0	0	0	0	6	6	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=9ce35661d49d4849ac01f221a9da28e5&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=9ce35661d49d4849ac01f221a9da28e5&show=true	N/A	N/A	N/A	N/A	172.04816666666667	5.880171395366712	N/A	N/A	BG-1X-P1-A1.mzXML|Cap_D10_A1.mzXML	2	3	3	12	245.124	1	245.124	3.02112e+07
GROUP-2	GROUP-1	GROUP-2,GROUP-1	G1,G2	1	4	2	0	0	0	0	4	2	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=9ce35661d49d4849ac01f221a9da28e5&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=9ce35661d49d4849ac01f221a9da28e5&show=true	N/A	N/A	N/A	N/A	106.167	2.0689798613487445	N/A	N/A	BG-1X-P1-A1.mzXML|Cap_D10_A1.mzXML	2	4	3	6	261.117	1	261.117	9.68832e+06
GROUP-2	GROUP-1	GROUP-2,GROUP-1	G1,G2	1	5	5	0	0	0	0	5	5	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=9ce35661d49d4849ac01f221a9da28e5&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=9ce35661d49d4849ac01f221a9da28e5&show=true	N/A	N/A	N/A	N/A	799.1985	1.6085550814317993	N/A	N/A	BG-1X-P1-A1.mzXML|Cap_D10_A1.mzXML	2	5	-1	10	338.335	1	338.335	1.12865e+07
GROUP-2	GROUP-1	GROUP-2,GROUP-1	G1,G2	0	4	4	0	0	0	0	4	4	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=9ce35661d49d4849ac01f221a9da28e5&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=9ce35661d49d4849ac01f221a9da28e5&show=true	N/A	N/A	N/A	N/A	315.132875	1.1454066349445498	N/A	N/A	BG-1X-P1-A1.mzXML|Cap_D10_A1.mzXML	2	6	-1	8	350.116	1	350.116	4.41578e+07
GROUP-2	GROUP-1	GROUP-2,GROUP-1	G1,G2	0	3	1	0	0	0	0	3	1	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=9ce35661d49d4849ac01f221a9da28e5&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=9ce35661d49d4849ac01f221a9da28e5&show=true	N/A	N/A	N/A	N/A	246.3685	0.8007248278903356	N/A	N/A	BG-1X-P1-A1.mzXML|Cap_D10_A1.mzXML	2	7	-1	4	360.148	1	360.148	1.86318e+07
GROUP-2	 	GROUP-2	G2	1	0	4	0	0	0	0	0	4	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=9ce35661d49d4849ac01f221a9da28e5&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=9ce35661d49d4849ac01f221a9da28e5&show=true	N/A	N/A	N/A	N/A	409.29375	1.144599793596009	N/A	N/A	Cap_D10_A1.mzXML	1	8	2	4	376.259	1	376.259	1.71943e+07
GROUP-2	 	GROUP-2	G2	0	0	2	0	0	0	0	0	2	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=9ce35661d49d4849ac01f221a9da28e5&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=9ce35661d49d4849ac01f221a9da28e5&show=true	N/A	N/A	N/A	N/A	409.37699999999995	1.8470000000000084	N/A	N/A	Cap_D10_A1.mzXML	1	9	2	2	393.286	1	393.286	3.37519e+07
 	GROUP-1	GROUP-1	G1	1	7	0	0	0	0	0	7	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=9ce35661d49d4849ac01f221a9da28e5&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=9ce35661d49d4849ac01f221a9da28e5&show=true	N/A	N/A	N/A	N/A	706.6934285714286	5.975426891077515	N/A	N/A	BG-1X-P1-A1.mzXML	1	10	-1	7	408.296	1	408.296	5.54392e+06
 	GROUP-1	GROUP-1	G1	1	3	0	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=9ce35661d49d4849ac01f221a9da28e5&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=9ce35661d49d4849ac01f221a9da28e5&show=true	N/A	N/A	N/A	N/A	315.90766666666667	0.9148844492915961	N/A	N/A	BG-1X-P1-A1.mzXML	1	12	-1	3	453.056	1	453.056	8.09328e+06
