#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spec-00000.mzXML	191	-1	197.122	1	105.249	791705
2	inputspectra/spec-00000.mzXML	267	-1	211.138	1	147.827	1.10581e+06
2	inputspectra/spec-00000.mzXML	268	-1	211.138	1	148.615	979464
2	inputspectra/spectwo-00000.mzXML	266	-1	211.144	1	148.677	385468
2	inputspectra/spectwo-00000.mzXML	280	-1	211.144	1	156.521	1.68831e+06
3	inputspectra/spec-00000.mzXML	295	-1	245.123	1	163.514	1.36545e+06
3	inputspectra/spec-00000.mzXML	296	-1	245.123	1	164.302	1.22499e+06
3	inputspectra/spec-00000.mzXML	315	-1	245.123	1	174.721	2.86287e+06
3	inputspectra/spec-00000.mzXML	316	-1	245.123	0	175.508	6.29502e+06
3	inputspectra/spec-00000.mzXML	318	-1	245.123	0	176.628	5.00962e+06
3	inputspectra/spec-00000.mzXML	320	-1	245.123	1	177.749	1.51613e+06
3	inputspectra/spectwo-00000.mzXML	292	-1	245.128	1	163.248	716471
3	inputspectra/spectwo-00000.mzXML	294	-1	245.128	1	164.369	675925
3	inputspectra/spectwo-00000.mzXML	312	-1	245.128	1	174.454	869227
3	inputspectra/spectwo-00000.mzXML	314	-1	245.128	1	175.574	4.26474e+06
3	inputspectra/spectwo-00000.mzXML	316	-1	245.128	1	176.695	4.01638e+06
3	inputspectra/spectwo-00000.mzXML	318	-1	245.128	1	177.816	1.39441e+06
4	inputspectra/spec-00000.mzXML	185	-1	261.115	1	101.887	824502
4	inputspectra/spec-00000.mzXML	192	-1	261.115	1	106.037	2.07287e+06
4	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.157	2.55091e+06
4	inputspectra/spec-00000.mzXML	196	-1	261.115	1	108.278	1.18413e+06
4	inputspectra/spectwo-00000.mzXML	190	-1	261.122	1	106.095	1.98207e+06
4	inputspectra/spectwo-00000.mzXML	193	-1	261.122	1	107.548	1.07384e+06
5	inputspectra/spec-00000.mzXML	1425	-1	338.332	1	796.622	888460
5	inputspectra/spec-00000.mzXML	1427	-1	338.332	1	797.743	1.15556e+06
5	inputspectra/spec-00000.mzXML	1428	-1	338.332	1	798.531	1.75438e+06
5	inputspectra/spec-00000.mzXML	1430	-1	338.332	1	799.651	1.8707e+06
5	inputspectra/spec-00000.mzXML	1432	-1	338.332	1	800.772	1.01292e+06
5	inputspectra/spectwo-00000.mzXML	1424	-1	338.34	1	797.492	656035
5	inputspectra/spectwo-00000.mzXML	1426	-1	338.34	1	798.612	1.15379e+06
5	inputspectra/spectwo-00000.mzXML	1428	-1	338.34	1	799.733	1.28842e+06
5	inputspectra/spectwo-00000.mzXML	1430	-1	338.34	1	800.854	1.06235e+06
5	inputspectra/spectwo-00000.mzXML	1432	-1	338.34	1	801.975	443896
6	inputspectra/spec-00000.mzXML	563	-1	350.113	1	313.666	2.5652e+06
6	inputspectra/spec-00000.mzXML	564	-1	350.113	1	314.454	7.14815e+06
6	inputspectra/spec-00000.mzXML	566	-1	350.113	0	315.575	1.09998e+07
6	inputspectra/spec-00000.mzXML	568	-1	350.113	1	316.695	4.73305e+06
6	inputspectra/spectwo-00000.mzXML	561	-1	350.122	1	313.737	2.36827e+06
6	inputspectra/spectwo-00000.mzXML	562	-1	350.122	1	314.525	6.36935e+06
6	inputspectra/spectwo-00000.mzXML	564	-1	350.122	1	315.645	7.37963e+06
6	inputspectra/spectwo-00000.mzXML	566	-1	350.122	1	316.766	2.59438e+06
7	inputspectra/spec-00000.mzXML	441	-1	360.147	1	245.315	5.66719e+06
7	inputspectra/spec-00000.mzXML	443	-1	360.147	1	246.435	7.87634e+06
7	inputspectra/spec-00000.mzXML	445	-1	360.147	1	247.556	3.27764e+06
7	inputspectra/spectwo-00000.mzXML	440	-1	360.155	1	246.168	1.81059e+06
8	inputspectra/spectwo-00000.mzXML	729	-1	376.259	1	407.863	3.80652e+06
8	inputspectra/spectwo-00000.mzXML	730	-1	376.259	1	408.65	5.473e+06
8	inputspectra/spectwo-00000.mzXML	732	-1	376.259	1	409.771	5.18014e+06
8	inputspectra/spectwo-00000.mzXML	734	-1	376.259	1	410.891	2.73458e+06
9	inputspectra/spectwo-00000.mzXML	728	-1	393.286	1	407.53	1.90194e+07
9	inputspectra/spectwo-00000.mzXML	735	-1	393.286	0	411.224	1.47326e+07
10	inputspectra/spec-00000.mzXML	1252	-1	408.296	1	699.923	644393
10	inputspectra/spec-00000.mzXML	1254	-1	408.296	1	701.043	771237
10	inputspectra/spec-00000.mzXML	1256	-1	408.296	1	702.163	859294
10	inputspectra/spec-00000.mzXML	1258	-1	408.296	1	703.284	711707
10	inputspectra/spec-00000.mzXML	1275	-1	408.296	1	712.582	792196
10	inputspectra/spec-00000.mzXML	1276	-1	408.296	1	713.369	813894
10	inputspectra/spec-00000.mzXML	1278	-1	408.296	1	714.49	951195
11	inputspectra/spectwo-00000.mzXML	931	-1	452.319	1	521.037	289218
12	inputspectra/spec-00000.mzXML	565	-1	453.056	1	314.787	3.0677e+06
12	inputspectra/spec-00000.mzXML	567	-1	453.056	0	315.908	3.06499e+06
12	inputspectra/spec-00000.mzXML	569	-1	453.056	1	317.028	1.9606e+06
13	inputspectra/spectwo-00000.mzXML	1366	-1	628.191	1	764.998	572753
13	inputspectra/spectwo-00000.mzXML	1368	-1	628.191	1	766.119	313090
14	inputspectra/spec-00000.mzXML	442	-1	741.27	1	246.102	8.42551e+06
14	inputspectra/spec-00000.mzXML	444	-1	741.27	1	247.223	4.96724e+06
15	inputspectra/spectwo-00000.mzXML	1386	-1	776.229	1	776.202	947193
15	inputspectra/spectwo-00000.mzXML	1388	-1	776.229	1	777.323	1.3534e+06
15	inputspectra/spectwo-00000.mzXML	1390	-1	776.229	1	778.443	1.63063e+06
15	inputspectra/spectwo-00000.mzXML	1392	-1	776.229	1	779.564	1.47045e+06
15	inputspectra/spectwo-00000.mzXML	1394	-1	776.229	1	780.684	1.19027e+06
15	inputspectra/spectwo-00000.mzXML	1396	-1	776.229	1	781.804	756752
16	inputspectra/spectwo-00000.mzXML	1376	-1	885.365	1	770.6	2.62175e+06
16	inputspectra/spectwo-00000.mzXML	1378	-1	885.365	1	771.72	3.82322e+06
16	inputspectra/spectwo-00000.mzXML	1380	-1	885.365	1	772.841	2.86516e+06
