ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	 	 	G2	0	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2259fee8c35243518d279d6f5d8afff9&view=cluster_details&protein=1&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=2259fee8c35243518d279d6f5d8afff9&show=true	N/A	N/A	N/A	N/A	153.892	3.7956317875508723	N/A	N/A	Clofaz_D9_G1.mzXML|Clofaz_D15_G1.mzXML|Clofaz_D8_G1.mzXML	3	1	-1	3	211.144	1	211.144	3.95635e+06
 	 	 	G2	0	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2259fee8c35243518d279d6f5d8afff9&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=2259fee8c35243518d279d6f5d8afff9&show=true	N/A	N/A	N/A	N/A	129.63166666666666	53.0884855961148	N/A	N/A	Clofaz_D8_G1.mzXML	1	2	-1	3	218.066	1	218.066	4.56126e+06
 	GROUP-1	GROUP-1	G1,G2	0	4	34	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2259fee8c35243518d279d6f5d8afff9&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=2259fee8c35243518d279d6f5d8afff9&show=true	N/A	N/A	N/A	N/A	172.3702894736842	5.883077846036102	N/A	N/A	Clofaz_D15_G1.mzXML|Clofaz_D9_G1.mzXML|BG-1X-P1-G1.mzXML|Clofaz_D16_G1.mzXML|Clofaz_D10_G1.mzXML|Clofaz_D13_G1.mzXML|Clofaz_D8_G1.mzXML	7	4	5	38	245.127	1	245.127	9.38291e+07
 	 	 	G2	1	0	22	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2259fee8c35243518d279d6f5d8afff9&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=2259fee8c35243518d279d6f5d8afff9&show=true	N/A	N/A	N/A	N/A	635.4673636363636	1.499811853214041	N/A	N/A	Clofaz_D10_G1.mzXML|Clofaz_D16_G1.mzXML|Clofaz_D9_G1.mzXML|Clofaz_D15_G1.mzXML|Clofaz_D8_G1.mzXML	5	5	1	22	251.046	1	251.046	5.56869e+07
 	GROUP-1	GROUP-1	G1,G2	1	5	14	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2259fee8c35243518d279d6f5d8afff9&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=2259fee8c35243518d279d6f5d8afff9&show=true	N/A	N/A	N/A	N/A	108.60768421052632	5.882637173139557	N/A	N/A	Clofaz_D15_G1.mzXML|Clofaz_D9_G1.mzXML|BG-1X-P1-G1.mzXML|Clofaz_D16_G1.mzXML|Clofaz_D10_G1.mzXML|Clofaz_D13_G1.mzXML|Clofaz_D8_G1.mzXML	7	6	5	19	261.12	1	261.12	2.68636e+07
 	 	 	G2	1	0	13	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2259fee8c35243518d279d6f5d8afff9&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=2259fee8c35243518d279d6f5d8afff9&show=true	N/A	N/A	N/A	N/A	502.69307692307694	1.0218235179203607	N/A	N/A	Clofaz_D10_G1.mzXML|Clofaz_D16_G1.mzXML|Clofaz_D9_G1.mzXML|Clofaz_D15_G1.mzXML|Clofaz_D8_G1.mzXML	5	7	1	13	327.077	1	327.077	1.96093e+07
 	GROUP-1	GROUP-1	G1,G2	1	4	20	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2259fee8c35243518d279d6f5d8afff9&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=2259fee8c35243518d279d6f5d8afff9&show=true	N/A	N/A	N/A	N/A	799.7820416666667	1.341783715779311	N/A	N/A	Clofaz_D15_G1.mzXML|Clofaz_D9_G1.mzXML|BG-1X-P1-G1.mzXML|Clofaz_D16_G1.mzXML|Clofaz_D10_G1.mzXML|Clofaz_D8_G1.mzXML	6	8	-1	24	338.338	1	338.338	1.69684e+07
 	GROUP-1	GROUP-1	G1,G2	0	5	23	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2259fee8c35243518d279d6f5d8afff9&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=2259fee8c35243518d279d6f5d8afff9&show=true	N/A	N/A	N/A	N/A	315.43332142857145	1.318145804139055	N/A	N/A	Clofaz_D15_G1.mzXML|Clofaz_D9_G1.mzXML|BG-1X-P1-G1.mzXML|Clofaz_D16_G1.mzXML|Clofaz_D10_G1.mzXML|Clofaz_D13_G1.mzXML|Clofaz_D8_G1.mzXML	7	9	-1	28	350.12	1	350.12	1.29639e+08
 	 	 	G2	1	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2259fee8c35243518d279d6f5d8afff9&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=2259fee8c35243518d279d6f5d8afff9&show=true	N/A	N/A	N/A	N/A	554.72	0.5339631697661019	N/A	N/A	Clofaz_D16_G1.mzXML|Clofaz_D8_G1.mzXML	2	10	4	3	371.1	1	371.1	3.02719e+06
 	 	 	G2	0	0	10	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2259fee8c35243518d279d6f5d8afff9&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=2259fee8c35243518d279d6f5d8afff9&show=true	N/A	N/A	N/A	N/A	716.477	1.0084599149197966	N/A	N/A	Clofaz_D10_G1.mzXML|Clofaz_D16_G1.mzXML|Clofaz_D15_G1.mzXML|Clofaz_D8_G1.mzXML	4	11	-1	10	395.219	1	395.219	4.18688e+06
