ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	1	5	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b37884165ba74432acf9b0da0e0dbb95&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=b37884165ba74432acf9b0da0e0dbb95&show=true	N/A	N/A	N/A	N/A	154.487	3.9044913454465036	N/A	N/A	Clonaz_D17_H1.mzXML|Clonaz_D16_H1.mzXML|Clonaz_D8_H1.mzXML|BG-1X-P1-H1.mzXML	4	2	-1	6	211.143	1	211.143	7.96419e+06
 	 	 	G2	0	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b37884165ba74432acf9b0da0e0dbb95&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=b37884165ba74432acf9b0da0e0dbb95&show=true	N/A	N/A	N/A	N/A	167.69433333333333	0.914884449291573	N/A	N/A	Clonaz_D8_H1.mzXML	1	3	-1	3	218.066	1	218.066	4.27505e+06
 	GROUP-1	GROUP-1	G1,G2	0	5	16	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b37884165ba74432acf9b0da0e0dbb95&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=b37884165ba74432acf9b0da0e0dbb95&show=true	N/A	N/A	N/A	N/A	174.8374761904762	4.412057004543103	N/A	N/A	Clonaz_D17_H1.mzXML|Clonaz_D16_H1.mzXML|Clonaz_D10_H1.mzXML|Clonaz_D8_H1.mzXML|BG-1X-P1-H1.mzXML	5	6	2	21	245.127	1	245.127	6.82396e+07
 	 	 	G2	1	0	15	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b37884165ba74432acf9b0da0e0dbb95&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=b37884165ba74432acf9b0da0e0dbb95&show=true	N/A	N/A	N/A	N/A	635.4306	1.263160470143564	N/A	N/A	Clonaz_D17_H1.mzXML|Clonaz_D16_H1.mzXML|Clonaz_D10_H1.mzXML|Clonaz_D8_H1.mzXML	4	7	5	15	251.047	1	251.047	3.9759e+07
 	GROUP-1	GROUP-1	G1,G2	1	5	9	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b37884165ba74432acf9b0da0e0dbb95&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=b37884165ba74432acf9b0da0e0dbb95&show=true	N/A	N/A	N/A	N/A	108.69014285714286	6.7801518931272895	N/A	N/A	Clonaz_D17_H1.mzXML|Clonaz_D16_H1.mzXML|Clonaz_D10_H1.mzXML|Clonaz_D8_H1.mzXML|BG-1X-P1-H1.mzXML	5	8	2	14	261.119	1	261.119	2.07307e+07
 	 	 	G2	0	0	14	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b37884165ba74432acf9b0da0e0dbb95&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=b37884165ba74432acf9b0da0e0dbb95&show=true	N/A	N/A	N/A	N/A	137.14607142857142	1.1614977685413468	N/A	N/A	Clonaz_D17_H1.mzXML|Clonaz_D16_H1.mzXML|Clonaz_D10_H1.mzXML|Clonaz_D8_H1.mzXML	4	9	-1	14	286.073	1	286.073	4.16382e+07
 	GROUP-1	GROUP-1	G1	0	2	0	0	0	0	0	2	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b37884165ba74432acf9b0da0e0dbb95&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=b37884165ba74432acf9b0da0e0dbb95&show=true	N/A	N/A	N/A	N/A	312.738	0.5600000000000023	N/A	N/A	BG-1X-P1-H1.mzXML	1	11	-1	2	316.038	1	316.038	7.85139e+06
 	 	 	G2	1	0	9	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b37884165ba74432acf9b0da0e0dbb95&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=b37884165ba74432acf9b0da0e0dbb95&show=true	N/A	N/A	N/A	N/A	502.67533333333336	0.8363118769666954	N/A	N/A	Clonaz_D17_H1.mzXML|Clonaz_D16_H1.mzXML|Clonaz_D10_H1.mzXML|Clonaz_D8_H1.mzXML	4	12	5	9	327.077	1	327.077	1.39068e+07
 	GROUP-1	GROUP-1	G1,G2	1	4	4	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b37884165ba74432acf9b0da0e0dbb95&view=cluster_details&protein=13&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=b37884165ba74432acf9b0da0e0dbb95&show=true	N/A	N/A	N/A	N/A	799.5382500000001	1.027636091960576	N/A	N/A	Clonaz_D16_H1.mzXML|Clonaz_D8_H1.mzXML|BG-1X-P1-H1.mzXML	3	13	-1	8	338.332	1	338.332	8.15121e+06
 	GROUP-1	GROUP-1	G1,G2	0	5	16	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b37884165ba74432acf9b0da0e0dbb95&view=cluster_details&protein=15&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=b37884165ba74432acf9b0da0e0dbb95&show=true	N/A	N/A	N/A	N/A	315.240619047619	1.2943743285828584	N/A	N/A	Clonaz_D17_H1.mzXML|Clonaz_D16_H1.mzXML|Clonaz_D10_H1.mzXML|Clonaz_D8_H1.mzXML|BG-1X-P1-H1.mzXML	5	15	-1	21	350.119	1	350.119	1.04742e+08
