#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spectwo-00003.mzXML	191	-1	197.128	1	107.452	685389
2	inputspectra/spec-00000.mzXML	270	-1	211.137	1	149.708	338511
2	inputspectra/spectwo-00000.mzXML	266	-1	211.144	1	148.644	617836
2	inputspectra/spectwo-00001.mzXML	280	-1	211.144	0	156.567	3.1846e+06
2	inputspectra/spectwo-00001.mzXML	282	-1	211.144	1	157.688	1.14746e+06
2	inputspectra/spectwo-00002.mzXML	279	-1	211.144	1	155.476	2.31829e+06
2	inputspectra/spectwo-00002.mzXML	285	-1	211.144	1	158.839	357494
3	inputspectra/spectwo-00000.mzXML	298	-1	218.066	1	166.574	2.50607e+06
3	inputspectra/spectwo-00000.mzXML	300	-1	218.066	1	167.694	1.38261e+06
3	inputspectra/spectwo-00000.mzXML	302	-1	218.066	1	168.815	386365
4	inputspectra/spec-00000.mzXML	1257	-1	226.172	1	702.45	377649
5	inputspectra/spectwo-00002.mzXML	217	-1	227.138	1	120.738	607386
6	inputspectra/spec-00000.mzXML	296	-1	245.12	1	164.274	1.07973e+06
6	inputspectra/spec-00000.mzXML	315	-1	245.12	1	174.691	2.05904e+06
6	inputspectra/spec-00000.mzXML	316	-1	245.124	0	175.479	5.84352e+06
6	inputspectra/spec-00000.mzXML	318	-1	245.127	0	176.599	5.7914e+06
6	inputspectra/spec-00000.mzXML	320	-1	245.124	0	177.719	2.27379e+06
6	inputspectra/spectwo-00000.mzXML	314	-1	245.128	1	175.541	3.91954e+06
6	inputspectra/spectwo-00000.mzXML	316	-1	245.128	0	176.663	5.92524e+06
6	inputspectra/spectwo-00000.mzXML	318	-1	245.128	1	177.783	2.45452e+06
6	inputspectra/spectwo-00001.mzXML	294	-1	245.128	1	164.411	925212
6	inputspectra/spectwo-00001.mzXML	314	-1	245.128	1	175.618	3.59432e+06
6	inputspectra/spectwo-00001.mzXML	316	-1	245.128	0	176.738	5.50626e+06
6	inputspectra/spectwo-00001.mzXML	318	-1	245.128	1	177.86	2.39398e+06
6	inputspectra/spectwo-00001.mzXML	320	-1	245.128	1	178.98	485392
6	inputspectra/spectwo-00002.mzXML	295	-1	245.128	1	164.441	988685
6	inputspectra/spectwo-00002.mzXML	315	-1	245.128	1	175.652	3.85308e+06
6	inputspectra/spectwo-00002.mzXML	317	-1	245.128	0	176.772	5.8426e+06
6	inputspectra/spectwo-00002.mzXML	319	-1	245.128	1	177.893	2.39796e+06
6	inputspectra/spectwo-00003.mzXML	311	-1	245.128	1	174.687	1.3828e+06
6	inputspectra/spectwo-00003.mzXML	312	-1	245.128	1	175.475	4.12945e+06
6	inputspectra/spectwo-00003.mzXML	314	-1	245.128	0	176.595	5.37389e+06
6	inputspectra/spectwo-00003.mzXML	316	-1	245.128	1	177.716	2.0192e+06
7	inputspectra/spectwo-00000.mzXML	1133	-1	251.046	1	634.186	860965
7	inputspectra/spectwo-00000.mzXML	1135	-1	251.046	1	635.307	1.48236e+06
7	inputspectra/spectwo-00000.mzXML	1137	-1	251.046	1	636.427	1.0312e+06
7	inputspectra/spectwo-00001.mzXML	1133	-1	251.046	1	634.255	1.98468e+06
7	inputspectra/spectwo-00001.mzXML	1135	-1	251.046	1	635.375	3.41396e+06
7	inputspectra/spectwo-00001.mzXML	1136	-1	251.046	1	636.164	2.96724e+06
7	inputspectra/spectwo-00001.mzXML	1139	-1	251.046	1	637.617	789454
7	inputspectra/spectwo-00002.mzXML	1132	-1	251.047	1	633.174	1.42603e+06
7	inputspectra/spectwo-00002.mzXML	1133	-1	251.047	1	633.962	3.95577e+06
7	inputspectra/spectwo-00002.mzXML	1136	-1	251.047	0	635.415	9.64001e+06
7	inputspectra/spectwo-00002.mzXML	1138	-1	251.047	0	636.536	6.27554e+06
7	inputspectra/spectwo-00002.mzXML	1139	-1	251.047	1	637.323	2.81984e+06
7	inputspectra/spectwo-00003.mzXML	1131	-1	251.046	1	634.119	682933
7	inputspectra/spectwo-00003.mzXML	1133	-1	251.046	1	635.239	1.36131e+06
7	inputspectra/spectwo-00003.mzXML	1135	-1	251.046	1	636.36	1.06775e+06
8	inputspectra/spec-00000.mzXML	185	-1	261.115	1	101.861	485915
8	inputspectra/spec-00000.mzXML	193	-1	261.115	1	106.342	2.13868e+06
8	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.13	2.30133e+06
8	inputspectra/spec-00000.mzXML	196	-1	261.115	1	108.251	1.17967e+06
8	inputspectra/spec-00000.mzXML	239	-1	261.115	1	132.114	414199
8	inputspectra/spectwo-00000.mzXML	192	-1	261.122	1	107.183	1.93631e+06
8	inputspectra/spectwo-00000.mzXML	194	-1	261.122	1	108.303	1.66519e+06
8	inputspectra/spectwo-00001.mzXML	185	-1	261.122	1	103.109	316091
8	inputspectra/spectwo-00001.mzXML	192	-1	261.122	1	107.262	2.0915e+06
8	inputspectra/spectwo-00001.mzXML	195	-1	261.122	1	108.715	1.15593e+06
8	inputspectra/spectwo-00002.mzXML	193	-1	261.122	1	107.29	2.17122e+06
8	inputspectra/spectwo-00002.mzXML	195	-1	261.122	1	108.411	1.76041e+06
8	inputspectra/spectwo-00003.mzXML	190	-1	261.122	1	107.119	2.1055e+06
8	inputspectra/spectwo-00003.mzXML	193	-1	261.122	1	108.572	1.00876e+06
9	inputspectra/spectwo-00000.mzXML	244	-1	286.073	1	136.317	2.93357e+06
9	inputspectra/spectwo-00000.mzXML	246	-1	286.073	1	137.438	2.7156e+06
9	inputspectra/spectwo-00000.mzXML	248	-1	286.073	1	138.558	1.06065e+06
9	inputspectra/spectwo-00001.mzXML	242	-1	286.073	1	135.276	1.90491e+06
9	inputspectra/spectwo-00001.mzXML	244	-1	286.073	1	136.397	5.04665e+06
9	inputspectra/spectwo-00001.mzXML	246	-1	286.073	1	137.517	4.22646e+06
9	inputspectra/spectwo-00001.mzXML	248	-1	286.073	1	138.638	1.55533e+06
9	inputspectra/spectwo-00002.mzXML	245	-1	286.073	1	136.425	3.45947e+06
9	inputspectra/spectwo-00002.mzXML	247	-1	286.073	1	137.546	3.88838e+06
9	inputspectra/spectwo-00002.mzXML	249	-1	286.073	1	138.666	1.85765e+06
