ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
GROUP-2	GROUP-1	GROUP-1,GROUP-2	G1,G2	0	2	2	0	0	0	0	2	2	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e165ed5a84fc471895308353ba543233&view=cluster_details&protein=1&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=e165ed5a84fc471895308353ba543233&show=true	N/A	N/A	N/A	N/A	150.1155	2.535697192095299	N/A	N/A	BG-1X-P1-E1.mzXML|Digox_D19_E1.mzXML	2	1	-1	4	211.141	1	211.141	2.94286e+06
GROUP-2	 	GROUP-2	G2	0	0	2	0	0	0	0	0	2	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e165ed5a84fc471895308353ba543233&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=e165ed5a84fc471895308353ba543233&show=true	N/A	N/A	N/A	N/A	165.9595	0.5605000000000047	N/A	N/A	Digox_D19_E1.mzXML	1	2	-1	2	218.066	1	218.066	1.11651e+06
GROUP-2	GROUP-1	GROUP-1,GROUP-2	G1,G2	0	6	5	0	0	0	0	6	5	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e165ed5a84fc471895308353ba543233&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=e165ed5a84fc471895308353ba543233&show=true	N/A	N/A	N/A	N/A	172.83818181818182	5.470015436544313	N/A	N/A	BG-1X-P1-E1.mzXML|Digox_D19_E1.mzXML	2	3	3	11	245.126	1	245.126	2.91813e+07
GROUP-2	 	GROUP-2	G2	1	0	6	0	0	0	0	0	6	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e165ed5a84fc471895308353ba543233&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=e165ed5a84fc471895308353ba543233&show=true	N/A	N/A	N/A	N/A	635.4798333333333	1.9140816263216778	N/A	N/A	Digox_D19_E1.mzXML	1	4	2	6	251.046	1	251.046	1.94219e+07
GROUP-2	GROUP-1	GROUP-1,GROUP-2	G1,G2	1	5	2	0	0	0	0	5	2	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e165ed5a84fc471895308353ba543233&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=e165ed5a84fc471895308353ba543233&show=true	N/A	N/A	N/A	N/A	109.892	9.296893751601738	N/A	N/A	BG-1X-P1-E1.mzXML|Digox_D19_E1.mzXML	2	5	3	7	261.117	1	261.117	9.39667e+06
GROUP-2	 	GROUP-2	G2	1	0	3	0	0	0	0	0	3	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e165ed5a84fc471895308353ba543233&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=e165ed5a84fc471895308353ba543233&show=true	N/A	N/A	N/A	N/A	502.69033333333334	0.914884449291573	N/A	N/A	Digox_D19_E1.mzXML	1	6	2	3	327.077	1	327.077	4.82175e+06
GROUP-2	GROUP-1	GROUP-1,GROUP-2	G1,G2	1	4	6	0	0	0	0	4	6	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e165ed5a84fc471895308353ba543233&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=e165ed5a84fc471895308353ba543233&show=true	N/A	N/A	N/A	N/A	799.2035	1.6789750593740131	N/A	N/A	BG-1X-P1-E1.mzXML|Digox_D19_E1.mzXML	2	7	-1	10	338.335	1	338.335	8.45364e+06
GROUP-2	GROUP-1	GROUP-1,GROUP-2	G1,G2	0	5	4	0	0	0	0	5	4	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e165ed5a84fc471895308353ba543233&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=e165ed5a84fc471895308353ba543233&show=true	N/A	N/A	N/A	N/A	315.8451111111111	1.4661964734527955	N/A	N/A	BG-1X-P1-E1.mzXML|Digox_D19_E1.mzXML	2	8	-1	9	350.116	1	350.116	4.53943e+07
GROUP-2	 	GROUP-2	G2	1	0	5	0	0	0	0	0	5	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e165ed5a84fc471895308353ba543233&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=e165ed5a84fc471895308353ba543233&show=true	N/A	N/A	N/A	N/A	647.92	76.03465611679982	N/A	N/A	Digox_D19_E1.mzXML	1	9	4	5	371.1	1	371.1	7.40608e+06
GROUP-2	 	GROUP-2	G2	0	0	3	0	0	0	0	0	3	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=e165ed5a84fc471895308353ba543233&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=e165ed5a84fc471895308353ba543233&show=true	N/A	N/A	N/A	N/A	716.8323333333333	0.9282141754765125	N/A	N/A	Digox_D19_E1.mzXML	1	10	-1	3	395.218	1	395.218	1.14794e+06
