#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spec-00000.mzXML	268	-1	211.138	1	148.673	849820
1	inputspectra/spec-00000.mzXML	271	-1	211.138	1	150.126	327192
1	inputspectra/spectwo-00000.mzXML	265	-1	211.144	1	147.469	440066
1	inputspectra/spectwo-00000.mzXML	277	-1	211.144	1	154.194	1.32578e+06
2	inputspectra/spectwo-00000.mzXML	297	-1	218.066	1	165.399	645037
2	inputspectra/spectwo-00000.mzXML	299	-1	218.066	1	166.52	471472
3	inputspectra/spec-00000.mzXML	295	-1	245.12	1	163.571	1.06184e+06
3	inputspectra/spec-00000.mzXML	296	-1	245.12	1	164.359	1.11988e+06
3	inputspectra/spec-00000.mzXML	315	-1	245.12	1	174.777	2.05516e+06
3	inputspectra/spec-00000.mzXML	316	-1	245.125	0	175.565	5.70504e+06
3	inputspectra/spec-00000.mzXML	318	-1	245.128	0	176.686	5.8629e+06
3	inputspectra/spec-00000.mzXML	320	-1	245.125	0	177.806	2.36058e+06
3	inputspectra/spectwo-00000.mzXML	295	-1	245.128	1	164.278	584525
3	inputspectra/spectwo-00000.mzXML	313	-1	245.128	1	174.364	1.56315e+06
3	inputspectra/spectwo-00000.mzXML	315	-1	245.128	1	175.484	4.57296e+06
3	inputspectra/spectwo-00000.mzXML	317	-1	245.128	1	176.605	3.36867e+06
3	inputspectra/spectwo-00000.mzXML	319	-1	245.128	1	177.725	926626
4	inputspectra/spectwo-00000.mzXML	1131	-1	251.046	1	632.678	800248
4	inputspectra/spectwo-00000.mzXML	1133	-1	251.046	1	633.799	3.09905e+06
4	inputspectra/spectwo-00000.mzXML	1135	-1	251.046	1	634.919	6.0248e+06
4	inputspectra/spectwo-00000.mzXML	1137	-1	251.046	0	636.04	6.43025e+06
4	inputspectra/spectwo-00000.mzXML	1139	-1	251.046	1	637.161	2.54555e+06
4	inputspectra/spectwo-00000.mzXML	1141	-1	251.046	1	638.282	522036
5	inputspectra/spec-00000.mzXML	185	-1	261.115	1	101.942	450059
5	inputspectra/spec-00000.mzXML	193	-1	261.115	1	106.424	2.09144e+06
5	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.211	2.30179e+06
5	inputspectra/spec-00000.mzXML	196	-1	261.115	1	108.332	1.16723e+06
5	inputspectra/spec-00000.mzXML	239	-1	261.115	1	132.196	395359
5	inputspectra/spectwo-00000.mzXML	191	-1	261.122	1	106.009	1.43534e+06
5	inputspectra/spectwo-00000.mzXML	193	-1	261.122	1	107.13	1.55545e+06
6	inputspectra/spectwo-00000.mzXML	897	-1	327.077	1	501.57	1.41817e+06
6	inputspectra/spectwo-00000.mzXML	899	-1	327.077	1	502.69	2.15369e+06
6	inputspectra/spectwo-00000.mzXML	901	-1	327.077	1	503.811	1.24989e+06
7	inputspectra/spec-00000.mzXML	1427	-1	338.331	1	797.793	777547
7	inputspectra/spec-00000.mzXML	1429	-1	338.331	1	798.914	1.24106e+06
7	inputspectra/spec-00000.mzXML	1430	-1	338.331	1	799.701	1.13052e+06
7	inputspectra/spec-00000.mzXML	1433	-1	338.331	1	801.154	510831
7	inputspectra/spectwo-00000.mzXML	1423	-1	338.34	1	796.278	237540
7	inputspectra/spectwo-00000.mzXML	1425	-1	338.34	1	797.398	649090
7	inputspectra/spectwo-00000.mzXML	1427	-1	338.34	1	798.518	1.13012e+06
7	inputspectra/spectwo-00000.mzXML	1429	-1	338.34	1	799.639	1.35063e+06
7	inputspectra/spectwo-00000.mzXML	1431	-1	338.34	1	800.76	990456
7	inputspectra/spectwo-00000.mzXML	1433	-1	338.34	1	801.88	435853
8	inputspectra/spec-00000.mzXML	562	-1	350.113	1	313.391	1.74412e+06
8	inputspectra/spec-00000.mzXML	564	-1	350.113	1	314.512	8.979e+06
8	inputspectra/spec-00000.mzXML	566	-1	350.113	0	315.633	1.24778e+07
8	inputspectra/spec-00000.mzXML	568	-1	350.113	0	316.753	5.148e+06
8	inputspectra/spec-00000.mzXML	570	-1	350.113	1	317.874	1.07215e+06
8	inputspectra/spectwo-00000.mzXML	563	-1	350.122	1	314.43	4.58027e+06
8	inputspectra/spectwo-00000.mzXML	565	-1	350.122	1	315.55	7.22122e+06
8	inputspectra/spectwo-00000.mzXML	567	-1	350.122	1	316.671	3.35748e+06
8	inputspectra/spectwo-00000.mzXML	569	-1	350.122	1	317.792	814171
9	inputspectra/spectwo-00000.mzXML	991	-1	371.1	1	554.242	805728
9	inputspectra/spectwo-00000.mzXML	993	-1	371.1	1	555.362	1.14537e+06
9	inputspectra/spectwo-00000.mzXML	1267	-1	371.1	1	708.878	1.79428e+06
9	inputspectra/spectwo-00000.mzXML	1269	-1	371.1	1	709.999	2.31901e+06
9	inputspectra/spectwo-00000.mzXML	1271	-1	371.1	1	711.119	1.34169e+06
10	inputspectra/spectwo-00000.mzXML	1279	-1	395.218	1	715.601	413098
10	inputspectra/spectwo-00000.mzXML	1282	-1	395.218	1	717.054	400665
10	inputspectra/spectwo-00000.mzXML	1283	-1	395.218	1	717.842	334179
11	inputspectra/spec-00000.mzXML	1255	-1	408.295	1	701.429	399082
11	inputspectra/spec-00000.mzXML	1256	-1	408.295	1	702.217	420809
11	inputspectra/spec-00000.mzXML	1258	-1	408.295	1	703.338	348940
