ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	5	6	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2539cef73e59458bbc1a22d4e09a5cb8&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=2539cef73e59458bbc1a22d4e09a5cb8&show=true	N/A	N/A	N/A	N/A	171.81109090909092	6.081772729820644	N/A	N/A	BG-1X-P1-D9.mzXML|Dolas_D10_D9.mzXML	2	2	3	11	245.126	1	245.126	3.04594e+07
 	GROUP-1	GROUP-1	G1,G2	1	5	2	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2539cef73e59458bbc1a22d4e09a5cb8&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=2539cef73e59458bbc1a22d4e09a5cb8&show=true	N/A	N/A	N/A	N/A	109.902	9.289471259749627	N/A	N/A	BG-1X-P1-D9.mzXML|Dolas_D10_D9.mzXML	2	3	3	7	261.117	1	261.117	1.00753e+07
 	GROUP-1	GROUP-1	G1,G2	1	3	5	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2539cef73e59458bbc1a22d4e09a5cb8&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=2539cef73e59458bbc1a22d4e09a5cb8&show=true	N/A	N/A	N/A	N/A	799.391625	1.42642971589033	N/A	N/A	BG-1X-P1-D9.mzXML|Dolas_D10_D9.mzXML	2	4	-1	8	338.337	1	338.337	6.82737e+06
 	GROUP-1	GROUP-1	G1,G2	0	5	4	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2539cef73e59458bbc1a22d4e09a5cb8&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=2539cef73e59458bbc1a22d4e09a5cb8&show=true	N/A	N/A	N/A	N/A	315.3658888888889	1.4729161132064497	N/A	N/A	BG-1X-P1-D9.mzXML|Dolas_D10_D9.mzXML	2	5	1	9	350.116	1	350.116	5.03525e+07
 	GROUP-1	GROUP-1	G1	1	3	0	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2539cef73e59458bbc1a22d4e09a5cb8&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=2539cef73e59458bbc1a22d4e09a5cb8&show=true	N/A	N/A	N/A	N/A	194.82333333333332	0.7828585795375593	N/A	N/A	BG-1X-P1-D9.mzXML	1	6	-1	3	357.171	0	357.171	2.45259e+07
 	 	 	G2	1	0	6	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2539cef73e59458bbc1a22d4e09a5cb8&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=2539cef73e59458bbc1a22d4e09a5cb8&show=true	N/A	N/A	N/A	N/A	632.7356666666667	77.32008192500113	N/A	N/A	Dolas_D10_D9.mzXML	1	7	2	6	371.1	1	371.1	9.83096e+06
 	 	 	G2	0	0	4	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2539cef73e59458bbc1a22d4e09a5cb8&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=2539cef73e59458bbc1a22d4e09a5cb8&show=true	N/A	N/A	N/A	N/A	716.29625	1.1448081444067373	N/A	N/A	Dolas_D10_D9.mzXML	1	8	-1	4	395.219	1	395.219	1.82282e+06
 	GROUP-1	GROUP-1	G1	1	3	0	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2539cef73e59458bbc1a22d4e09a5cb8&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=2539cef73e59458bbc1a22d4e09a5cb8&show=true	N/A	N/A	N/A	N/A	702.527	0.9144761706390568	N/A	N/A	BG-1X-P1-D9.mzXML	1	9	-1	3	408.295	1	408.295	1.22692e+06
 	 	 	G2	1	0	4	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2539cef73e59458bbc1a22d4e09a5cb8&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=2539cef73e59458bbc1a22d4e09a5cb8&show=true	N/A	N/A	N/A	N/A	638.89925	1.2529807211206652	N/A	N/A	Dolas_D10_D9.mzXML	1	10	2	4	445.119	1	445.119	7.47608e+06
 	GROUP-1	GROUP-1	G1	1	3	0	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2539cef73e59458bbc1a22d4e09a5cb8&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=2539cef73e59458bbc1a22d4e09a5cb8&show=true	N/A	N/A	N/A	N/A	315.94733333333335	0.914884449291573	N/A	N/A	BG-1X-P1-D9.mzXML	1	11	-1	3	453.056	1	453.056	7.5676e+06
