#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spectwo-00000.mzXML	193	-1	197.128	1	107.524	1.56574e+06
2	inputspectra/spec-00000.mzXML	295	-1	245.12	1	163.562	1.21198e+06
2	inputspectra/spec-00000.mzXML	296	-1	245.12	1	164.35	1.02614e+06
2	inputspectra/spec-00000.mzXML	316	-1	245.125	0	175.554	5.94386e+06
2	inputspectra/spec-00000.mzXML	318	-1	245.128	0	176.675	5.59315e+06
2	inputspectra/spec-00000.mzXML	320	-1	245.125	0	177.795	2.25645e+06
2	inputspectra/spectwo-00000.mzXML	292	-1	245.128	1	163.22	825157
2	inputspectra/spectwo-00000.mzXML	294	-1	245.128	1	164.341	737857
2	inputspectra/spectwo-00000.mzXML	312	-1	245.128	1	174.426	1.59726e+06
2	inputspectra/spectwo-00000.mzXML	314	-1	245.128	1	175.546	5.23996e+06
2	inputspectra/spectwo-00000.mzXML	316	-1	245.128	0	176.666	4.71939e+06
2	inputspectra/spectwo-00000.mzXML	318	-1	245.128	1	177.787	1.30819e+06
3	inputspectra/spec-00000.mzXML	185	-1	261.115	1	101.931	512311
3	inputspectra/spec-00000.mzXML	193	-1	261.115	1	106.413	2.19171e+06
3	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.201	2.31331e+06
3	inputspectra/spec-00000.mzXML	196	-1	261.115	1	108.322	1.08612e+06
3	inputspectra/spec-00000.mzXML	239	-1	261.115	1	132.185	382315
3	inputspectra/spectwo-00000.mzXML	190	-1	261.122	1	106.071	1.93348e+06
3	inputspectra/spectwo-00000.mzXML	192	-1	261.122	1	107.191	1.65611e+06
4	inputspectra/spec-00000.mzXML	1427	-1	338.331	1	797.768	621568
4	inputspectra/spec-00000.mzXML	1429	-1	338.331	1	798.888	944411
4	inputspectra/spec-00000.mzXML	1431	-1	338.331	1	800.009	784830
4	inputspectra/spectwo-00000.mzXML	1424	-1	338.341	1	797.453	582468
4	inputspectra/spectwo-00000.mzXML	1426	-1	338.341	1	798.573	1.18613e+06
4	inputspectra/spectwo-00000.mzXML	1428	-1	338.341	1	799.694	1.25662e+06
4	inputspectra/spectwo-00000.mzXML	1430	-1	338.341	1	800.814	992911
4	inputspectra/spectwo-00000.mzXML	1432	-1	338.341	1	801.934	458435
5	inputspectra/spec-00000.mzXML	562	-1	350.113	1	313.374	1.69471e+06
5	inputspectra/spec-00000.mzXML	564	-1	350.113	1	314.494	8.56408e+06
5	inputspectra/spec-00000.mzXML	566	-1	350.113	0	315.615	1.21394e+07
5	inputspectra/spec-00000.mzXML	568	-1	350.113	1	316.735	4.8638e+06
5	inputspectra/spec-00000.mzXML	570	-1	350.113	1	317.855	1.20779e+06
5	inputspectra/spectwo-00000.mzXML	560	-1	350.122	1	313.374	1.5067e+06
5	inputspectra/spectwo-00000.mzXML	562	-1	350.122	1	314.495	8.0868e+06
5	inputspectra/spectwo-00000.mzXML	564	-1	350.122	1	315.615	9.04736e+06
5	inputspectra/spectwo-00000.mzXML	566	-1	350.122	1	316.736	3.24183e+06
6	inputspectra/spec-00000.mzXML	349	-1	357.171	0	193.814	1.11605e+07
6	inputspectra/spec-00000.mzXML	351	-1	357.171	0	194.934	8.45292e+06
6	inputspectra/spec-00000.mzXML	352	-1	357.171	1	195.722	4.91254e+06
7	inputspectra/spectwo-00000.mzXML	990	-1	371.1	1	554.3	1.38768e+06
7	inputspectra/spectwo-00000.mzXML	992	-1	371.1	1	555.421	1.88e+06
