ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	1	4	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f8fc9e3ba49b47f7abe2a5c7e14736f4&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=f8fc9e3ba49b47f7abe2a5c7e14736f4&show=true	N/A	N/A	N/A	N/A	154.5082	3.5245402196598663	N/A	N/A	BG-1X-P1-F1.mzXML|Dulox_D8_F1.mzXML|Dulox_D16_F1.mzXML	3	2	-1	5	211.143	1	211.143	7.78178e+06
 	 	 	G2	0	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f8fc9e3ba49b47f7abe2a5c7e14736f4&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=f8fc9e3ba49b47f7abe2a5c7e14736f4&show=true	N/A	N/A	N/A	N/A	127.279	55.47229375102493	N/A	N/A	Dulox_D8_F1.mzXML	1	3	-1	3	218.066	1	218.066	4.14328e+06
 	GROUP-1	GROUP-1	G1,G2	0	5	17	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f8fc9e3ba49b47f7abe2a5c7e14736f4&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=f8fc9e3ba49b47f7abe2a5c7e14736f4&show=true	N/A	N/A	N/A	N/A	172.69404545454546	5.662457918585534	N/A	N/A	BG-1X-P1-F1.mzXML|Dulox_D8_F1.mzXML|Dulox_D7_F1.mzXML|Dulox_D16_F1.mzXML	4	4	4	22	245.127	1	245.127	5.85222e+07
 	 	 	G2	1	0	20	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f8fc9e3ba49b47f7abe2a5c7e14736f4&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=f8fc9e3ba49b47f7abe2a5c7e14736f4&show=true	N/A	N/A	N/A	N/A	640.2933	15.577578634370624	N/A	N/A	Dulox_D8_F1.mzXML|Dulox_D7_F1.mzXML|Dulox_D16_F1.mzXML	3	5	6	20	251.047	1	251.047	7.71249e+07
 	GROUP-1	GROUP-1	G1,G2	1	5	7	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f8fc9e3ba49b47f7abe2a5c7e14736f4&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=f8fc9e3ba49b47f7abe2a5c7e14736f4&show=true	N/A	N/A	N/A	N/A	106.245	1.8916639941243965	N/A	N/A	BG-1X-P1-F1.mzXML|Dulox_D8_F1.mzXML|Dulox_D7_F1.mzXML|Dulox_D16_F1.mzXML	4	6	4	12	261.119	1	261.119	1.81516e+07
 	 	 	G2	1	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f8fc9e3ba49b47f7abe2a5c7e14736f4&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=f8fc9e3ba49b47f7abe2a5c7e14736f4&show=true	N/A	N/A	N/A	N/A	664.0186666666667	0.914884449291573	N/A	N/A	Dulox_D8_F1.mzXML	1	8	2	3	282.278	1	282.278	2.28479e+06
 	GROUP-1	GROUP-1	G1,G2	0	1	1	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f8fc9e3ba49b47f7abe2a5c7e14736f4&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=f8fc9e3ba49b47f7abe2a5c7e14736f4&show=true	N/A	N/A	N/A	N/A	286.42	0.02600000000001046	N/A	N/A	BG-1X-P1-F1.mzXML|Dulox_D8_F1.mzXML	2	9	-1	2	298.12	1	298.12	603874
 	 	 	G2	1	0	11	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f8fc9e3ba49b47f7abe2a5c7e14736f4&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=f8fc9e3ba49b47f7abe2a5c7e14736f4&show=true	N/A	N/A	N/A	N/A	502.3697272727273	1.1020564323868742	N/A	N/A	Dulox_D8_F1.mzXML|Dulox_D7_F1.mzXML|Dulox_D16_F1.mzXML	3	11	6	11	327.077	1	327.077	2.45884e+07
 	GROUP-1	GROUP-1	G1,G2	1	3	8	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f8fc9e3ba49b47f7abe2a5c7e14736f4&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=f8fc9e3ba49b47f7abe2a5c7e14736f4&show=true	N/A	N/A	N/A	N/A	799.9687272727273	1.0338062145567708	N/A	N/A	BG-1X-P1-F1.mzXML|Dulox_D8_F1.mzXML|Dulox_D7_F1.mzXML|Dulox_D16_F1.mzXML	4	12	2	11	338.338	1	338.338	9.40816e+06
 	GROUP-1	GROUP-1	G1,G2	0	5	12	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f8fc9e3ba49b47f7abe2a5c7e14736f4&view=cluster_details&protein=13&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=f8fc9e3ba49b47f7abe2a5c7e14736f4&show=true	N/A	N/A	N/A	N/A	315.2075294117647	1.3579302640696025	N/A	N/A	BG-1X-P1-F1.mzXML|Dulox_D8_F1.mzXML|Dulox_D7_F1.mzXML|Dulox_D16_F1.mzXML	4	13	-1	17	350.119	1	350.119	8.4615e+07
 	 	 	G2	0	0	4	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f8fc9e3ba49b47f7abe2a5c7e14736f4&view=cluster_details&protein=14&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=f8fc9e3ba49b47f7abe2a5c7e14736f4&show=true	N/A	N/A	N/A	N/A	613.97475	0.7924595809882063	N/A	N/A	Dulox_D8_F1.mzXML|Dulox_D7_F1.mzXML	2	14	1	4	359.277	1	359.277	3.01936e+06
 	 	 	G2	1	0	14	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f8fc9e3ba49b47f7abe2a5c7e14736f4&view=cluster_details&protein=16&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=f8fc9e3ba49b47f7abe2a5c7e14736f4&show=true	N/A	N/A	N/A	N/A	632.5533571428571	77.17888523017452	N/A	N/A	Dulox_D8_F1.mzXML|Dulox_D7_F1.mzXML|Dulox_D16_F1.mzXML	3	16	5	14	371.1	1	371.1	2.08468e+07
 	 	 	G2	0	0	5	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=f8fc9e3ba49b47f7abe2a5c7e14736f4&view=cluster_details&protein=17&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=f8fc9e3ba49b47f7abe2a5c7e14736f4&show=true	N/A	N/A	N/A	N/A	691.6584	1.5137838154769507	N/A	N/A	Dulox_D7_F1.mzXML|Dulox_D16_F1.mzXML	2	17	-1	5	391.202	1	391.202	1.61618e+07
