#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spectwo-00002.mzXML	193	-1	197.128	1	108.324	2.07467e+06
2	inputspectra/spec-00000.mzXML	267	-1	211.137	1	147.825	909655
2	inputspectra/spectwo-00000.mzXML	277	-1	211.144	1	154.172	1.25707e+06
2	inputspectra/spectwo-00000.mzXML	281	-1	211.144	0	156.414	2.5504e+06
2	inputspectra/spectwo-00002.mzXML	279	-1	211.144	0	156.505	2.48544e+06
2	inputspectra/spectwo-00002.mzXML	281	-1	211.144	1	157.625	579219
3	inputspectra/spectwo-00000.mzXML	89	-1	218.066	1	48.84	1.16916e+06
3	inputspectra/spectwo-00000.mzXML	297	-1	218.066	1	165.378	2.25768e+06
3	inputspectra/spectwo-00000.mzXML	301	-1	218.066	1	167.619	716444
4	inputspectra/spec-00000.mzXML	295	-1	245.12	1	163.513	1.09112e+06
4	inputspectra/spec-00000.mzXML	315	-1	245.12	1	174.72	1.77203e+06
4	inputspectra/spec-00000.mzXML	316	-1	245.125	0	175.508	5.46623e+06
4	inputspectra/spec-00000.mzXML	318	-1	245.128	0	176.628	6.03252e+06
4	inputspectra/spec-00000.mzXML	320	-1	245.125	0	177.748	2.62205e+06
4	inputspectra/spectwo-00000.mzXML	293	-1	245.128	1	163.137	754699
4	inputspectra/spectwo-00000.mzXML	295	-1	245.128	1	164.258	675713
4	inputspectra/spectwo-00000.mzXML	313	-1	245.128	1	174.342	1.20386e+06
4	inputspectra/spectwo-00000.mzXML	315	-1	245.128	1	175.463	4.88046e+06
4	inputspectra/spectwo-00000.mzXML	317	-1	245.128	0	176.584	4.8912e+06
4	inputspectra/spectwo-00000.mzXML	319	-1	245.128	1	177.704	1.42051e+06
4	inputspectra/spectwo-00001.mzXML	293	-1	245.128	1	163.217	851589
4	inputspectra/spectwo-00001.mzXML	313	-1	245.128	1	174.423	1.52951e+06
4	inputspectra/spectwo-00001.mzXML	315	-1	245.128	1	175.543	5.00259e+06
4	inputspectra/spectwo-00001.mzXML	317	-1	245.128	0	176.664	4.42226e+06
4	inputspectra/spectwo-00001.mzXML	319	-1	245.128	1	177.784	1.23904e+06
4	inputspectra/spectwo-00002.mzXML	291	-1	245.128	1	163.227	971911
4	inputspectra/spectwo-00002.mzXML	293	-1	245.128	1	164.348	757945
4	inputspectra/spectwo-00002.mzXML	311	-1	245.128	1	174.434	1.57795e+06
4	inputspectra/spectwo-00002.mzXML	313	-1	245.128	1	175.554	5.21672e+06
4	inputspectra/spectwo-00002.mzXML	315	-1	245.128	0	176.675	4.7856e+06
4	inputspectra/spectwo-00002.mzXML	317	-1	245.128	1	177.795	1.3567e+06
5	inputspectra/spectwo-00000.mzXML	1131	-1	251.046	1	632.642	754749
5	inputspectra/spectwo-00000.mzXML	1133	-1	251.046	1	633.763	3.19416e+06
5	inputspectra/spectwo-00000.mzXML	1135	-1	251.046	1	634.883	6.39896e+06
5	inputspectra/spectwo-00000.mzXML	1137	-1	251.046	0	636.004	7.39551e+06
5	inputspectra/spectwo-00000.mzXML	1139	-1	251.046	1	637.125	3.30847e+06
5	inputspectra/spectwo-00000.mzXML	1141	-1	251.046	1	638.245	749386
5	inputspectra/spectwo-00001.mzXML	1131	-1	251.046	1	632.706	984262
5	inputspectra/spectwo-00001.mzXML	1133	-1	251.046	1	633.827	3.66027e+06
5	inputspectra/spectwo-00001.mzXML	1135	-1	251.046	1	634.947	6.85396e+06
5	inputspectra/spectwo-00001.mzXML	1137	-1	251.046	0	636.068	7.78655e+06
5	inputspectra/spectwo-00001.mzXML	1139	-1	251.046	1	637.188	3.0828e+06
5	inputspectra/spectwo-00002.mzXML	1128	-1	251.047	1	631.939	463205
5	inputspectra/spectwo-00002.mzXML	1129	-1	251.047	1	632.727	1.41742e+06
5	inputspectra/spectwo-00002.mzXML	1131	-1	251.047	1	633.847	4.89979e+06
5	inputspectra/spectwo-00002.mzXML	1133	-1	251.047	0	634.968	1.00291e+07
5	inputspectra/spectwo-00002.mzXML	1135	-1	251.047	0	636.089	9.3606e+06
5	inputspectra/spectwo-00002.mzXML	1137	-1	251.047	0	637.209	4.85151e+06
5	inputspectra/spectwo-00002.mzXML	1139	-1	251.047	1	638.33	985637
5	inputspectra/spectwo-00002.mzXML	1223	-1	251.047	1	685.393	471374
5	inputspectra/spectwo-00002.mzXML	1228	-1	251.047	1	687.966	477120
6	inputspectra/spec-00000.mzXML	185	-1	261.115	1	101.879	506788
6	inputspectra/spec-00000.mzXML	187	-1	261.115	1	103	382239
6	inputspectra/spec-00000.mzXML	193	-1	261.115	1	106.361	2.22268e+06
6	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.149	2.56092e+06
6	inputspectra/spec-00000.mzXML	196	-1	261.115	1	108.27	1.24304e+06
6	inputspectra/spectwo-00000.mzXML	191	-1	261.123	1	105.989	1.5434e+06
6	inputspectra/spectwo-00000.mzXML	193	-1	261.123	1	107.109	1.79991e+06
6	inputspectra/spectwo-00001.mzXML	191	-1	261.123	1	106.068	1.66908e+06
6	inputspectra/spectwo-00001.mzXML	193	-1	261.123	1	107.188	1.7894e+06
6	inputspectra/spectwo-00001.mzXML	196	-1	261.123	1	108.641	493541
6	inputspectra/spectwo-00002.mzXML	189	-1	261.122	1	106.083	2.01184e+06
6	inputspectra/spectwo-00002.mzXML	191	-1	261.122	1	107.203	1.92879e+06
7	inputspectra/spectwo-00000.mzXML	1088	-1	280.262	1	608.323	345570
8	inputspectra/spectwo-00000.mzXML	1185	-1	282.278	1	662.898	806882
8	inputspectra/spectwo-00000.mzXML	1187	-1	282.278	1	664.019	940176
8	inputspectra/spectwo-00000.mzXML	1189	-1	282.278	1	665.139	537731
9	inputspectra/spec-00000.mzXML	514	-1	298.116	1	286.446	391603
9	inputspectra/spectwo-00000.mzXML	513	-1	298.125	1	286.394	212271
10	inputspectra/spectwo-00000.mzXML	1311	-1	310.309	1	733.491	484382
11	inputspectra/spectwo-00000.mzXML	897	-1	327.077	1	501.545	1.78953e+06
11	inputspectra/spectwo-00000.mzXML	899	-1	327.077	1	502.665	2.79979e+06
11	inputspectra/spectwo-00000.mzXML	901	-1	327.077	1	503.786	1.71972e+06
11	inputspectra/spectwo-00001.mzXML	896	-1	327.077	1	500.82	903728
11	inputspectra/spectwo-00001.mzXML	897	-1	327.077	1	501.608	2.12123e+06
11	inputspectra/spectwo-00001.mzXML	899	-1	327.077	1	502.729	2.78576e+06
11	inputspectra/spectwo-00001.mzXML	901	-1	327.077	1	503.849	1.53361e+06
11	inputspectra/spectwo-00002.mzXML	894	-1	327.077	1	500.835	1.29999e+06
11	inputspectra/spectwo-00002.mzXML	895	-1	327.077	1	501.622	2.94645e+06
11	inputspectra/spectwo-00002.mzXML	897	-1	327.077	1	502.744	4.22252e+06
11	inputspectra/spectwo-00002.mzXML	899	-1	327.077	1	503.864	2.4661e+06
12	inputspectra/spec-00000.mzXML	1429	-1	338.33	1	798.881	772803
12	inputspectra/spec-00000.mzXML	1431	-1	338.33	1	800.001	838330
12	inputspectra/spec-00000.mzXML	1433	-1	338.33	1	801.122	508380
12	inputspectra/spectwo-00000.mzXML	1427	-1	338.341	1	798.483	1.41846e+06
12	inputspectra/spectwo-00000.mzXML	1429	-1	338.341	1	799.604	1.82745e+06
12	inputspectra/spectwo-00000.mzXML	1431	-1	338.341	1	800.725	1.35071e+06
12	inputspectra/spectwo-00000.mzXML	1433	-1	338.341	1	801.846	623315
12	inputspectra/spectwo-00001.mzXML	1427	-1	338.34	1	798.537	541395
12	inputspectra/spectwo-00001.mzXML	1429	-1	338.34	1	799.658	645267
12	inputspectra/spectwo-00001.mzXML	1431	-1	338.34	1	800.779	493138
12	inputspectra/spectwo-00002.mzXML	1428	-1	338.341	1	800.02	388913
13	inputspectra/spec-00000.mzXML	562	-1	350.112	1	313.34	2.04618e+06
13	inputspectra/spec-00000.mzXML	564	-1	350.112	1	314.46	9.45769e+06
13	inputspectra/spec-00000.mzXML	566	-1	350.118	0	315.581	1.21979e+07
13	inputspectra/spec-00000.mzXML	568	-1	350.112	1	316.702	4.40531e+06
13	inputspectra/spec-00000.mzXML	570	-1	350.112	1	317.823	987670
13	inputspectra/spectwo-00000.mzXML	562	-1	350.122	1	313.621	1.79444e+06
13	inputspectra/spectwo-00000.mzXML	563	-1	350.122	1	314.409	5.53785e+06
13	inputspectra/spectwo-00000.mzXML	565	-1	350.122	1	315.529	7.95662e+06
13	inputspectra/spectwo-00000.mzXML	567	-1	350.122	1	316.65	3.36432e+06
13	inputspectra/spectwo-00001.mzXML	561	-1	350.122	1	313.366	1.57807e+06
13	inputspectra/spectwo-00001.mzXML	563	-1	350.122	1	314.487	6.80254e+06
13	inputspectra/spectwo-00001.mzXML	565	-1	350.122	1	315.607	7.18737e+06
13	inputspectra/spectwo-00001.mzXML	567	-1	350.122	1	316.728	2.55315e+06
13	inputspectra/spectwo-00002.mzXML	559	-1	350.122	1	313.376	1.41717e+06
13	inputspectra/spectwo-00002.mzXML	561	-1	350.122	1	314.496	6.76057e+06
13	inputspectra/spectwo-00002.mzXML	563	-1	350.122	1	315.616	7.76278e+06
13	inputspectra/spectwo-00002.mzXML	565	-1	350.122	1	316.737	2.80533e+06
14	inputspectra/spectwo-00000.mzXML	1098	-1	359.278	1	613.926	655175
14	inputspectra/spectwo-00001.mzXML	1096	-1	359.277	1	612.871	643480
14	inputspectra/spectwo-00001.mzXML	1098	-1	359.277	1	613.991	888315
14	inputspectra/spectwo-00001.mzXML	1100	-1	359.277	1	615.111	832389
15	inputspectra/spec-00000.mzXML	515	-1	360.036	1	286.778	700304
16	inputspectra/spectwo-00000.mzXML	993	-1	371.1	1	555.327	1.6032e+06
16	inputspectra/spectwo-00000.mzXML	995	-1	371.1	1	556.448	1.12695e+06
16	inputspectra/spectwo-00000.mzXML	1268	-1	371.1	1	709.17	1.57882e+06
16	inputspectra/spectwo-00000.mzXML	1269	-1	371.1	1	709.958	1.86701e+06
16	inputspectra/spectwo-00000.mzXML	1271	-1	371.1	1	711.078	1.14884e+06
16	inputspectra/spectwo-00001.mzXML	991	-1	371.1	1	554.27	1.38518e+06
16	inputspectra/spectwo-00001.mzXML	993	-1	371.1	1	555.391	1.78318e+06
16	inputspectra/spectwo-00001.mzXML	995	-1	371.1	1	556.512	1.07056e+06
16	inputspectra/spectwo-00001.mzXML	1267	-1	371.1	1	708.901	1.77611e+06
16	inputspectra/spectwo-00001.mzXML	1269	-1	371.1	1	710.022	2.33962e+06
16	inputspectra/spectwo-00002.mzXML	989	-1	371.1	1	554.29	861411
16	inputspectra/spectwo-00002.mzXML	991	-1	371.1	1	555.411	1.37542e+06
16	inputspectra/spectwo-00002.mzXML	1265	-1	371.1	1	708.924	1.28016e+06
16	inputspectra/spectwo-00002.mzXML	1267	-1	371.1	1	710.045	1.65032e+06
17	inputspectra/spectwo-00001.mzXML	1235	-1	391.202	1	690.973	3.04649e+06
17	inputspectra/spectwo-00001.mzXML	1241	-1	391.202	1	694.334	2.60353e+06
17	inputspectra/spectwo-00002.mzXML	1231	-1	391.203	1	689.875	3.30182e+06
17	inputspectra/spectwo-00002.mzXML	1233	-1	391.203	1	690.995	3.79412e+06
17	inputspectra/spectwo-00002.mzXML	1235	-1	391.203	1	692.115	3.41587e+06
18	inputspectra/spectwo-00001.mzXML	1277	-1	395.218	1	714.505	410938
18	inputspectra/spectwo-00001.mzXML	1279	-1	395.218	1	715.625	558596
18	inputspectra/spectwo-00001.mzXML	1281	-1	395.218	1	716.746	548449
18	inputspectra/spectwo-00001.mzXML	1283	-1	395.218	1	717.866	393342
19	inputspectra/spec-00000.mzXML	1255	-1	408.295	1	701.391	459590
19	inputspectra/spec-00000.mzXML	1256	-1	408.295	1	702.179	468145
19	inputspectra/spec-00000.mzXML	1258	-1	408.295	1	703.3	334167
19	inputspectra/spec-00000.mzXML	1279	-1	408.295	1	714.838	311572
20	inputspectra/spectwo-00000.mzXML	744	-1	418.242	1	415.598	899182
20	inputspectra/spectwo-00000.mzXML	746	-1	418.242	1	416.718	465641
20	inputspectra/spectwo-00001.mzXML	742	-1	418.242	1	414.543	958141
20	inputspectra/spectwo-00001.mzXML	744	-1	418.242	1	415.663	1.00026e+06
20	inputspectra/spectwo-00001.mzXML	746	-1	418.242	1	416.784	430815
20	inputspectra/spectwo-00002.mzXML	742	-1	418.242	1	415.673	833486
21	inputspectra/spectwo-00001.mzXML	647	-1	427.183	1	361.546	1.65146e+06
21	inputspectra/spectwo-00001.mzXML	649	-1	427.183	1	362.667	1.5622e+06
22	inputspectra/spectwo-00000.mzXML	1147	-1	431.254	1	641.607	514482
22	inputspectra/spectwo-00001.mzXML	1146	-1	431.254	1	640.882	487511
22	inputspectra/spectwo-00001.mzXML	1147	-1	431.254	1	641.67	481806
22	inputspectra/spectwo-00002.mzXML	1145	-1	431.255	1	641.691	509368
