ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	1	4	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=df8c4d6dd4324e06b918057ad576ec69&view=cluster_details&protein=1&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=df8c4d6dd4324e06b918057ad576ec69&show=true	N/A	N/A	N/A	N/A	152.4684	3.788824176443133	N/A	N/A	Hydro_D7_A5.mzXML|Hydro_D8_A5.mzXML|BG-1X-P1-A5.mzXML|Hydro_D15_A5.mzXML	4	1	-1	5	211.142	1	211.142	5.09129e+06
 	 	 	G2	0	0	4	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=df8c4d6dd4324e06b918057ad576ec69&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=df8c4d6dd4324e06b918057ad576ec69&show=true	N/A	N/A	N/A	N/A	108.114	58.083778350758145	N/A	N/A	Hydro_D8_A5.mzXML	1	2	-1	4	218.066	1	218.066	3.99873e+06
 	GROUP-1	GROUP-1	G1,G2	0	5	21	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=df8c4d6dd4324e06b918057ad576ec69&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=df8c4d6dd4324e06b918057ad576ec69&show=true	N/A	N/A	N/A	N/A	172.84346153846153	5.650195600635766	N/A	N/A	Hydro_D7_A5.mzXML|Hydro_D18_A5.mzXML|Hydro_D8_A5.mzXML|BG-1X-P1-A5.mzXML|Hydro_D15_A5.mzXML	5	3	2	26	245.127	1	245.127	6.96128e+07
 	 	 	G2	1	0	21	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=df8c4d6dd4324e06b918057ad576ec69&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=df8c4d6dd4324e06b918057ad576ec69&show=true	N/A	N/A	N/A	N/A	635.5039523809523	1.7832962384087792	N/A	N/A	Hydro_D7_A5.mzXML|Hydro_D18_A5.mzXML|Hydro_D8_A5.mzXML|Hydro_D15_A5.mzXML	4	4	5	21	251.046	1	251.046	7.15795e+07
 	GROUP-1	GROUP-1	G1,G2	1	4	10	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=df8c4d6dd4324e06b918057ad576ec69&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=df8c4d6dd4324e06b918057ad576ec69&show=true	N/A	N/A	N/A	N/A	108.87578571428571	6.503552382885743	N/A	N/A	Hydro_D7_A5.mzXML|Hydro_D18_A5.mzXML|Hydro_D8_A5.mzXML|BG-1X-P1-A5.mzXML|Hydro_D15_A5.mzXML	5	5	2	14	261.12	1	261.12	2.2602e+07
 	 	 	G2	1	0	11	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=df8c4d6dd4324e06b918057ad576ec69&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=df8c4d6dd4324e06b918057ad576ec69&show=true	N/A	N/A	N/A	N/A	502.7940909090909	1.213089778176929	N/A	N/A	Hydro_D7_A5.mzXML|Hydro_D18_A5.mzXML|Hydro_D15_A5.mzXML	3	8	5	11	327.077	1	327.077	2.18811e+07
 	GROUP-1	GROUP-1	G1,G2	1	4	11	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=df8c4d6dd4324e06b918057ad576ec69&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=df8c4d6dd4324e06b918057ad576ec69&show=true	N/A	N/A	N/A	N/A	799.7718	1.3540600282114514	N/A	N/A	Hydro_D18_A5.mzXML|Hydro_D8_A5.mzXML|BG-1X-P1-A5.mzXML|Hydro_D15_A5.mzXML	4	9	-1	15	338.337	1	338.337	1.52239e+07
 	GROUP-1	GROUP-1	G1,G2	0	5	16	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=df8c4d6dd4324e06b918057ad576ec69&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=df8c4d6dd4324e06b918057ad576ec69&show=true	N/A	N/A	N/A	N/A	315.21385714285714	1.3150627464919307	N/A	N/A	Hydro_D7_A5.mzXML|Hydro_D18_A5.mzXML|Hydro_D8_A5.mzXML|BG-1X-P1-A5.mzXML|Hydro_D15_A5.mzXML	5	10	-1	21	350.119	1	350.119	1.02034e+08
 	GROUP-1	GROUP-1	G1,G2	0	4	3	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=df8c4d6dd4324e06b918057ad576ec69&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=df8c4d6dd4324e06b918057ad576ec69&show=true	N/A	N/A	N/A	N/A	253.62199999999999	1.160986895459446	N/A	N/A	Hydro_D8_A5.mzXML|BG-1X-P1-A5.mzXML	2	11	3	7	363.209	1	363.209	2.01121e+07
 	 	 	G2	0	0	8	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=df8c4d6dd4324e06b918057ad576ec69&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=df8c4d6dd4324e06b918057ad576ec69&show=true	N/A	N/A	N/A	N/A	228.46212500000001	0.7521666101170695	N/A	N/A	Hydro_D7_A5.mzXML|Hydro_D18_A5.mzXML|Hydro_D15_A5.mzXML	3	12	3	8	365.231	1	365.231	1.371e+07
