#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spec-00000.mzXML	268	-1	211.138	1	148.585	1.4031e+06
1	inputspectra/spectwo-00000.mzXML	275	-1	211.144	1	154.251	1.3395e+06
1	inputspectra/spectwo-00001.mzXML	264	-1	211.144	1	147.607	529655
1	inputspectra/spectwo-00003.mzXML	277	-1	211.144	1	154.269	1.25264e+06
1	inputspectra/spectwo-00003.mzXML	283	-1	211.144	1	157.63	566394
2	inputspectra/spectwo-00000.mzXML	87	-1	218.066	1	48.925	1.26242e+06
2	inputspectra/spectwo-00000.mzXML	91	-1	218.066	1	51.166	726309
2	inputspectra/spectwo-00000.mzXML	294	-1	218.066	1	164.668	1.23865e+06
2	inputspectra/spectwo-00000.mzXML	299	-1	218.066	1	167.697	771347
3	inputspectra/spec-00000.mzXML	296	-1	245.121	1	164.273	1.56643e+06
3	inputspectra/spec-00000.mzXML	315	-1	245.121	1	174.693	2.5414e+06
3	inputspectra/spec-00000.mzXML	316	-1	245.125	0	175.481	5.90073e+06
3	inputspectra/spec-00000.mzXML	318	-1	245.128	0	176.601	5.80153e+06
3	inputspectra/spec-00000.mzXML	320	-1	245.125	0	177.721	2.58584e+06
3	inputspectra/spectwo-00000.mzXML	291	-1	245.128	1	163.215	831488
3	inputspectra/spectwo-00000.mzXML	293	-1	245.128	1	164.335	730979
3	inputspectra/spectwo-00000.mzXML	311	-1	245.128	1	174.418	1.14956e+06
3	inputspectra/spectwo-00000.mzXML	313	-1	245.128	1	175.539	5.02252e+06
3	inputspectra/spectwo-00000.mzXML	315	-1	245.128	0	176.66	5.27104e+06
3	inputspectra/spectwo-00000.mzXML	317	-1	245.128	1	177.78	1.58989e+06
3	inputspectra/spectwo-00001.mzXML	292	-1	245.128	1	163.296	837996
3	inputspectra/spectwo-00001.mzXML	312	-1	245.128	1	174.501	1.42005e+06
3	inputspectra/spectwo-00001.mzXML	314	-1	245.128	1	175.621	4.88252e+06
3	inputspectra/spectwo-00001.mzXML	316	-1	245.128	0	176.742	4.60405e+06
3	inputspectra/spectwo-00001.mzXML	318	-1	245.128	1	177.862	1.1819e+06
3	inputspectra/spectwo-00002.mzXML	293	-1	245.128	1	163.197	748552
3	inputspectra/spectwo-00002.mzXML	315	-1	245.128	1	175.522	4.27385e+06
3	inputspectra/spectwo-00002.mzXML	317	-1	245.128	0	176.643	4.64166e+06
3	inputspectra/spectwo-00002.mzXML	319	-1	245.128	1	177.763	1.40641e+06
3	inputspectra/spectwo-00003.mzXML	293	-1	245.128	1	163.233	731377
3	inputspectra/spectwo-00003.mzXML	295	-1	245.128	1	164.354	683767
3	inputspectra/spectwo-00003.mzXML	313	-1	245.128	1	174.439	1.17142e+06
3	inputspectra/spectwo-00003.mzXML	315	-1	245.128	1	175.56	4.46043e+06
3	inputspectra/spectwo-00003.mzXML	317	-1	245.128	0	176.68	4.34974e+06
3	inputspectra/spectwo-00003.mzXML	319	-1	245.128	1	177.801	1.22765e+06
4	inputspectra/spectwo-00000.mzXML	1132	-1	251.046	1	634.155	593895
4	inputspectra/spectwo-00000.mzXML	1133	-1	251.046	1	634.943	1.02153e+06
4	inputspectra/spectwo-00000.mzXML	1135	-1	251.046	1	636.064	966495
4	inputspectra/spectwo-00001.mzXML	1131	-1	251.047	1	633.143	1.50477e+06
4	inputspectra/spectwo-00001.mzXML	1132	-1	251.047	1	633.931	3.48039e+06
4	inputspectra/spectwo-00001.mzXML	1134	-1	251.047	1	635.052	6.11746e+06
4	inputspectra/spectwo-00001.mzXML	1136	-1	251.047	0	636.173	6.41917e+06
4	inputspectra/spectwo-00001.mzXML	1138	-1	251.047	1	637.293	2.39174e+06
4	inputspectra/spectwo-00001.mzXML	1140	-1	251.047	1	638.415	472102
4	inputspectra/spectwo-00002.mzXML	1131	-1	251.046	1	632.719	975690
4	inputspectra/spectwo-00002.mzXML	1133	-1	251.046	1	633.84	3.84164e+06
4	inputspectra/spectwo-00002.mzXML	1135	-1	251.046	0	634.961	8.2084e+06
4	inputspectra/spectwo-00002.mzXML	1137	-1	251.046	0	636.081	8.46218e+06
4	inputspectra/spectwo-00002.mzXML	1139	-1	251.046	1	637.202	3.98138e+06
4	inputspectra/spectwo-00002.mzXML	1141	-1	251.046	1	638.322	888951
4	inputspectra/spectwo-00003.mzXML	1131	-1	251.046	1	632.747	919925
4	inputspectra/spectwo-00003.mzXML	1133	-1	251.046	1	633.867	3.46915e+06
4	inputspectra/spectwo-00003.mzXML	1135	-1	251.046	1	634.988	6.7464e+06
4	inputspectra/spectwo-00003.mzXML	1137	-1	251.046	0	636.109	7.29868e+06
4	inputspectra/spectwo-00003.mzXML	1139	-1	251.046	1	637.229	3.13347e+06
4	inputspectra/spectwo-00003.mzXML	1141	-1	251.046	1	638.349	686063
5	inputspectra/spec-00000.mzXML	193	-1	261.115	1	106.337	2.46497e+06
5	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.124	2.90045e+06
