ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	1	3	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=a21071e73b9a4d81af35b42cbf6775bd&view=cluster_details&protein=1&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=a21071e73b9a4d81af35b42cbf6775bd&show=true	N/A	N/A	N/A	N/A	154.33625	3.471309290095021	N/A	N/A	BG-1X-P1-A9.mzXML|Ketocon_D15_A9.mzXML|Ketocon_D11_A9.mzXML	3	1	-1	4	211.143	1	211.143	5.0048e+06
 	 	 	G2	0	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=a21071e73b9a4d81af35b42cbf6775bd&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=a21071e73b9a4d81af35b42cbf6775bd&show=true	N/A	N/A	N/A	N/A	127.68233333333333	54.14462549710933	N/A	N/A	Ketocon_D8_A9.mzXML	1	2	-1	3	218.066	1	218.066	4.67065e+06
 	GROUP-1	GROUP-1	G1,G2	0	4	17	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=a21071e73b9a4d81af35b42cbf6775bd&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=a21071e73b9a4d81af35b42cbf6775bd&show=true	N/A	N/A	N/A	N/A	173.20980952380953	5.4124680719968685	N/A	N/A	BG-1X-P1-A9.mzXML|Ketocon_D15_A9.mzXML|Ketocon_D8_A9.mzXML|Ketocon_D11_A9.mzXML	4	3	2	21	245.127	1	245.127	5.28478e+07
 	 	 	G2	1	0	9	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=a21071e73b9a4d81af35b42cbf6775bd&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=a21071e73b9a4d81af35b42cbf6775bd&show=true	N/A	N/A	N/A	N/A	635.2606666666667	1.4604021516159194	N/A	N/A	Ketocon_D8_A9.mzXML|Ketocon_D15_A9.mzXML	2	4	6	9	251.046	1	251.046	1.88737e+07
 	GROUP-1	GROUP-1	G1,G2	1	5	8	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=a21071e73b9a4d81af35b42cbf6775bd&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=a21071e73b9a4d81af35b42cbf6775bd&show=true	N/A	N/A	N/A	N/A	108.1996923076923	7.238901259430674	N/A	N/A	BG-1X-P1-A9.mzXML|Ketocon_D15_A9.mzXML|Ketocon_D8_A9.mzXML|Ketocon_D11_A9.mzXML	4	5	2	13	261.119	1	261.119	1.71504e+07
 	GROUP-1	GROUP-1	G1	0	2	0	0	0	0	0	2	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=a21071e73b9a4d81af35b42cbf6775bd&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=a21071e73b9a4d81af35b42cbf6775bd&show=true	N/A	N/A	N/A	N/A	274.9255	0.3935000000000173	N/A	N/A	BG-1X-P1-A9.mzXML	1	6	-1	2	531.141	2	266.07	8.66914e+06
 	 	 	G2	1	0	4	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=a21071e73b9a4d81af35b42cbf6775bd&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=a21071e73b9a4d81af35b42cbf6775bd&show=true	N/A	N/A	N/A	N/A	502.81275	0.7960374912653372	N/A	N/A	Ketocon_D8_A9.mzXML|Ketocon_D15_A9.mzXML	2	8	6	4	327.077	1	327.077	4.60362e+06
 	GROUP-1	GROUP-1	G1,G2	1	3	12	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=a21071e73b9a4d81af35b42cbf6775bd&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=a21071e73b9a4d81af35b42cbf6775bd&show=true	N/A	N/A	N/A	N/A	799.7922	1.6386723569198829	N/A	N/A	BG-1X-P1-A9.mzXML|Ketocon_D15_A9.mzXML|Ketocon_D8_A9.mzXML|Ketocon_D11_A9.mzXML	4	9	-1	15	338.339	1	338.339	1.45784e+07
 	GROUP-1	GROUP-1	G1,G2	0	4	12	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=a21071e73b9a4d81af35b42cbf6775bd&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=a21071e73b9a4d81af35b42cbf6775bd&show=true	N/A	N/A	N/A	N/A	315.11775	1.2288525389565648	N/A	N/A	BG-1X-P1-A9.mzXML|Ketocon_D15_A9.mzXML|Ketocon_D8_A9.mzXML|Ketocon_D11_A9.mzXML	4	10	-1	16	350.118	1	350.118	7.94902e+07
 	 	 	G2	1	0	6	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=a21071e73b9a4d81af35b42cbf6775bd&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=a21071e73b9a4d81af35b42cbf6775bd&show=true	N/A	N/A	N/A	N/A	658.5041666666667	72.88946652618759	N/A	N/A	Ketocon_D11_A9.mzXML|Ketocon_D15_A9.mzXML|Ketocon_D8_A9.mzXML	3	11	4	6	371.1	1	371.1	6.52811e+06
