#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spec-00000.mzXML	268	-1	211.138	1	148.702	814240
1	inputspectra/spectwo-00000.mzXML	276	-1	211.144	1	154.34	1.40703e+06
1	inputspectra/spectwo-00000.mzXML	282	-1	211.144	1	157.701	521274
1	inputspectra/spectwo-00001.mzXML	282	-1	211.144	0	156.602	2.26226e+06
2	inputspectra/spectwo-00002.mzXML	92	-1	218.066	1	51.113	529371
2	inputspectra/spectwo-00002.mzXML	296	-1	218.066	1	165.407	2.42162e+06
2	inputspectra/spectwo-00002.mzXML	298	-1	218.066	1	166.527	1.71965e+06
3	inputspectra/spec-00000.mzXML	315	-1	245.121	1	174.806	2.22343e+06
3	inputspectra/spec-00000.mzXML	316	-1	245.125	0	175.594	5.5711e+06
3	inputspectra/spec-00000.mzXML	318	-1	245.128	0	176.715	5.36724e+06
3	inputspectra/spec-00000.mzXML	320	-1	245.125	0	177.835	2.0109e+06
3	inputspectra/spectwo-00000.mzXML	292	-1	245.128	1	163.304	724051
3	inputspectra/spectwo-00000.mzXML	294	-1	245.128	1	164.424	609533
3	inputspectra/spectwo-00000.mzXML	312	-1	245.128	1	174.508	1.21502e+06
3	inputspectra/spectwo-00000.mzXML	314	-1	245.128	1	175.628	4.49645e+06
3	inputspectra/spectwo-00000.mzXML	316	-1	245.128	1	176.749	3.69815e+06
3	inputspectra/spectwo-00000.mzXML	318	-1	245.128	1	177.869	1.10736e+06
3	inputspectra/spectwo-00001.mzXML	294	-1	245.128	1	163.326	780358
3	inputspectra/spectwo-00001.mzXML	296	-1	245.128	1	164.446	665912
3	inputspectra/spectwo-00001.mzXML	314	-1	245.128	1	174.529	1.3204e+06
3	inputspectra/spectwo-00001.mzXML	316	-1	245.128	1	175.649	4.72939e+06
3	inputspectra/spectwo-00001.mzXML	318	-1	245.128	1	176.77	3.88027e+06
3	inputspectra/spectwo-00001.mzXML	320	-1	245.128	1	177.89	1.13629e+06
3	inputspectra/spectwo-00002.mzXML	292	-1	245.128	1	163.165	901147
3	inputspectra/spectwo-00002.mzXML	312	-1	245.128	1	174.369	1.74841e+06
3	inputspectra/spectwo-00002.mzXML	314	-1	245.128	1	175.49	5.14169e+06
3	inputspectra/spectwo-00002.mzXML	316	-1	245.128	0	176.61	4.42822e+06
3	inputspectra/spectwo-00002.mzXML	318	-1	245.128	1	177.73	1.09246e+06
4	inputspectra/spectwo-00001.mzXML	1132	-1	251.046	1	632.841	588768
4	inputspectra/spectwo-00001.mzXML	1134	-1	251.046	1	633.961	2.33981e+06
4	inputspectra/spectwo-00001.mzXML	1136	-1	251.046	1	635.082	4.26558e+06
4	inputspectra/spectwo-00001.mzXML	1138	-1	251.046	1	636.202	3.79813e+06
4	inputspectra/spectwo-00001.mzXML	1140	-1	251.046	1	637.323	1.45124e+06
4	inputspectra/spectwo-00002.mzXML	1132	-1	251.046	1	633.803	1.00098e+06
4	inputspectra/spectwo-00002.mzXML	1134	-1	251.046	1	634.924	2.32259e+06
4	inputspectra/spectwo-00002.mzXML	1136	-1	251.046	1	636.045	2.19137e+06
4	inputspectra/spectwo-00002.mzXML	1138	-1	251.046	1	637.165	915208
5	inputspectra/spec-00000.mzXML	185	-1	261.115	1	101.974	545203
5	inputspectra/spec-00000.mzXML	192	-1	261.115	1	106.122	1.84172e+06
5	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.243	2.33816e+06
5	inputspectra/spec-00000.mzXML	196	-1	261.115	1	108.363	1.21256e+06
5	inputspectra/spec-00000.mzXML	239	-1	261.115	1	132.227	413679
5	inputspectra/spectwo-00000.mzXML	190	-1	261.122	1	106.155	1.65904e+06
5	inputspectra/spectwo-00000.mzXML	192	-1	261.122	1	107.276	1.71963e+06
5	inputspectra/spectwo-00000.mzXML	195	-1	261.122	1	108.729	454321
5	inputspectra/spectwo-00001.mzXML	192	-1	261.122	1	106.18	1.76884e+06
5	inputspectra/spectwo-00001.mzXML	194	-1	261.122	1	107.3	1.80226e+06
5	inputspectra/spectwo-00002.mzXML	182	-1	261.122	1	101.536	302069
5	inputspectra/spectwo-00002.mzXML	190	-1	261.122	1	106.019	2.00473e+06
5	inputspectra/spectwo-00002.mzXML	193	-1	261.122	1	107.472	1.08821e+06
6	inputspectra/spec-00000.mzXML	493	-1	531.141	2	274.532	4.91986e+06
6	inputspectra/spec-00000.mzXML	494	-1	531.141	2	275.319	3.74928e+06
7	inputspectra/spectwo-00002.mzXML	302	-1	296.166	1	168.767	433349
8	inputspectra/spectwo-00001.mzXML	898	-1	327.077	1	501.734	1.32679e+06
8	inputspectra/spectwo-00001.mzXML	900	-1	327.077	1	502.855	1.77066e+06
8	inputspectra/spectwo-00001.mzXML	902	-1	327.077	1	503.976	889512
8	inputspectra/spectwo-00002.mzXML	898	-1	327.077	1	502.686	616651
9	inputspectra/spec-00000.mzXML	1427	-1	338.331	1	797.818	592981
9	inputspectra/spec-00000.mzXML	1429	-1	338.331	1	798.939	731660
9	inputspectra/spec-00000.mzXML	1431	-1	338.331	1	800.06	682812
9	inputspectra/spectwo-00000.mzXML	1428	-1	338.34	1	799.784	325227
9	inputspectra/spectwo-00001.mzXML	1426	-1	338.34	1	797.56	699674
9	inputspectra/spectwo-00001.mzXML	1428	-1	338.34	1	798.681	1.29186e+06
9	inputspectra/spectwo-00001.mzXML	1430	-1	338.34	1	799.801	1.35261e+06
9	inputspectra/spectwo-00001.mzXML	1432	-1	338.34	1	800.921	980364
9	inputspectra/spectwo-00001.mzXML	1434	-1	338.34	1	802.042	402969
9	inputspectra/spectwo-00002.mzXML	1424	-1	338.341	1	797.412	953461
9	inputspectra/spectwo-00002.mzXML	1426	-1	338.341	1	798.532	1.71185e+06
9	inputspectra/spectwo-00002.mzXML	1428	-1	338.341	1	799.653	2.208e+06
9	inputspectra/spectwo-00002.mzXML	1430	-1	338.341	1	800.773	1.6274e+06
9	inputspectra/spectwo-00002.mzXML	1432	-1	338.341	1	801.893	744772
9	inputspectra/spectwo-00002.mzXML	1434	-1	338.341	1	803.014	272757
10	inputspectra/spec-00000.mzXML	563	-1	350.113	1	313.752	2.73798e+06
10	inputspectra/spec-00000.mzXML	564	-1	350.113	1	314.54	7.55688e+06
10	inputspectra/spec-00000.mzXML	566	-1	350.113	0	315.66	1.11969e+07
10	inputspectra/spec-00000.mzXML	568	-1	350.113	1	316.78	4.60852e+06
