ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	 	 	G1	0	5	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=1&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	171.49	6.27622405591133	N/A	N/A	BG-1X-P1-C9.mzXML	1	1	3	5	245.125	1	245.125	1.49851e+07
 	 	 	G1	1	4	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	355.39975	1.144599793596009	N/A	N/A	BG-1X-P1-C9.mzXML	1	2	-1	4	255.093	1	255.093	4.20168e+06
 	 	 	G1	1	4	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	113.43575	10.791354488084433	N/A	N/A	BG-1X-P1-C9.mzXML	1	3	3	4	261.115	1	261.115	5.62418e+06
 	 	 	G1	1	4	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	799.1202499999999	1.1448081444067373	N/A	N/A	BG-1X-P1-C9.mzXML	1	4	-1	4	338.331	1	338.331	4.90342e+06
 	 	 	G1	0	5	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	315.5888	1.4934038167890136	N/A	N/A	BG-1X-P1-C9.mzXML	1	5	-1	5	350.115	1	350.115	2.87315e+07
 	 	 	G1	1	3	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	702.4413333333333	0.914884449291573	N/A	N/A	BG-1X-P1-C9.mzXML	1	7	-1	3	408.295	1	408.295	907066
 	 	 	G1	1	3	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	315.85533333333336	0.914884449291573	N/A	N/A	BG-1X-P1-C9.mzXML	1	8	-1	3	453.056	1	453.056	7.09657e+06
 	 	 	G1,G2	0	31	48	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	694.9242151898734	16.18302784617728	N/A	N/A	BG-1X-P1-C9.mzXML|Ketoprof_D20_C9.mzXML	2	9	1	79	536.154	1	536.154	9.74297e+07
 	 	 	G1,G2	0	4	5	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	789.213	94.16096378247434	N/A	N/A	BG-1X-P1-C9.mzXML|Ketoprof_D20_C9.mzXML	2	10	1	9	537.386	1	537.386	1.08432e+07
 	 	 	G1,G2	0	27	34	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	768.3524426229508	15.336900550926282	N/A	N/A	BG-1X-P1-C9.mzXML|Ketoprof_D20_C9.mzXML	2	11	1	61	610.173	1	610.173	1.37699e+08
 	 	 	G1,G2	0	2	2	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	765.06925	6.187464843334476	N/A	N/A	BG-1X-P1-C9.mzXML|Ketoprof_D20_C9.mzXML	2	12	1	4	610.174	1	610.174	1.13138e+07
 	 	 	G2	1	0	2	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=13&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	707.5735	0.5604999999999905	N/A	N/A	Ketoprof_D20_C9.mzXML	1	13	2	2	616.476	1	616.476	642400
 	 	 	G2	1	0	2	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=14&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	784.8895	5.042500000000018	N/A	N/A	Ketoprof_D20_C9.mzXML	1	14	2	2	630.491	1	630.491	832992
 	 	 	G2	0	0	24	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=15&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	773.3582916666667	7.894574173016798	N/A	N/A	Ketoprof_D20_C9.mzXML	1	15	-1	24	663.451	1	663.451	2.10562e+07
 	 	 	G2	0	0	52	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=16&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	825.5488846153846	17.348123883993296	N/A	N/A	Ketoprof_D20_C9.mzXML	1	16	1	52	684.201	1	684.201	1.28668e+08
 	 	 	G2	0	0	25	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=756744763b45473cab25550a3c06ed90&view=cluster_details&protein=18&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=756744763b45473cab25550a3c06ed90&show=true	N/A	N/A	N/A	N/A	827.44964	9.882533694878056	N/A	N/A	Ketoprof_D20_C9.mzXML	1	18	1	25	686.199	1	686.199	2.78839e+07
