#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spec-00000.mzXML	295	-1	245.12	1	163.464	1.01037e+06
1	inputspectra/spec-00000.mzXML	296	-1	245.12	1	164.253	933282
1	inputspectra/spec-00000.mzXML	316	-1	245.124	0	175.457	5.22748e+06
1	inputspectra/spec-00000.mzXML	318	-1	245.127	0	176.578	5.58695e+06
1	inputspectra/spec-00000.mzXML	320	-1	245.124	0	177.698	2.22702e+06
2	inputspectra/spec-00000.mzXML	635	-1	255.093	1	353.969	863974
2	inputspectra/spec-00000.mzXML	636	-1	255.093	1	354.756	1.55165e+06
2	inputspectra/spec-00000.mzXML	638	-1	255.093	1	355.877	1.31307e+06
2	inputspectra/spec-00000.mzXML	640	-1	255.093	1	356.997	472980
3	inputspectra/spec-00000.mzXML	193	-1	261.115	1	106.319	1.86983e+06
3	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.107	2.26167e+06
3	inputspectra/spec-00000.mzXML	196	-1	261.115	1	108.227	1.17851e+06
3	inputspectra/spec-00000.mzXML	239	-1	261.115	1	132.09	314167
4	inputspectra/spec-00000.mzXML	1427	-1	338.331	1	797.689	884429
4	inputspectra/spec-00000.mzXML	1428	-1	338.331	1	798.477	1.41986e+06
4	inputspectra/spec-00000.mzXML	1430	-1	338.331	1	799.597	1.57046e+06
4	inputspectra/spec-00000.mzXML	1432	-1	338.331	1	800.718	1.02867e+06
5	inputspectra/spec-00000.mzXML	563	-1	350.111	1	313.614	2.18752e+06
5	inputspectra/spec-00000.mzXML	564	-1	350.111	1	314.402	7.05858e+06
5	inputspectra/spec-00000.mzXML	566	-1	350.117	0	315.522	1.22969e+07
5	inputspectra/spec-00000.mzXML	568	-1	350.117	0	316.643	5.91868e+06
5	inputspectra/spec-00000.mzXML	570	-1	350.111	1	317.763	1.26974e+06
6	inputspectra/spec-00000.mzXML	1283	-1	395.207	1	717.008	298928
7	inputspectra/spec-00000.mzXML	1255	-1	408.295	1	701.321	333311
7	inputspectra/spec-00000.mzXML	1257	-1	408.295	1	702.441	353032
7	inputspectra/spec-00000.mzXML	1259	-1	408.295	1	703.562	220723
8	inputspectra/spec-00000.mzXML	565	-1	453.056	1	314.735	2.53757e+06
8	inputspectra/spec-00000.mzXML	567	-1	453.056	1	315.855	2.75107e+06
8	inputspectra/spec-00000.mzXML	569	-1	453.056	1	316.976	1.80794e+06
9	inputspectra/spec-00000.mzXML	1229	-1	536.147	1	686.756	932286
9	inputspectra/spec-00000.mzXML	1235	-1	536.147	1	690.117	1.13806e+06
9	inputspectra/spec-00000.mzXML	1237	-1	536.147	1	691.237	1.24955e+06
9	inputspectra/spec-00000.mzXML	1239	-1	536.147	1	692.358	1.21921e+06
9	inputspectra/spec-00000.mzXML	1240	-1	536.147	1	693.145	1.31159e+06
9	inputspectra/spec-00000.mzXML	1242	-1	536.147	1	694.265	1.3642e+06
9	inputspectra/spec-00000.mzXML	1244	-1	536.147	1	695.386	1.42915e+06
9	inputspectra/spec-00000.mzXML	1246	-1	536.147	1	696.506	1.58008e+06
9	inputspectra/spec-00000.mzXML	1248	-1	536.147	1	697.627	1.68911e+06
9	inputspectra/spec-00000.mzXML	1250	-1	536.147	1	698.747	1.83465e+06
9	inputspectra/spec-00000.mzXML	1252	-1	536.147	1	699.868	1.79792e+06
9	inputspectra/spec-00000.mzXML	1254	-1	536.147	1	700.988	1.81338e+06
9	inputspectra/spec-00000.mzXML	1256	-1	536.147	1	702.109	1.77759e+06
9	inputspectra/spec-00000.mzXML	1258	-1	536.147	1	703.229	1.89762e+06
9	inputspectra/spec-00000.mzXML	1260	-1	536.147	1	704.35	2.12176e+06
9	inputspectra/spec-00000.mzXML	1262	-1	536.147	1	705.47	2.14973e+06
