ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	 	 	G2	0	0	2	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7a3c624d108c45688e765cceeb13204b&view=cluster_details&protein=1&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=7a3c624d108c45688e765cceeb13204b&show=true	N/A	N/A	N/A	N/A	155.9895	1.680499999999995	N/A	N/A	Levon_D15_D1.mzXML	1	1	-1	2	211.144	1	211.144	2.95949e+06
 	 	 	G2	1	0	2	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7a3c624d108c45688e765cceeb13204b&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=7a3c624d108c45688e765cceeb13204b&show=true	N/A	N/A	N/A	N/A	126.257	0.04100000000000392	N/A	N/A	Levon_D15_D1.mzXML|Levon_D19_D1.mzXML	2	2	-1	2	229.1	1	229.1	5.79227e+06
 	GROUP-1	GROUP-1	G1,G2	0	6	16	0	0	0	0	6	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7a3c624d108c45688e765cceeb13204b&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=7a3c624d108c45688e765cceeb13204b&show=true	N/A	N/A	N/A	N/A	172.30045454545456	5.905362699408925	N/A	N/A	BG-1X-P1-D1.mzXML|Levon_D15_D1.mzXML|Levon_D18_D1.mzXML|Levon_D19_D1.mzXML	4	3	6	22	245.127	1	245.127	6.41922e+07
 	 	 	G2	1	0	15	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7a3c624d108c45688e765cceeb13204b&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=7a3c624d108c45688e765cceeb13204b&show=true	N/A	N/A	N/A	N/A	635.3765333333333	1.6649472410727117	N/A	N/A	Levon_D15_D1.mzXML|Levon_D18_D1.mzXML|Levon_D19_D1.mzXML	3	5	5	15	251.046	1	251.046	5.41712e+07
 	GROUP-1	GROUP-1	G1,G2	1	6	8	0	0	0	0	6	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7a3c624d108c45688e765cceeb13204b&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=7a3c624d108c45688e765cceeb13204b&show=true	N/A	N/A	N/A	N/A	109.97871428571429	9.17566921987999	N/A	N/A	BG-1X-P1-D1.mzXML|Levon_D15_D1.mzXML|Levon_D18_D1.mzXML|Levon_D19_D1.mzXML	4	6	6	14	261.12	1	261.12	1.95474e+07
 	 	 	G2	1	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7a3c624d108c45688e765cceeb13204b&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=7a3c624d108c45688e765cceeb13204b&show=true	N/A	N/A	N/A	N/A	663.4366666666667	0.5371308551512949	N/A	N/A	Levon_D15_D1.mzXML|Levon_D18_D1.mzXML	2	7	7	3	282.278	1	282.278	2.09844e+06
 	GROUP-1	GROUP-1	G1,G2	0	6	17	0	0	0	0	6	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7a3c624d108c45688e765cceeb13204b&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=7a3c624d108c45688e765cceeb13204b&show=true	MassbankEU:SM873701 Norgestrel|13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one	0.745538	9.54843	0.00299072	405.1591739130435	1.8766971600724023	CCC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C	CCMSLIB00000842003	BG-1X-P1-D1.mzXML|Levon_D15_D1.mzXML|Levon_D18_D1.mzXML|Levon_D19_D1.mzXML	4	9	4	23	313.213	1	313.213	1.04508e+08
 	GROUP-1	GROUP-1	G1,G2	1	3	1	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7a3c624d108c45688e765cceeb13204b&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=7a3c624d108c45688e765cceeb13204b&show=true	N/A	N/A	N/A	N/A	405.6105	0.7925933698940407	N/A	N/A	BG-1X-P1-D1.mzXML|Levon_D15_D1.mzXML	2	10	4	4	314.212	1	314.212	6.01283e+06
 	 	 	G2	1	0	9	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7a3c624d108c45688e765cceeb13204b&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=7a3c624d108c45688e765cceeb13204b&show=true	N/A	N/A	N/A	N/A	502.45144444444446	0.9840962138046723	N/A	N/A	Levon_D15_D1.mzXML|Levon_D18_D1.mzXML|Levon_D19_D1.mzXML	3	11	5	9	327.077	1	327.077	1.49863e+07
 	GROUP-1	GROUP-1	G1,G2	1	4	17	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7a3c624d108c45688e765cceeb13204b&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=7a3c624d108c45688e765cceeb13204b&show=true	N/A	N/A	N/A	N/A	799.346619047619	1.7348815652232648	N/A	N/A	BG-1X-P1-D1.mzXML|Levon_D15_D1.mzXML|Levon_D18_D1.mzXML|Levon_D19_D1.mzXML	4	12	7	21	338.339	1	338.339	2.11527e+07
 	GROUP-1	GROUP-1	G1,G2	0	5	12	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7a3c624d108c45688e765cceeb13204b&view=cluster_details&protein=13&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=7a3c624d108c45688e765cceeb13204b&show=true	N/A	N/A	N/A	N/A	315.2466470588235	1.380909799890104	N/A	N/A	BG-1X-P1-D1.mzXML|Levon_D15_D1.mzXML|Levon_D18_D1.mzXML|Levon_D19_D1.mzXML	4	13	-1	17	350.119	1	350.119	9.91197e+07
