#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spectwo-00001.mzXML	276	-1	211.144	1	154.309	2.11585e+06
1	inputspectra/spectwo-00001.mzXML	282	-1	211.144	1	157.67	843637
2	inputspectra/spectwo-00001.mzXML	226	-1	229.1	1	126.298	3.14978e+06
2	inputspectra/spectwo-00002.mzXML	227	-1	229.1	1	126.216	2.64249e+06
3	inputspectra/spec-00000.mzXML	295	-1	245.12	1	163.557	1.15225e+06
3	inputspectra/spec-00000.mzXML	296	-1	245.12	1	164.344	936685
3	inputspectra/spec-00000.mzXML	315	-1	245.12	1	174.764	2.26003e+06
3	inputspectra/spec-00000.mzXML	316	-1	245.124	0	175.551	5.77014e+06
3	inputspectra/spec-00000.mzXML	318	-1	245.128	0	176.672	5.52584e+06
3	inputspectra/spec-00000.mzXML	320	-1	245.124	0	177.792	2.13264e+06
3	inputspectra/spectwo-00000.mzXML	293	-1	245.128	1	163.31	997104
3	inputspectra/spectwo-00000.mzXML	295	-1	245.128	1	164.43	815970
3	inputspectra/spectwo-00000.mzXML	313	-1	245.128	1	174.516	1.52286e+06
3	inputspectra/spectwo-00000.mzXML	315	-1	245.128	1	175.636	5.16585e+06
3	inputspectra/spectwo-00000.mzXML	317	-1	245.128	0	176.757	4.9937e+06
3	inputspectra/spectwo-00000.mzXML	319	-1	245.128	1	177.878	1.349e+06
3	inputspectra/spectwo-00001.mzXML	292	-1	245.128	1	163.272	1.40688e+06
3	inputspectra/spectwo-00001.mzXML	294	-1	245.128	1	164.392	1.22265e+06
3	inputspectra/spectwo-00001.mzXML	312	-1	245.128	1	174.478	1.98624e+06
3	inputspectra/spectwo-00001.mzXML	314	-1	245.128	0	175.598	7.2962e+06
3	inputspectra/spectwo-00001.mzXML	316	-1	245.128	0	176.719	6.19637e+06
3	inputspectra/spectwo-00001.mzXML	318	-1	245.128	1	177.839	2.24105e+06
3	inputspectra/spectwo-00002.mzXML	293	-1	245.128	1	163.192	705635
3	inputspectra/spectwo-00002.mzXML	315	-1	245.128	1	175.517	4.46902e+06
