ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	2	12	0	0	0	0	2	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=6a22a31a7b004db28978c528ee25c932&view=cluster_details&protein=1&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=6a22a31a7b004db28978c528ee25c932&show=true	N/A	N/A	N/A	N/A	150.86057142857143	3.851148190832849	N/A	N/A	Lovas_D19_E5.mzXML|Lovas_D20_E5.mzXML|Lovas_D6_E5.mzXML|Lovas_D13_E5.mzXML|Lovas_D14_E5.mzXML|Lovas_D8_E5.mzXML|BG-1X-P1-E5.mzXML|Lovas_D15_E5.mzXML|Lovas_D17_E5.mzXML	9	1	-1	14	211.143	1	211.143	1.33089e+07
 	 	 	G2	0	0	5	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=6a22a31a7b004db28978c528ee25c932&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=6a22a31a7b004db28978c528ee25c932&show=true	N/A	N/A	N/A	N/A	119.37440000000001	57.006616477738795	N/A	N/A	Lovas_D19_E5.mzXML|Lovas_D5_E5.mzXML|Lovas_D8_E5.mzXML	3	2	-1	5	218.066	1	218.066	6.24277e+06
 	GROUP-1	GROUP-1	G1,G2	0	6	42	0	0	0	0	6	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=6a22a31a7b004db28978c528ee25c932&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=6a22a31a7b004db28978c528ee25c932&show=true	N/A	N/A	N/A	N/A	173.6063125	5.081093579618834	N/A	N/A	Lovas_D19_E5.mzXML|Lovas_D20_E5.mzXML|Lovas_D6_E5.mzXML|Lovas_D13_E5.mzXML|Lovas_D14_E5.mzXML|Lovas_D5_E5.mzXML|Lovas_D8_E5.mzXML|BG-1X-P1-E5.mzXML|Lovas_D15_E5.mzXML|Lovas_D17_E5.mzXML	10	3	7	48	245.127	1	245.127	1.24304e+08
 	 	 	G2	1	0	22	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=6a22a31a7b004db28978c528ee25c932&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=8&task=6a22a31a7b004db28978c528ee25c932&show=true	N/A	N/A	N/A	N/A	635.3850909090909	1.2713705170938623	N/A	N/A	Lovas_D19_E5.mzXML|Lovas_D6_E5.mzXML|Lovas_D14_E5.mzXML|Lovas_D5_E5.mzXML|Lovas_D8_E5.mzXML|Lovas_D15_E5.mzXML	6	4	8	22	251.046	1	251.046	4.37716e+07
 	GROUP-1	GROUP-1	G1,G2	1	2	22	0	0	0	0	2	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=6a22a31a7b004db28978c528ee25c932&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=6a22a31a7b004db28978c528ee25c932&show=true	N/A	N/A	N/A	N/A	106.79979166666666	1.3743376277067259	N/A	N/A	Lovas_D19_E5.mzXML|Lovas_D20_E5.mzXML|Lovas_D6_E5.mzXML|Lovas_D13_E5.mzXML|Lovas_D14_E5.mzXML|Lovas_D5_E5.mzXML|Lovas_D8_E5.mzXML|BG-1X-P1-E5.mzXML|Lovas_D15_E5.mzXML|Lovas_D17_E5.mzXML	10	6	7	24	261.121	1	261.121	3.27814e+07
 	 	 	G2	0	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=6a22a31a7b004db28978c528ee25c932&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=6a22a31a7b004db28978c528ee25c932&show=true	N/A	N/A	N/A	N/A	645.0763333333333	0.914884449291573	N/A	N/A	Lovas_D15_E5.mzXML	1	8	3	3	269.246	1	269.246	1.18944e+06
 	 	 	G2	1	0	7	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=6a22a31a7b004db28978c528ee25c932&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=6a22a31a7b004db28978c528ee25c932&show=true	N/A	N/A	N/A	N/A	611.3467142857143	4.164620706937571	N/A	N/A	Lovas_D15_E5.mzXML|Lovas_D8_E5.mzXML	2	9	3	7	280.262	1	280.262	3.55406e+06
 	 	 	G2	1	0	8	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=6a22a31a7b004db28978c528ee25c932&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=6a22a31a7b004db28978c528ee25c932&show=true	N/A	N/A	N/A	N/A	664.22325	3.3181962249843	N/A	N/A	Lovas_D15_E5.mzXML|Lovas_D8_E5.mzXML	2	10	3	8	282.278	1	282.278	1.03273e+07
 	 	 	G2	1	0	4	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=6a22a31a7b004db28978c528ee25c932&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=6a22a31a7b004db28978c528ee25c932&show=true	N/A	N/A	N/A	N/A	522.543	18.89181654844233	N/A	N/A	Lovas_D15_E5.mzXML	1	12	3	4	286.236	1	286.236	1.40099e+06
 	GROUP-1	GROUP-1	G1,G2	0	2	1	0	0	0	0	2	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=6a22a31a7b004db28978c528ee25c932&view=cluster_details&protein=14&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=6a22a31a7b004db28978c528ee25c932&show=true	N/A	N/A	N/A	N/A	495.1293333333333	29.150362105622108	N/A	N/A	BG-1X-P1-E5.mzXML|Lovas_D8_E5.mzXML	2	14	5	3	303.186	1	303.186	7.69346e+06
