#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spec-00000.mzXML	267	-1	211.137	1	147.791	770597
1	inputspectra/spec-00000.mzXML	268	-1	211.137	1	148.579	805459
1	inputspectra/spectwo-00000.mzXML	267	-1	211.144	1	148.764	412579
1	inputspectra/spectwo-00000.mzXML	281	-1	211.144	1	156.608	1.95476e+06
1	inputspectra/spectwo-00001.mzXML	263	-1	211.144	1	146.522	271104
1	inputspectra/spectwo-00003.mzXML	277	-1	211.144	1	154.34	1.75924e+06
1	inputspectra/spectwo-00003.mzXML	283	-1	211.144	1	157.705	749611
1	inputspectra/spectwo-00004.mzXML	266	-1	211.143	1	148.695	403818
1	inputspectra/spectwo-00005.mzXML	262	-1	211.144	1	148.696	387123
1	inputspectra/spectwo-00006.mzXML	278	-1	211.143	1	155.388	1.84891e+06
1	inputspectra/spectwo-00007.mzXML	264	-1	211.144	1	147.51	445072
1	inputspectra/spectwo-00007.mzXML	266	-1	211.144	1	148.631	385721
1	inputspectra/spectwo-00007.mzXML	278	-1	211.144	1	155.355	2.69983e+06
1	inputspectra/spectwo-00008.mzXML	265	-1	211.144	1	147.464	415087
2	inputspectra/spectwo-00000.mzXML	89	-1	218.066	1	49.029	1.11223e+06
2	inputspectra/spectwo-00000.mzXML	297	-1	218.066	1	165.574	2.43979e+06
2	inputspectra/spectwo-00000.mzXML	299	-1	218.066	1	166.695	1.82825e+06
2	inputspectra/spectwo-00002.mzXML	297	-1	218.066	1	165.485	559458
2	inputspectra/spectwo-00004.mzXML	90	-1	218.066	1	50.089	303040
3	inputspectra/spec-00000.mzXML	295	-1	245.12	1	163.479	1.02938e+06
3	inputspectra/spec-00000.mzXML	296	-1	245.12	1	164.267	1.03822e+06
3	inputspectra/spec-00000.mzXML	315	-1	245.12	1	174.685	1.89686e+06
3	inputspectra/spec-00000.mzXML	316	-1	245.124	0	175.473	5.61317e+06
3	inputspectra/spec-00000.mzXML	318	-1	245.128	0	176.593	6.05603e+06
3	inputspectra/spec-00000.mzXML	320	-1	245.124	0	177.714	2.57488e+06
3	inputspectra/spectwo-00000.mzXML	313	-1	245.128	1	174.538	2.03906e+06
3	inputspectra/spectwo-00000.mzXML	315	-1	245.128	1	175.658	5.28607e+06
3	inputspectra/spectwo-00000.mzXML	317	-1	245.128	0	176.778	4.11255e+06
3	inputspectra/spectwo-00000.mzXML	319	-1	245.128	1	177.898	1.01838e+06
3	inputspectra/spectwo-00001.mzXML	313	-1	245.128	1	174.534	1.00323e+06
3	inputspectra/spectwo-00001.mzXML	315	-1	245.128	1	175.655	4.10348e+06
3	inputspectra/spectwo-00001.mzXML	317	-1	245.128	1	176.775	3.50941e+06
3	inputspectra/spectwo-00001.mzXML	319	-1	245.128	1	177.896	1.07289e+06
3	inputspectra/spectwo-00002.mzXML	295	-1	245.128	1	164.365	640463
3	inputspectra/spectwo-00002.mzXML	315	-1	245.128	1	175.57	4.74925e+06
3	inputspectra/spectwo-00002.mzXML	317	-1	245.128	0	176.691	4.63062e+06
3	inputspectra/spectwo-00002.mzXML	319	-1	245.128	1	177.812	1.40151e+06
3	inputspectra/spectwo-00003.mzXML	293	-1	245.128	1	163.309	1.13538e+06
3	inputspectra/spectwo-00003.mzXML	295	-1	245.128	1	164.43	994218
3	inputspectra/spectwo-00003.mzXML	313	-1	245.128	1	174.515	1.53016e+06
3	inputspectra/spectwo-00003.mzXML	315	-1	245.128	1	175.635	5.70904e+06
3	inputspectra/spectwo-00003.mzXML	317	-1	245.128	0	176.756	5.6632e+06
3	inputspectra/spectwo-00003.mzXML	319	-1	245.128	1	177.876	1.92901e+06
3	inputspectra/spectwo-00004.mzXML	292	-1	245.128	1	163.262	709280
3	inputspectra/spectwo-00004.mzXML	294	-1	245.128	1	164.383	658196
3	inputspectra/spectwo-00004.mzXML	312	-1	245.128	1	174.468	972985
3	inputspectra/spectwo-00004.mzXML	314	-1	245.128	1	175.588	4.48278e+06
3	inputspectra/spectwo-00004.mzXML	316	-1	245.128	0	176.709	4.59936e+06
3	inputspectra/spectwo-00004.mzXML	318	-1	245.128	1	177.829	1.39052e+06
3	inputspectra/spectwo-00005.mzXML	288	-1	245.128	1	163.263	753139
3	inputspectra/spectwo-00005.mzXML	308	-1	245.128	1	174.469	1.02102e+06
3	inputspectra/spectwo-00005.mzXML	310	-1	245.128	1	175.59	4.67279e+06
3	inputspectra/spectwo-00005.mzXML	312	-1	245.128	1	176.71	4.34081e+06
3	inputspectra/spectwo-00005.mzXML	314	-1	245.128	1	177.831	1.46685e+06
3	inputspectra/spectwo-00006.mzXML	313	-1	245.128	1	174.771	1.11923e+06
3	inputspectra/spectwo-00006.mzXML	314	-1	245.128	1	175.559	2.90219e+06
3	inputspectra/spectwo-00006.mzXML	316	-1	245.128	1	176.679	2.66657e+06
3	inputspectra/spectwo-00007.mzXML	294	-1	245.128	1	164.32	666032
3	inputspectra/spectwo-00007.mzXML	312	-1	245.128	1	174.405	752336
3	inputspectra/spectwo-00007.mzXML	314	-1	245.128	1	175.526	4.32059e+06
3	inputspectra/spectwo-00007.mzXML	316	-1	245.128	0	176.647	4.94009e+06
3	inputspectra/spectwo-00007.mzXML	318	-1	245.128	1	177.768	1.58166e+06
3	inputspectra/spectwo-00008.mzXML	295	-1	245.128	1	164.271	722788
3	inputspectra/spectwo-00008.mzXML	313	-1	245.128	1	174.357	866747
3	inputspectra/spectwo-00008.mzXML	315	-1	245.128	1	175.478	4.25287e+06
3	inputspectra/spectwo-00008.mzXML	317	-1	245.128	1	176.599	4.22579e+06
3	inputspectra/spectwo-00008.mzXML	319	-1	245.128	1	177.719	1.48261e+06
4	inputspectra/spectwo-00000.mzXML	1133	-1	251.046	1	633.982	547132
4	inputspectra/spectwo-00000.mzXML	1135	-1	251.046	1	635.103	1.27317e+06
4	inputspectra/spectwo-00000.mzXML	1137	-1	251.046	1	636.224	1.12675e+06
4	inputspectra/spectwo-00001.mzXML	1131	-1	251.046	1	632.859	762591
4	inputspectra/spectwo-00001.mzXML	1133	-1	251.046	1	633.98	2.93332e+06
4	inputspectra/spectwo-00001.mzXML	1135	-1	251.046	1	635.1	5.39282e+06
4	inputspectra/spectwo-00001.mzXML	1137	-1	251.046	1	636.221	4.95081e+06
4	inputspectra/spectwo-00001.mzXML	1139	-1	251.046	1	637.342	2.12654e+06
4	inputspectra/spectwo-00002.mzXML	1133	-1	251.046	1	633.885	1.6704e+06
4	inputspectra/spectwo-00002.mzXML	1135	-1	251.046	1	635.005	3.39557e+06
4	inputspectra/spectwo-00002.mzXML	1137	-1	251.046	1	636.125	3.11896e+06
4	inputspectra/spectwo-00002.mzXML	1139	-1	251.046	1	637.246	1.21001e+06
4	inputspectra/spectwo-00004.mzXML	1134	-1	251.046	1	635.025	568401
4	inputspectra/spectwo-00004.mzXML	1136	-1	251.046	1	636.145	517450
4	inputspectra/spectwo-00006.mzXML	1132	-1	251.046	1	633.87	1.27835e+06
4	inputspectra/spectwo-00006.mzXML	1134	-1	251.046	1	634.991	2.84218e+06
4	inputspectra/spectwo-00006.mzXML	1136	-1	251.046	1	636.112	2.64635e+06
4	inputspectra/spectwo-00006.mzXML	1138	-1	251.046	1	637.233	915934
4	inputspectra/spectwo-00007.mzXML	1132	-1	251.046	1	633.825	964678
4	inputspectra/spectwo-00007.mzXML	1134	-1	251.046	1	634.946	2.30303e+06
4	inputspectra/spectwo-00007.mzXML	1136	-1	251.046	1	636.066	2.2672e+06
4	inputspectra/spectwo-00007.mzXML	1138	-1	251.046	1	637.187	959950
5	inputspectra/spectwo-00000.mzXML	79	-1	254.16	1	43.426	593044
6	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.116	2.35683e+06
6	inputspectra/spec-00000.mzXML	196	-1	261.115	1	108.237	1.19819e+06
6	inputspectra/spectwo-00000.mzXML	191	-1	261.122	1	106.18	1.47783e+06
6	inputspectra/spectwo-00000.mzXML	193	-1	261.122	1	107.3	1.69935e+06
6	inputspectra/spectwo-00000.mzXML	196	-1	261.122	1	108.753	490055
6	inputspectra/spectwo-00001.mzXML	191	-1	261.122	1	106.179	1.42248e+06
6	inputspectra/spectwo-00001.mzXML	193	-1	261.122	1	107.3	1.3769e+06
6	inputspectra/spectwo-00002.mzXML	191	-1	261.122	1	106.098	1.54276e+06
6	inputspectra/spectwo-00002.mzXML	193	-1	261.122	1	107.218	1.51554e+06
6	inputspectra/spectwo-00002.mzXML	196	-1	261.122	1	108.672	398120
6	inputspectra/spectwo-00003.mzXML	183	-1	261.122	1	101.674	334839
6	inputspectra/spectwo-00003.mzXML	191	-1	261.122	1	106.156	1.98178e+06
6	inputspectra/spectwo-00003.mzXML	193	-1	261.122	1	107.277	2.03282e+06
6	inputspectra/spectwo-00004.mzXML	190	-1	261.122	1	106.116	1.48375e+06
6	inputspectra/spectwo-00004.mzXML	192	-1	261.122	1	107.236	1.5894e+06
6	inputspectra/spectwo-00005.mzXML	186	-1	261.122	1	106.114	1.513e+06
6	inputspectra/spectwo-00005.mzXML	188	-1	261.122	1	107.235	1.68526e+06
6	inputspectra/spectwo-00005.mzXML	191	-1	261.122	1	108.688	457236
6	inputspectra/spectwo-00006.mzXML	190	-1	261.122	1	106.085	822919
6	inputspectra/spectwo-00006.mzXML	192	-1	261.122	1	107.205	1.12799e+06
6	inputspectra/spectwo-00007.mzXML	190	-1	261.122	1	106.052	1.45027e+06
6	inputspectra/spectwo-00007.mzXML	192	-1	261.122	1	107.172	1.77587e+06
6	inputspectra/spectwo-00008.mzXML	191	-1	261.122	1	106.006	1.31852e+06
6	inputspectra/spectwo-00008.mzXML	193	-1	261.122	1	107.126	1.72972e+06
7	inputspectra/spec-00000.mzXML	239	-1	261.115	1	132.103	370118
8	inputspectra/spectwo-00006.mzXML	1150	-1	269.246	1	643.956	416853
8	inputspectra/spectwo-00006.mzXML	1152	-1	269.246	1	645.076	466493
8	inputspectra/spectwo-00006.mzXML	1154	-1	269.246	1	646.197	306089
9	inputspectra/spectwo-00000.mzXML	1089	-1	280.262	1	609.328	302775
9	inputspectra/spectwo-00000.mzXML	1103	-1	280.262	1	617.171	267051
9	inputspectra/spectwo-00000.mzXML	1105	-1	280.262	1	618.292	223284
9	inputspectra/spectwo-00006.mzXML	1084	-1	280.262	1	606.978	455473
9	inputspectra/spectwo-00006.mzXML	1086	-1	280.262	1	608.099	975221
9	inputspectra/spectwo-00006.mzXML	1088	-1	280.262	1	609.219	905635
9	inputspectra/spectwo-00006.mzXML	1090	-1	280.262	1	610.34	424626
10	inputspectra/spectwo-00000.mzXML	1180	-1	282.278	1	660.087	304172
10	inputspectra/spectwo-00000.mzXML	1185	-1	282.278	1	663.117	932452
10	inputspectra/spectwo-00000.mzXML	1187	-1	282.278	1	664.237	1.02299e+06
10	inputspectra/spectwo-00000.mzXML	1201	-1	282.278	1	672.081	348020
