ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	1	4	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=928cddb0dede404597be9f3b7b852dbb&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=928cddb0dede404597be9f3b7b852dbb&show=true	N/A	N/A	N/A	N/A	150.3018	6.098097716501429	N/A	N/A	Miso_D5_B9.mzXML|BG-1X-P1-B9.mzXML|Miso_D16_B9.mzXML	3	2	-1	5	211.143	1	211.143	5.52447e+06
 	 	 	G2	0	0	6	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=928cddb0dede404597be9f3b7b852dbb&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=928cddb0dede404597be9f3b7b852dbb&show=true	N/A	N/A	N/A	N/A	126.97983333333333	54.66972971220505	N/A	N/A	Miso_D8_B9.mzXML|Miso_D5_B9.mzXML	2	3	-1	6	218.066	1	218.066	5.27553e+06
 	GROUP-1	GROUP-1	G1,G2	0	4	18	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=928cddb0dede404597be9f3b7b852dbb&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=8&task=928cddb0dede404597be9f3b7b852dbb&show=true	N/A	N/A	N/A	N/A	173.93986363636364	5.156783328741549	N/A	N/A	Miso_D10_B9.mzXML|Miso_D8_B9.mzXML|Miso_D5_B9.mzXML|BG-1X-P1-B9.mzXML|Miso_D16_B9.mzXML	5	4	8	22	245.127	1	245.127	7.12034e+07
 	 	 	G2	1	0	17	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=928cddb0dede404597be9f3b7b852dbb&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=928cddb0dede404597be9f3b7b852dbb&show=true	N/A	N/A	N/A	N/A	635.4003529411765	1.3479125011389397	N/A	N/A	Miso_D10_B9.mzXML|Miso_D8_B9.mzXML|Miso_D5_B9.mzXML|Miso_D16_B9.mzXML	4	5	5	17	251.046	1	251.046	3.12481e+07
 	GROUP-1	GROUP-1	G1,G2	1	5	12	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=928cddb0dede404597be9f3b7b852dbb&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=8&task=928cddb0dede404597be9f3b7b852dbb&show=true	N/A	N/A	N/A	N/A	108.04470588235294	6.346394666772307	N/A	N/A	Miso_D10_B9.mzXML|Miso_D8_B9.mzXML|Miso_D5_B9.mzXML|BG-1X-P1-B9.mzXML|Miso_D16_B9.mzXML	5	6	8	17	261.12	1	261.12	2.34392e+07
 	GROUP-1	GROUP-1	G1,G2	1	2	1	0	0	0	0	2	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=928cddb0dede404597be9f3b7b852dbb&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=8&task=928cddb0dede404597be9f3b7b852dbb&show=true	N/A	N/A	N/A	N/A	172.04333333333332	42.33942456177483	N/A	N/A	BG-1X-P1-B9.mzXML|Miso_D16_B9.mzXML	2	7	8	3	261.126	1	261.126	1.66435e+06
 	 	 	G2	1	0	2	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=928cddb0dede404597be9f3b7b852dbb&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=928cddb0dede404597be9f3b7b852dbb&show=true	N/A	N/A	N/A	N/A	663.5495000000001	0.5604999999999905	N/A	N/A	Miso_D8_B9.mzXML	1	8	7	2	282.278	1	282.278	1.15802e+06
 	 	 	G2	1	0	10	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=928cddb0dede404597be9f3b7b852dbb&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=928cddb0dede404597be9f3b7b852dbb&show=true	N/A	N/A	N/A	N/A	502.5371	0.8392747404753658	N/A	N/A	Miso_D10_B9.mzXML|Miso_D8_B9.mzXML|Miso_D5_B9.mzXML|Miso_D16_B9.mzXML	4	11	5	10	327.077	1	327.077	7.21005e+06
 	 	 	G2	0	0	6	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=928cddb0dede404597be9f3b7b852dbb&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=928cddb0dede404597be9f3b7b852dbb&show=true	N/A	N/A	N/A	N/A	353.77683333333334	34.547406498976954	N/A	N/A	Miso_D8_B9.mzXML|Miso_D5_B9.mzXML|Miso_D16_B9.mzXML	3	12	3	6	333.241	1	333.241	2.63089e+06
 	GROUP-1	GROUP-1	G1,G2	1	4	19	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=928cddb0dede404597be9f3b7b852dbb&view=cluster_details&protein=13&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=928cddb0dede404597be9f3b7b852dbb&show=true	N/A	N/A	N/A	N/A	799.5539130434782	1.457907461518611	N/A	N/A	Miso_D10_B9.mzXML|Miso_D8_B9.mzXML|Miso_D5_B9.mzXML|BG-1X-P1-B9.mzXML|Miso_D16_B9.mzXML	5	13	7	23	338.338	1	338.338	2.10205e+07
