#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spectwo-00002.mzXML	192	-1	197.128	1	107.52	1.54791e+06
2	inputspectra/spec-00000.mzXML	255	-1	211.138	1	141.154	432468
2	inputspectra/spectwo-00001.mzXML	264	-1	211.144	1	147.554	456572
2	inputspectra/spectwo-00001.mzXML	266	-1	211.144	1	148.675	532192
2	inputspectra/spectwo-00003.mzXML	280	-1	211.144	0	156.503	3.22348e+06
2	inputspectra/spectwo-00003.mzXML	282	-1	211.144	1	157.623	879749
3	inputspectra/spectwo-00001.mzXML	89	-1	218.066	1	49.276	307896
3	inputspectra/spectwo-00001.mzXML	90	-1	218.066	1	50.064	336619
3	inputspectra/spectwo-00001.mzXML	297	-1	218.066	1	165.814	679667
3	inputspectra/spectwo-00001.mzXML	298	-1	218.066	1	166.602	589280
3	inputspectra/spectwo-00002.mzXML	294	-1	218.066	1	164.668	1.15606e+06
3	inputspectra/spectwo-00002.mzXML	295	-1	218.066	1	165.455	2.206e+06
4	inputspectra/spec-00000.mzXML	315	-1	245.121	1	174.774	2.48975e+06
4	inputspectra/spec-00000.mzXML	316	-1	245.126	0	175.562	5.84202e+06
4	inputspectra/spec-00000.mzXML	318	-1	245.126	0	176.683	5.51609e+06
4	inputspectra/spec-00000.mzXML	320	-1	245.126	0	177.803	2.09658e+06
4	inputspectra/spectwo-00000.mzXML	293	-1	245.128	1	163.232	667566
4	inputspectra/spectwo-00000.mzXML	315	-1	245.128	1	175.558	4.26377e+06
4	inputspectra/spectwo-00000.mzXML	317	-1	245.128	0	176.679	5.11482e+06
4	inputspectra/spectwo-00000.mzXML	319	-1	245.128	1	177.8	1.69769e+06
4	inputspectra/spectwo-00001.mzXML	292	-1	245.128	1	163.24	686353
4	inputspectra/spectwo-00001.mzXML	314	-1	245.128	1	175.567	4.52116e+06
4	inputspectra/spectwo-00001.mzXML	316	-1	245.128	0	176.688	5.89438e+06
4	inputspectra/spectwo-00001.mzXML	318	-1	245.128	1	177.808	2.1991e+06
4	inputspectra/spectwo-00002.mzXML	291	-1	245.128	1	163.214	782117
4	inputspectra/spectwo-00002.mzXML	311	-1	245.128	1	174.419	1.08643e+06
