ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	2	3	0	0	0	0	2	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=ba8a19d75e4040d791623ed26184e82e&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=ba8a19d75e4040d791623ed26184e82e&show=true	N/A	N/A	N/A	N/A	151.159	4.043094062719794	N/A	N/A	Myco_D1_C1.mzXML|BG-1X-P1-C1.mzXML|Myco_D17_C1.mzXML	3	2	-1	5	211.141	1	211.141	3.81503e+06
 	GROUP-1	GROUP-1	G1,G2	0	5	18	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=ba8a19d75e4040d791623ed26184e82e&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=ba8a19d75e4040d791623ed26184e82e&show=true	N/A	N/A	N/A	N/A	172.34726086956522	5.79921223448864	N/A	N/A	Myco_D9_C1.mzXML|Myco_D1_C1.mzXML|BG-1X-P1-C1.mzXML|Myco_D17_C1.mzXML	4	5	3	23	245.127	1	245.127	7.45287e+07
 	 	 	G2	1	0	15	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=ba8a19d75e4040d791623ed26184e82e&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=ba8a19d75e4040d791623ed26184e82e&show=true	N/A	N/A	N/A	N/A	645.6878666666667	20.46523065059913	N/A	N/A	Myco_D9_C1.mzXML|Myco_D17_C1.mzXML	2	7	6	15	251.046	1	251.046	5.41102e+07
 	GROUP-1	GROUP-1	G1,G2	1	4	12	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=ba8a19d75e4040d791623ed26184e82e&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=ba8a19d75e4040d791623ed26184e82e&show=true	N/A	N/A	N/A	N/A	105.976875	2.450625299668433	N/A	N/A	Myco_D9_C1.mzXML|Myco_D1_C1.mzXML|BG-1X-P1-C1.mzXML|Myco_D17_C1.mzXML	4	8	3	16	261.12	1	261.12	2.43302e+07
 	GROUP-1	GROUP-1	G1,G2	1	1	2	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=ba8a19d75e4040d791623ed26184e82e&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=ba8a19d75e4040d791623ed26184e82e&show=true	N/A	N/A	N/A	N/A	135.27066666666667	4.676930641160101	N/A	N/A	Myco_D9_C1.mzXML|BG-1X-P1-C1.mzXML	2	9	3	3	261.121	1	261.121	1.9104e+06
 	 	 	G2	0	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=ba8a19d75e4040d791623ed26184e82e&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=ba8a19d75e4040d791623ed26184e82e&show=true	N/A	N/A	N/A	N/A	645.4013333333334	0.5138095193962458	N/A	N/A	Myco_D9_C1.mzXML|Myco_D1_C1.mzXML	2	10	2	3	269.246	1	269.246	789901
 	 	 	G2	0	0	2	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=ba8a19d75e4040d791623ed26184e82e&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=ba8a19d75e4040d791623ed26184e82e&show=true	N/A	N/A	N/A	N/A	720.645	0.5600000000000023	N/A	N/A	Myco_D9_C1.mzXML	1	11	2	2	297.277	1	297.277	429400
 	GROUP-1	GROUP-1	G1,G2	1	2	9	0	0	0	0	2	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=ba8a19d75e4040d791623ed26184e82e&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=ba8a19d75e4040d791623ed26184e82e&show=true	N/A	N/A	N/A	N/A	343.56	0.8669111310226149	N/A	N/A	Myco_D9_C1.mzXML|Myco_D1_C1.mzXML|BG-1X-P1-C1.mzXML|Myco_D17_C1.mzXML	4	12	-1	11	321.131	1	321.131	2.14523e+07
 	 	 	G2	1	0	8	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=ba8a19d75e4040d791623ed26184e82e&view=cluster_details&protein=13&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=ba8a19d75e4040d791623ed26184e82e&show=true	N/A	N/A	N/A	N/A	502.70725	1.3669708985563638	N/A	N/A	Myco_D9_C1.mzXML|Myco_D17_C1.mzXML	2	13	6	8	327.077	1	327.077	1.71852e+07
 	GROUP-1	GROUP-1	G1,G2	1	3	14	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=ba8a19d75e4040d791623ed26184e82e&view=cluster_details&protein=14&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=ba8a19d75e4040d791623ed26184e82e&show=true	N/A	N/A	N/A	N/A	799.283	1.4805413954122908	N/A	N/A	Myco_D9_C1.mzXML|Myco_D1_C1.mzXML|BG-1X-P1-C1.mzXML|Myco_D17_C1.mzXML	4	14	2	17	338.338	1	338.338	1.50107e+07
