#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spectwo-00002.mzXML	195	-1	197.128	1	109.411	1.07792e+06
2	inputspectra/spec-00000.mzXML	267	-1	211.138	1	147.82	843157
2	inputspectra/spec-00000.mzXML	268	-1	211.138	1	148.608	839244
2	inputspectra/spectwo-00001.mzXML	263	-1	211.144	1	147.533	547854
2	inputspectra/spectwo-00002.mzXML	275	-1	211.143	1	154.236	805049
2	inputspectra/spectwo-00002.mzXML	281	-1	211.143	1	157.598	779725
3	inputspectra/spectwo-00000.mzXML	213	-1	227.138	1	119.47	1.44357e+06
4	inputspectra/spectwo-00000.mzXML	223	-1	229.1	1	125.073	4.85146e+06
5	inputspectra/spec-00000.mzXML	295	-1	245.121	1	163.508	1.06134e+06
5	inputspectra/spec-00000.mzXML	315	-1	245.121	1	174.714	2.06713e+06
5	inputspectra/spec-00000.mzXML	316	-1	245.125	0	175.501	5.77114e+06
5	inputspectra/spec-00000.mzXML	318	-1	245.128	0	176.622	5.80824e+06
5	inputspectra/spec-00000.mzXML	320	-1	245.125	0	177.743	2.1632e+06
5	inputspectra/spectwo-00000.mzXML	291	-1	245.129	1	163.173	1.87224e+06
5	inputspectra/spectwo-00000.mzXML	293	-1	245.129	1	164.294	1.92151e+06
5	inputspectra/spectwo-00000.mzXML	311	-1	245.129	1	174.379	2.28103e+06
5	inputspectra/spectwo-00000.mzXML	313	-1	245.129	0	175.5	8.82812e+06
5	inputspectra/spectwo-00000.mzXML	315	-1	245.129	0	176.621	8.39504e+06
5	inputspectra/spectwo-00000.mzXML	317	-1	245.129	0	177.741	4.00728e+06
5	inputspectra/spectwo-00001.mzXML	291	-1	245.128	1	163.221	871498
5	inputspectra/spectwo-00001.mzXML	293	-1	245.128	1	164.341	986180
5	inputspectra/spectwo-00001.mzXML	311	-1	245.128	1	174.427	1.11867e+06
5	inputspectra/spectwo-00001.mzXML	313	-1	245.128	1	175.548	5.14199e+06
5	inputspectra/spectwo-00001.mzXML	315	-1	245.128	0	176.668	5.94697e+06
5	inputspectra/spectwo-00001.mzXML	317	-1	245.128	1	177.788	2.18395e+06
5	inputspectra/spectwo-00002.mzXML	291	-1	245.128	1	163.2	620620
5	inputspectra/spectwo-00002.mzXML	293	-1	245.128	1	164.321	826677
5	inputspectra/spectwo-00002.mzXML	312	-1	245.128	1	174.738	1.38025e+06
5	inputspectra/spectwo-00002.mzXML	313	-1	245.128	1	175.526	4.17002e+06
5	inputspectra/spectwo-00002.mzXML	315	-1	245.128	0	176.646	5.31449e+06
5	inputspectra/spectwo-00002.mzXML	317	-1	245.128	1	177.767	1.79108e+06
6	inputspectra/spectwo-00000.mzXML	316	-1	246.131	0	176.953	1.19775e+06
7	inputspectra/spectwo-00000.mzXML	1129	-1	251.046	1	632.68	950033
7	inputspectra/spectwo-00000.mzXML	1131	-1	251.046	1	633.8	3.68458e+06
7	inputspectra/spectwo-00000.mzXML	1133	-1	251.046	0	634.921	8.51934e+06
7	inputspectra/spectwo-00000.mzXML	1135	-1	251.046	0	636.042	9.01434e+06
