ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	4	10	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cf487552726849a3ae2f9fee76909fae&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=cf487552726849a3ae2f9fee76909fae&show=true	N/A	N/A	N/A	N/A	152.709	4.47069291529368	N/A	N/A	Nicard_D8_B1.mzXML|Nicard_D19_B1.mzXML|Nicard_D11_B1.mzXML|BG-1X-P1-B1.mzXML|Nicard_D18_B1.mzXML	5	2	6	14	211.143	1	211.143	1.88429e+07
 	 	 	G2	1	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cf487552726849a3ae2f9fee76909fae&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=cf487552726849a3ae2f9fee76909fae&show=true	N/A	N/A	N/A	N/A	156.063	0.49073278540022774	N/A	N/A	Nicard_D8_B1.mzXML|Nicard_D18_B1.mzXML	2	3	6	3	212.147	1	212.147	1.65749e+06
 	 	 	G2	0	0	7	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cf487552726849a3ae2f9fee76909fae&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=cf487552726849a3ae2f9fee76909fae&show=true	N/A	N/A	N/A	N/A	85.48128571428572	56.42089025659679	N/A	N/A	Nicard_D19_B1.mzXML|Nicard_D8_B1.mzXML|Nicard_D5_B1.mzXML	3	4	-1	7	218.066	1	218.066	3.91132e+06
 	 	 	G2	0	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cf487552726849a3ae2f9fee76909fae&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=9&task=cf487552726849a3ae2f9fee76909fae&show=true	N/A	N/A	N/A	N/A	120.60133333333333	0.04145144415122617	N/A	N/A	Nicard_D8_B1.mzXML|Nicard_D19_B1.mzXML|Nicard_D11_B1.mzXML	3	5	9	3	227.138	1	227.138	2.05729e+06
 	 	 	G2	1	0	4	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cf487552726849a3ae2f9fee76909fae&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=9&task=cf487552726849a3ae2f9fee76909fae&show=true	N/A	N/A	N/A	N/A	125.38425	0.5074038702059719	N/A	N/A	Nicard_D3_B1.mzXML|Nicard_D8_B1.mzXML|Nicard_D11_B1.mzXML	3	6	9	4	229.1	1	229.1	1.79713e+07
 	GROUP-1	GROUP-1	G1,G2	0	6	38	0	0	0	0	6	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cf487552726849a3ae2f9fee76909fae&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=cf487552726849a3ae2f9fee76909fae&show=true	N/A	N/A	N/A	N/A	172.76506818181818	5.882085121937191	N/A	N/A	Nicard_D19_B1.mzXML|Nicard_D4_B1.mzXML|BG-1X-P1-B1.mzXML|Nicard_D5_B1.mzXML|Nicard_D3_B1.mzXML|Nicard_D11_B1.mzXML|Nicard_D18_B1.mzXML|Nicard_D8_B1.mzXML	8	8	7	44	245.128	1	245.128	1.49528e+08
 	 	 	G2	1	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cf487552726849a3ae2f9fee76909fae&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=cf487552726849a3ae2f9fee76909fae&show=true	N/A	N/A	N/A	N/A	177.02933333333334	0.05363042254375764	N/A	N/A	Nicard_D3_B1.mzXML|Nicard_D11_B1.mzXML|Nicard_D18_B1.mzXML	3	9	7	3	246.131	0	246.131	2.84625e+06
 	 	 	G2	1	0	60	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cf487552726849a3ae2f9fee76909fae&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=10&task=cf487552726849a3ae2f9fee76909fae&show=true	N/A	N/A	N/A	N/A	654.79605	24.853850073596902	N/A	N/A	Nicard_D19_B1.mzXML|Nicard_D4_B1.mzXML|Nicard_D5_B1.mzXML|Nicard_D8_B1.mzXML|Nicard_D3_B1.mzXML|Nicard_D18_B1.mzXML	6	10	10	60	251.047	1	251.047	2.09233e+08
 	GROUP-1	GROUP-1	G1,G2	1	4	30	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cf487552726849a3ae2f9fee76909fae&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=cf487552726849a3ae2f9fee76909fae&show=true	N/A	N/A	N/A	N/A	105.55964705882353	2.573975031671407	N/A	N/A	Nicard_D19_B1.mzXML|Nicard_D4_B1.mzXML|BG-1X-P1-B1.mzXML|Nicard_D5_B1.mzXML|Nicard_D3_B1.mzXML|Nicard_D11_B1.mzXML|Nicard_D18_B1.mzXML|Nicard_D8_B1.mzXML	8	11	7	34	261.121	1	261.121	5.01944e+07
 	GROUP-1	GROUP-1	G1,G2	1	1	8	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cf487552726849a3ae2f9fee76909fae&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=cf487552726849a3ae2f9fee76909fae&show=true	N/A	N/A	N/A	N/A	147.46	30.225087258398077	N/A	N/A	Nicard_D19_B1.mzXML|Nicard_D4_B1.mzXML|BG-1X-P1-B1.mzXML|Nicard_D3_B1.mzXML|Nicard_D11_B1.mzXML|Nicard_D18_B1.mzXML	6	12	7	9	261.124	1	261.124	4.87396e+06
