ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	1	5	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&view=cluster_details&protein=1&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&show=true	N/A	N/A	N/A	N/A	152.2525	4.0798349946208985	N/A	N/A	Prazi_D18_D5.mzXML|Prazi_D10_D5.mzXML|BG-1X-P1-D5.mzXML	3	1	-1	6	211.143	1	211.143	5.14068e+06
 	GROUP-1	GROUP-1	G1,G2	0	5	12	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&show=true	N/A	N/A	N/A	N/A	172.50658823529412	5.740110237297902	N/A	N/A	Prazi_D18_D5.mzXML|Prazi_D10_D5.mzXML|BG-1X-P1-D5.mzXML	3	2	3	17	245.126	1	245.126	4.14948e+07
 	 	 	G2	1	0	8	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&show=true	N/A	N/A	N/A	N/A	635.0325	1.3731173474980485	N/A	N/A	Prazi_D18_D5.mzXML|Prazi_D10_D5.mzXML	2	3	6	8	251.046	1	251.046	1.34483e+07
 	GROUP-1	GROUP-1	G1,G2	1	4	5	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&show=true	N/A	N/A	N/A	N/A	106.51144444444445	1.870881735742749	N/A	N/A	Prazi_D18_D5.mzXML|Prazi_D10_D5.mzXML|BG-1X-P1-D5.mzXML	3	4	3	9	261.119	1	261.119	1.19156e+07
 	 	 	G2	1	0	2	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&show=true	N/A	N/A	N/A	N/A	608.6765	0.5604999999999905	N/A	N/A	Prazi_D18_D5.mzXML	1	6	4	2	280.262	1	280.262	535120
 	 	 	G2	1	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&show=true	N/A	N/A	N/A	N/A	664.1423333333333	0.914884449291573	N/A	N/A	Prazi_D18_D5.mzXML	1	7	4	3	282.278	1	282.278	2.18832e+06
 	GROUP-1	GROUP-1	G1,G2	0	4	9	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&show=true	N/A	N/A	N/A	N/A	354.15515384615384	1.4495580677282118	N/A	N/A	Prazi_D18_D5.mzXML|Prazi_D10_D5.mzXML|BG-1X-P1-D5.mzXML	3	9	-1	13	313.189	1	313.189	6.30711e+07
 	 	 	G2	1	0	5	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&show=true	N/A	N/A	N/A	N/A	502.5838	0.8289717486139154	N/A	N/A	Prazi_D18_D5.mzXML|Prazi_D10_D5.mzXML	2	10	6	5	327.076	1	327.076	4.58165e+06
 	GROUP-1	GROUP-1	G1,G2	1	4	6	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&show=true	N/A	N/A	N/A	N/A	799.5317	1.37954427620138	N/A	N/A	Prazi_D18_D5.mzXML|Prazi_D10_D5.mzXML|BG-1X-P1-D5.mzXML	3	11	4	10	338.336	1	338.336	1.17532e+07
 	GROUP-1	GROUP-1	G1,G2	0	5	8	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=5ce7fd084b9d4c329a4fe4c14e0f9d7f&show=true	N/A	N/A	N/A	N/A	315.27723076923075	1.4035506706945415	N/A	N/A	Prazi_D18_D5.mzXML|Prazi_D10_D5.mzXML|BG-1X-P1-D5.mzXML	3	12	-1	13	350.117	1	350.117	6.27697e+07
