#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spec-00000.mzXML	268	-1	211.138	1	148.561	783764
1	inputspectra/spectwo-00000.mzXML	281	-1	211.143	1	156.535	1.83625e+06
1	inputspectra/spectwo-00001.mzXML	264	-1	211.143	1	147.622	402717
1	inputspectra/spectwo-00001.mzXML	266	-1	211.143	1	148.743	402779
1	inputspectra/spectwo-00001.mzXML	276	-1	211.143	1	154.346	1.14273e+06
1	inputspectra/spectwo-00001.mzXML	282	-1	211.143	1	157.708	572438
2	inputspectra/spec-00000.mzXML	295	-1	245.121	1	163.46	1.17644e+06
2	inputspectra/spec-00000.mzXML	315	-1	245.121	1	174.664	3.05087e+06
2	inputspectra/spec-00000.mzXML	316	-1	245.127	0	175.453	6.25827e+06
2	inputspectra/spec-00000.mzXML	318	-1	245.127	0	176.573	4.97602e+06
2	inputspectra/spec-00000.mzXML	320	-1	245.121	1	177.694	1.49935e+06
2	inputspectra/spectwo-00000.mzXML	293	-1	245.128	1	163.257	698655
2	inputspectra/spectwo-00000.mzXML	295	-1	245.128	1	164.378	623846
2	inputspectra/spectwo-00000.mzXML	313	-1	245.128	1	174.467	914432
2	inputspectra/spectwo-00000.mzXML	315	-1	245.128	1	175.588	4.05924e+06
2	inputspectra/spectwo-00000.mzXML	317	-1	245.128	0	176.709	4.51869e+06
2	inputspectra/spectwo-00000.mzXML	319	-1	245.128	1	177.829	1.21687e+06
2	inputspectra/spectwo-00001.mzXML	292	-1	245.128	1	163.312	620409
2	inputspectra/spectwo-00001.mzXML	294	-1	245.128	1	164.432	636878
2	inputspectra/spectwo-00001.mzXML	312	-1	245.128	1	174.518	825777
2	inputspectra/spectwo-00001.mzXML	314	-1	245.128	1	175.639	4.21024e+06
2	inputspectra/spectwo-00001.mzXML	316	-1	245.128	0	176.759	4.80258e+06
2	inputspectra/spectwo-00001.mzXML	318	-1	245.128	1	177.88	1.40623e+06
3	inputspectra/spectwo-00000.mzXML	1131	-1	251.046	1	632.766	346814
3	inputspectra/spectwo-00000.mzXML	1133	-1	251.046	1	633.886	1.5481e+06
3	inputspectra/spectwo-00000.mzXML	1135	-1	251.046	1	635.007	3.21498e+06
3	inputspectra/spectwo-00000.mzXML	1137	-1	251.046	1	636.129	3.03487e+06
3	inputspectra/spectwo-00000.mzXML	1139	-1	251.046	1	637.249	1.13526e+06
3	inputspectra/spectwo-00001.mzXML	1132	-1	251.046	1	633.954	960156
3	inputspectra/spectwo-00001.mzXML	1134	-1	251.046	1	635.074	1.78142e+06
3	inputspectra/spectwo-00001.mzXML	1136	-1	251.046	1	636.195	1.42673e+06
4	inputspectra/spec-00000.mzXML	185	-1	261.115	1	101.837	504141
4	inputspectra/spec-00000.mzXML	192	-1	261.115	1	105.986	2.33522e+06
4	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.106	1.89636e+06
