ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	1	2	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=baa243ce2d7948e09e960679f2dcfe46&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=baa243ce2d7948e09e960679f2dcfe46&show=true	N/A	N/A	N/A	N/A	154.061	4.323111225340691	N/A	N/A	BG-1X-P1-F9.mzXML|Risp_D4_F9.mzXML|Risp_D5_F9.mzXML	3	2	-1	3	211.142	1	211.142	4.24345e+06
 	GROUP-1	GROUP-1	G1,G2	0	5	15	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=baa243ce2d7948e09e960679f2dcfe46&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=baa243ce2d7948e09e960679f2dcfe46&show=true	N/A	N/A	N/A	N/A	173.72845	5.028354198691657	N/A	N/A	BG-1X-P1-F9.mzXML|Risp_D5_F9.mzXML|Risp_D4_F9.mzXML|Risp_D16_F9.mzXML	4	5	3	20	245.127	1	245.127	5.77714e+07
 	 	 	G2	1	0	8	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=baa243ce2d7948e09e960679f2dcfe46&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=baa243ce2d7948e09e960679f2dcfe46&show=true	N/A	N/A	N/A	N/A	635.59	1.2527727247988931	N/A	N/A	Risp_D4_F9.mzXML|Risp_D5_F9.mzXML	2	6	5	8	251.046	1	251.046	1.97721e+07
 	GROUP-1	GROUP-1	G1,G2	1	5	6	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=baa243ce2d7948e09e960679f2dcfe46&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=baa243ce2d7948e09e960679f2dcfe46&show=true	N/A	N/A	N/A	N/A	108.98572727272727	7.558647944163136	N/A	N/A	BG-1X-P1-F9.mzXML|Risp_D5_F9.mzXML|Risp_D4_F9.mzXML|Risp_D16_F9.mzXML	4	7	3	11	261.119	1	261.119	1.68421e+07
 	 	 	G2	1	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=baa243ce2d7948e09e960679f2dcfe46&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=baa243ce2d7948e09e960679f2dcfe46&show=true	N/A	N/A	N/A	N/A	502.80966666666666	0.914884449291573	N/A	N/A	Risp_D5_F9.mzXML	1	9	5	3	327.076	1	327.076	3.38183e+06
 	GROUP-1	GROUP-1	G1,G2	1	5	17	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=baa243ce2d7948e09e960679f2dcfe46&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=baa243ce2d7948e09e960679f2dcfe46&show=true	N/A	N/A	N/A	N/A	800.0423636363637	1.875279095481649	N/A	N/A	BG-1X-P1-F9.mzXML|Risp_D5_F9.mzXML|Risp_D4_F9.mzXML|Risp_D16_F9.mzXML	4	10	-1	22	338.337	1	338.337	2.66862e+07
 	GROUP-1	GROUP-1	G1,G2	0	5	12	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=baa243ce2d7948e09e960679f2dcfe46&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=baa243ce2d7948e09e960679f2dcfe46&show=true	N/A	N/A	N/A	N/A	315.29699999999997	1.3654503243381972	N/A	N/A	BG-1X-P1-F9.mzXML|Risp_D5_F9.mzXML|Risp_D4_F9.mzXML|Risp_D16_F9.mzXML	4	11	1	17	350.118	1	350.118	8.69405e+07
 	 	 	G2	1	0	16	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=baa243ce2d7948e09e960679f2dcfe46&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=baa243ce2d7948e09e960679f2dcfe46&show=true	N/A	N/A	N/A	N/A	632.6961875	77.38533634612145	N/A	N/A	Risp_D5_F9.mzXML|Risp_D4_F9.mzXML|Risp_D16_F9.mzXML	3	12	4	16	371.1	1	371.1	2.62375e+07
 	 	 	G2	0	0	9	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=baa243ce2d7948e09e960679f2dcfe46&view=cluster_details&protein=13&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=baa243ce2d7948e09e960679f2dcfe46&show=true	N/A	N/A	N/A	N/A	717.0384444444444	0.9260871222647903	N/A	N/A	Risp_D5_F9.mzXML|Risp_D4_F9.mzXML|Risp_D16_F9.mzXML	3	13	-1	9	395.218	1	395.218	4.59091e+06
 	GROUP-1	GROUP-1	G1	1	5	0	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=baa243ce2d7948e09e960679f2dcfe46&view=cluster_details&protein=14&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=baa243ce2d7948e09e960679f2dcfe46&show=true	N/A	N/A	N/A	N/A	707.1556	5.980024133730558	N/A	N/A	BG-1X-P1-F9.mzXML	1	14	-1	5	408.295	1	408.295	2.99252e+06
