ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	1	5	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2e5883e5abb5482e80f0f09d56e35f08&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=2e5883e5abb5482e80f0f09d56e35f08&show=true	N/A	N/A	N/A	N/A	150.53283333333334	3.4778201705793896	N/A	N/A	Rop_D8_G5.mzXML|BG-1X-P1-G5.mzXML|Rop_D10_G5.mzXML|Rop_D15_G5.mzXML	4	2	-1	6	211.142	1	211.142	6.19177e+06
 	 	 	G2	0	0	4	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2e5883e5abb5482e80f0f09d56e35f08&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=2e5883e5abb5482e80f0f09d56e35f08&show=true	N/A	N/A	N/A	N/A	107.49575	57.524381449846985	N/A	N/A	Rop_D8_G5.mzXML	1	3	-1	4	218.066	1	218.066	5.80372e+06
 	GROUP-1	GROUP-1	G1,G2	0	6	16	0	0	0	0	6	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2e5883e5abb5482e80f0f09d56e35f08&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=2e5883e5abb5482e80f0f09d56e35f08&show=true	N/A	N/A	N/A	N/A	172.1255	5.805770873175947	N/A	N/A	Rop_D8_G5.mzXML|BG-1X-P1-G5.mzXML|Rop_D10_G5.mzXML|Rop_D15_G5.mzXML	4	5	5	22	245.127	1	245.127	5.81264e+07
 	 	 	G2	1	0	9	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2e5883e5abb5482e80f0f09d56e35f08&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=2e5883e5abb5482e80f0f09d56e35f08&show=true	N/A	N/A	N/A	N/A	635.3714444444445	1.0693409300552352	N/A	N/A	Rop_D8_G5.mzXML|Rop_D10_G5.mzXML|Rop_D15_G5.mzXML	3	6	6	9	251.046	1	251.046	1.67682e+07
 	GROUP-1	GROUP-1	G1,G2	1	4	8	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2e5883e5abb5482e80f0f09d56e35f08&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=2e5883e5abb5482e80f0f09d56e35f08&show=true	N/A	N/A	N/A	N/A	106.21941666666666	2.063604066446746	N/A	N/A	Rop_D8_G5.mzXML|BG-1X-P1-G5.mzXML|Rop_D10_G5.mzXML|Rop_D15_G5.mzXML	4	7	5	12	261.119	1	261.119	1.75657e+07
 	GROUP-1	GROUP-1	G1,G2	0	1	10	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2e5883e5abb5482e80f0f09d56e35f08&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=2e5883e5abb5482e80f0f09d56e35f08&show=true	N/A	N/A	N/A	N/A	141.86854545454545	1.1636846935986187	N/A	N/A	Rop_D8_G5.mzXML|BG-1X-P1-G5.mzXML|Rop_D10_G5.mzXML|Rop_D15_G5.mzXML	4	9	4	11	261.196	0	261.196	8.00679e+07
 	 	 	G2	1	0	6	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2e5883e5abb5482e80f0f09d56e35f08&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=2e5883e5abb5482e80f0f09d56e35f08&show=true	N/A	N/A	N/A	N/A	663.6231666666666	0.9927959536357737	N/A	N/A	Rop_D8_G5.mzXML|Rop_D15_G5.mzXML	2	12	3	6	282.278	1	282.278	3.67357e+06
 	GROUP-1	GROUP-1	G1,G2	0	1	5	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2e5883e5abb5482e80f0f09d56e35f08&view=cluster_details&protein=13&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=2e5883e5abb5482e80f0f09d56e35f08&show=true	N/A	N/A	N/A	N/A	180.65716666666665	0.6201885242049852	N/A	N/A	Rop_D8_G5.mzXML|BG-1X-P1-G5.mzXML|Rop_D10_G5.mzXML|Rop_D15_G5.mzXML	4	13	4	6	287.21	1	287.21	9.25044e+06
 	 	 	G2	1	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2e5883e5abb5482e80f0f09d56e35f08&view=cluster_details&protein=14&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=2e5883e5abb5482e80f0f09d56e35f08&show=true	N/A	N/A	N/A	N/A	502.79366666666664	0.914884449291573	N/A	N/A	Rop_D15_G5.mzXML	1	14	6	3	327.077	1	327.077	3.68407e+06
 	GROUP-1	GROUP-1	G1,G2	1	4	13	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2e5883e5abb5482e80f0f09d56e35f08&view=cluster_details&protein=15&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=2e5883e5abb5482e80f0f09d56e35f08&show=true	N/A	N/A	N/A	N/A	799.6640588235294	1.3575196876738582	N/A	N/A	Rop_D8_G5.mzXML|BG-1X-P1-G5.mzXML|Rop_D10_G5.mzXML|Rop_D15_G5.mzXML	4	15	3	17	338.337	1	338.337	1.77327e+07
 	GROUP-1	GROUP-1	G1,G2	0	5	12	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=2e5883e5abb5482e80f0f09d56e35f08&view=cluster_details&protein=16&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=2e5883e5abb5482e80f0f09d56e35f08&show=true	N/A	N/A	N/A	N/A	315.23482352941176	1.3813448364161116	N/A	N/A	Rop_D8_G5.mzXML|BG-1X-P1-G5.mzXML|Rop_D10_G5.mzXML|Rop_D15_G5.mzXML	4	16	-1	17	350.118	1	350.118	8.61508e+07
