#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spec-00000.mzXML	198	-1	197.125	1	109.432	1.51945e+06
2	inputspectra/spec-00000.mzXML	268	-1	211.137	1	148.649	872328
2	inputspectra/spectwo-00000.mzXML	264	-1	211.144	1	147.573	495008
2	inputspectra/spectwo-00001.mzXML	265	-1	211.143	1	147.604	478094
2	inputspectra/spectwo-00001.mzXML	267	-1	211.143	1	148.724	387252
2	inputspectra/spectwo-00003.mzXML	275	-1	211.144	1	154.203	1.3683e+06
2	inputspectra/spectwo-00003.mzXML	279	-1	211.144	0	156.444	2.59079e+06
3	inputspectra/spectwo-00003.mzXML	87	-1	218.066	1	48.857	1.23886e+06
3	inputspectra/spectwo-00003.mzXML	91	-1	218.066	1	51.098	774952
3	inputspectra/spectwo-00003.mzXML	294	-1	218.066	1	164.62	1.33275e+06
3	inputspectra/spectwo-00003.mzXML	295	-1	218.066	1	165.408	2.45715e+06
4	inputspectra/spectwo-00001.mzXML	215	-1	227.138	1	119.588	585445
5	inputspectra/spec-00000.mzXML	295	-1	245.12	1	163.551	1.33004e+06
5	inputspectra/spec-00000.mzXML	296	-1	245.12	1	164.339	1.31498e+06
5	inputspectra/spec-00000.mzXML	315	-1	245.12	1	174.757	2.01219e+06
5	inputspectra/spec-00000.mzXML	316	-1	245.124	0	175.545	5.77997e+06
5	inputspectra/spec-00000.mzXML	318	-1	245.127	0	176.666	5.97731e+06
5	inputspectra/spec-00000.mzXML	320	-1	245.124	0	177.786	2.6322e+06
5	inputspectra/spectwo-00000.mzXML	292	-1	245.128	1	163.26	837320
5	inputspectra/spectwo-00000.mzXML	312	-1	245.128	1	174.466	2.01931e+06
5	inputspectra/spectwo-00000.mzXML	314	-1	245.128	1	175.587	4.69324e+06
5	inputspectra/spectwo-00000.mzXML	316	-1	245.128	1	176.707	3.2208e+06
5	inputspectra/spectwo-00001.mzXML	293	-1	245.128	1	163.296	792006
5	inputspectra/spectwo-00001.mzXML	295	-1	245.128	1	164.417	624726
5	inputspectra/spectwo-00001.mzXML	313	-1	245.128	1	174.5	1.45382e+06
5	inputspectra/spectwo-00001.mzXML	315	-1	245.128	1	175.62	4.97048e+06
5	inputspectra/spectwo-00001.mzXML	317	-1	245.128	0	176.741	4.57321e+06
5	inputspectra/spectwo-00001.mzXML	319	-1	245.128	1	177.862	1.21261e+06
5	inputspectra/spectwo-00003.mzXML	291	-1	245.128	1	163.167	814047
5	inputspectra/spectwo-00003.mzXML	293	-1	245.128	1	164.287	692502
5	inputspectra/spectwo-00003.mzXML	311	-1	245.128	1	174.371	1.27968e+06
5	inputspectra/spectwo-00003.mzXML	313	-1	245.128	1	175.491	5.25432e+06
5	inputspectra/spectwo-00003.mzXML	315	-1	245.128	0	176.612	5.04062e+06
5	inputspectra/spectwo-00003.mzXML	317	-1	245.128	1	177.733	1.60099e+06
6	inputspectra/spectwo-00000.mzXML	1132	-1	251.046	1	633.902	2.26164e+06
6	inputspectra/spectwo-00000.mzXML	1134	-1	251.046	1	635.022	4.17709e+06
6	inputspectra/spectwo-00000.mzXML	1136	-1	251.046	1	636.143	3.82655e+06
6	inputspectra/spectwo-00000.mzXML	1138	-1	251.046	1	637.263	1.49176e+06
6	inputspectra/spectwo-00001.mzXML	1135	-1	251.046	1	635.051	855046
6	inputspectra/spectwo-00001.mzXML	1137	-1	251.046	1	636.171	742333
6	inputspectra/spectwo-00003.mzXML	1131	-1	251.046	1	633.81	587990
6	inputspectra/spectwo-00003.mzXML	1133	-1	251.046	1	634.93	1.4468e+06
6	inputspectra/spectwo-00003.mzXML	1135	-1	251.046	1	636.051	1.37904e+06
7	inputspectra/spec-00000.mzXML	185	-1	261.115	1	101.921	781367
7	inputspectra/spec-00000.mzXML	193	-1	261.115	1	106.404	2.39412e+06
7	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.191	2.41924e+06
7	inputspectra/spec-00000.mzXML	196	-1	261.115	1	108.312	1.29425e+06
7	inputspectra/spectwo-00000.mzXML	190	-1	261.122	1	106.111	1.95702e+06
7	inputspectra/spectwo-00000.mzXML	193	-1	261.122	1	107.564	1.0349e+06
7	inputspectra/spectwo-00001.mzXML	184	-1	261.122	1	101.992	273710
7	inputspectra/spectwo-00001.mzXML	191	-1	261.122	1	106.142	1.78551e+06
7	inputspectra/spectwo-00001.mzXML	193	-1	261.122	1	107.262	1.63582e+06
7	inputspectra/spectwo-00003.mzXML	189	-1	261.122	1	106.013	1.54149e+06
7	inputspectra/spectwo-00003.mzXML	191	-1	261.122	1	107.134	1.88167e+06
7	inputspectra/spectwo-00003.mzXML	194	-1	261.122	1	108.587	566654
8	inputspectra/spec-00000.mzXML	239	-1	261.115	1	132.174	503714
9	inputspectra/spec-00000.mzXML	259	-1	261.193	0	143.38	2.54048e+06
9	inputspectra/spectwo-00000.mzXML	252	-1	261.196	0	140.848	1.24186e+07
9	inputspectra/spectwo-00000.mzXML	254	-1	261.196	0	141.97	8.8833e+06
9	inputspectra/spectwo-00000.mzXML	256	-1	261.196	1	143.091	2.28854e+06
9	inputspectra/spectwo-00001.mzXML	253	-1	261.196	0	140.879	1.27841e+07
