ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	 	 	G2	0	0	5	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7bc695e39da94fa5b3d47b73eaf9c400&view=cluster_details&protein=1&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=7bc695e39da94fa5b3d47b73eaf9c400&show=true	N/A	N/A	N/A	N/A	151.12	4.07717353076859	N/A	N/A	Spiro_D15_C5.mzXML|Spiro_D10_C5.mzXML|Spiro_D8_C5.mzXML|Spiro_D5_C5.mzXML	4	1	-1	5	211.144	1	211.144	3.50756e+06
 	 	 	G2	0	0	6	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7bc695e39da94fa5b3d47b73eaf9c400&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=7bc695e39da94fa5b3d47b73eaf9c400&show=true	N/A	N/A	N/A	N/A	127.95933333333333	54.33595737528592	N/A	N/A	Spiro_D8_C5.mzXML|Spiro_D5_C5.mzXML	2	2	-1	6	218.066	1	218.066	7.49305e+06
 	GROUP-1	GROUP-1	G1,G2	0	6	26	0	0	0	0	6	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7bc695e39da94fa5b3d47b73eaf9c400&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=7bc695e39da94fa5b3d47b73eaf9c400&show=true	N/A	N/A	N/A	N/A	172.98675	5.498493628940567	N/A	N/A	Spiro_D15_C5.mzXML|Spiro_D10_C5.mzXML|Spiro_D8_C5.mzXML|Spiro_D18_C5.mzXML|Spiro_D5_C5.mzXML|BG-1X-P1-C5.mzXML	6	4	2	32	245.127	1	245.127	7.92591e+07
 	 	 	G2	1	0	21	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7bc695e39da94fa5b3d47b73eaf9c400&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=7bc695e39da94fa5b3d47b73eaf9c400&show=true	N/A	N/A	N/A	N/A	635.1974761904762	1.35742615756535	N/A	N/A	Spiro_D15_C5.mzXML|Spiro_D10_C5.mzXML|Spiro_D8_C5.mzXML|Spiro_D18_C5.mzXML|Spiro_D5_C5.mzXML	5	6	7	21	251.046	1	251.046	4.27604e+07
 	GROUP-1	GROUP-1	G1,G2	1	5	14	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7bc695e39da94fa5b3d47b73eaf9c400&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=7bc695e39da94fa5b3d47b73eaf9c400&show=true	N/A	N/A	N/A	N/A	107.57931578947368	6.103657626914602	N/A	N/A	Spiro_D15_C5.mzXML|Spiro_D10_C5.mzXML|Spiro_D8_C5.mzXML|Spiro_D18_C5.mzXML|Spiro_D5_C5.mzXML|BG-1X-P1-C5.mzXML	6	7	2	19	261.12	1	261.12	2.30301e+07
 	 	 	G2	1	0	11	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7bc695e39da94fa5b3d47b73eaf9c400&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=7bc695e39da94fa5b3d47b73eaf9c400&show=true	N/A	N/A	N/A	N/A	611.4081818181818	4.7478974450550755	N/A	N/A	Spiro_D15_C5.mzXML|Spiro_D8_C5.mzXML|Spiro_D18_C5.mzXML	3	8	4	11	280.262	1	280.262	4.17077e+06
 	 	 	G2	1	0	10	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7bc695e39da94fa5b3d47b73eaf9c400&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=7bc695e39da94fa5b3d47b73eaf9c400&show=true	N/A	N/A	N/A	N/A	662.5114	1.668822770697949	N/A	N/A	Spiro_D15_C5.mzXML|Spiro_D8_C5.mzXML|Spiro_D18_C5.mzXML	3	9	4	10	282.278	1	282.278	8.90584e+06
 	 	 	G2	1	0	6	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7bc695e39da94fa5b3d47b73eaf9c400&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=7bc695e39da94fa5b3d47b73eaf9c400&show=true	N/A	N/A	N/A	N/A	733.0228333333333	0.9731192829704318	N/A	N/A	Spiro_D8_C5.mzXML|Spiro_D18_C5.mzXML	2	11	4	6	310.309	1	310.309	3.39704e+06
 	 	 	G2	1	0	11	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7bc695e39da94fa5b3d47b73eaf9c400&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=7&task=7bc695e39da94fa5b3d47b73eaf9c400&show=true	N/A	N/A	N/A	N/A	502.614	1.2153272660630847	N/A	N/A	Spiro_D10_C5.mzXML|Spiro_D8_C5.mzXML|Spiro_D18_C5.mzXML|Spiro_D5_C5.mzXML	4	12	7	11	327.077	1	327.077	1.91191e+07
 	GROUP-1	GROUP-1	G1,G2	1	4	30	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=7bc695e39da94fa5b3d47b73eaf9c400&view=cluster_details&protein=13&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=7bc695e39da94fa5b3d47b73eaf9c400&show=true	N/A	N/A	N/A	N/A	799.7354705882353	1.885396513691698	N/A	N/A	Spiro_D15_C5.mzXML|Spiro_D10_C5.mzXML|Spiro_D8_C5.mzXML|Spiro_D18_C5.mzXML|Spiro_D5_C5.mzXML|BG-1X-P1-C5.mzXML	6	13	4	34	338.339	1	338.339	4.16121e+07
