#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spectwo-00000.mzXML	264	-1	211.144	1	147.531	486821
1	inputspectra/spectwo-00000.mzXML	276	-1	211.144	1	154.254	1.45368e+06
1	inputspectra/spectwo-00001.mzXML	264	-1	211.144	1	148.643	359492
1	inputspectra/spectwo-00004.mzXML	262	-1	211.143	1	147.587	400193
1	inputspectra/spectwo-00005.mzXML	280	-1	211.144	1	157.585	807376
2	inputspectra/spectwo-00004.mzXML	296	-1	218.066	1	166.635	346318
2	inputspectra/spectwo-00005.mzXML	88	-1	218.066	1	50.012	1.79308e+06
2	inputspectra/spectwo-00005.mzXML	92	-1	218.066	1	52.253	339330
2	inputspectra/spectwo-00005.mzXML	293	-1	218.066	1	164.64	1.81671e+06
2	inputspectra/spectwo-00005.mzXML	296	-1	218.066	1	166.548	2.3867e+06
2	inputspectra/spectwo-00005.mzXML	298	-1	218.066	1	167.668	810915
3	inputspectra/spectwo-00005.mzXML	224	-1	229.1	1	126.21	3.93729e+06
4	inputspectra/spec-00000.mzXML	295	-1	245.12	1	163.477	944280
4	inputspectra/spec-00000.mzXML	296	-1	245.12	1	164.265	905938
4	inputspectra/spec-00000.mzXML	315	-1	245.12	1	174.683	1.78898e+06
4	inputspectra/spec-00000.mzXML	316	-1	245.124	0	175.47	5.35484e+06
4	inputspectra/spec-00000.mzXML	318	-1	245.128	0	176.59	5.41444e+06
4	inputspectra/spec-00000.mzXML	320	-1	245.124	0	177.711	2.18464e+06
4	inputspectra/spectwo-00000.mzXML	292	-1	245.128	1	163.219	768960
4	inputspectra/spectwo-00000.mzXML	294	-1	245.128	1	164.34	661765
4	inputspectra/spectwo-00000.mzXML	312	-1	245.128	1	174.423	1.43064e+06
4	inputspectra/spectwo-00000.mzXML	314	-1	245.128	1	175.544	4.81528e+06
4	inputspectra/spectwo-00000.mzXML	316	-1	245.128	0	176.665	4.32338e+06
4	inputspectra/spectwo-00000.mzXML	318	-1	245.128	1	177.785	1.11442e+06
4	inputspectra/spectwo-00001.mzXML	290	-1	245.128	1	163.209	696486
4	inputspectra/spectwo-00001.mzXML	310	-1	245.128	1	174.414	1.20925e+06
4	inputspectra/spectwo-00001.mzXML	312	-1	245.128	1	175.535	4.37029e+06
4	inputspectra/spectwo-00001.mzXML	314	-1	245.128	1	176.655	3.66579e+06
4	inputspectra/spectwo-00001.mzXML	316	-1	245.128	1	177.776	1.0871e+06
4	inputspectra/spectwo-00002.mzXML	293	-1	245.128	1	164.274	584808
4	inputspectra/spectwo-00002.mzXML	311	-1	245.128	1	174.358	914576
4	inputspectra/spectwo-00002.mzXML	313	-1	245.128	1	175.478	3.88528e+06
4	inputspectra/spectwo-00002.mzXML	315	-1	245.128	1	176.599	3.29356e+06
4	inputspectra/spectwo-00002.mzXML	317	-1	245.128	1	177.719	1.00871e+06
4	inputspectra/spectwo-00004.mzXML	290	-1	245.128	1	163.273	632678
4	inputspectra/spectwo-00004.mzXML	310	-1	245.128	1	174.479	1.22412e+06
4	inputspectra/spectwo-00004.mzXML	312	-1	245.128	1	175.601	4.35092e+06
4	inputspectra/spectwo-00004.mzXML	314	-1	245.128	1	176.721	3.54016e+06
4	inputspectra/spectwo-00004.mzXML	316	-1	245.128	1	177.841	976103
4	inputspectra/spectwo-00005.mzXML	290	-1	245.128	1	163.186	1.11785e+06
4	inputspectra/spectwo-00005.mzXML	310	-1	245.128	1	174.391	1.99752e+06
4	inputspectra/spectwo-00005.mzXML	312	-1	245.128	0	175.511	7.0415e+06
4	inputspectra/spectwo-00005.mzXML	314	-1	245.128	0	176.632	6.06656e+06
4	inputspectra/spectwo-00005.mzXML	316	-1	245.128	1	177.752	1.8883e+06
5	inputspectra/spectwo-00005.mzXML	315	-1	246.131	0	176.964	769707
6	inputspectra/spectwo-00000.mzXML	1132	-1	251.046	1	633.842	639613
