ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	 	 	G2	0	0	2	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cdc2f0b796c849f1ab7c1890a88d23a9&view=cluster_details&protein=1&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=cdc2f0b796c849f1ab7c1890a88d23a9&show=true	N/A	N/A	N/A	N/A	146.94549999999998	0.5534999999999997	N/A	N/A	Sulf_D10_F5.mzXML|Sulf_D19_F5.mzXML	2	1	-1	2	211.144	1	211.144	782463
 	 	 	G2	0	0	2	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cdc2f0b796c849f1ab7c1890a88d23a9&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=cdc2f0b796c849f1ab7c1890a88d23a9&show=true	N/A	N/A	N/A	N/A	107.32499999999999	58.101	N/A	N/A	Sulf_D19_F5.mzXML	1	2	-1	2	218.066	1	218.066	841856
 	GROUP-1	GROUP-1	G1,G2	0	5	12	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cdc2f0b796c849f1ab7c1890a88d23a9&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=cdc2f0b796c849f1ab7c1890a88d23a9&show=true	N/A	N/A	N/A	N/A	175.3494705882353	3.1954510703893755	N/A	N/A	BG-1X-P1-F5.mzXML|Sulf_D19_F5.mzXML|Sulf_D10_F5.mzXML|Sulf_D9_F5.mzXML	4	3	3	17	245.127	1	245.127	5.23784e+07
 	 	 	G2	1	0	7	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cdc2f0b796c849f1ab7c1890a88d23a9&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=cdc2f0b796c849f1ab7c1890a88d23a9&show=true	N/A	N/A	N/A	N/A	635.2505714285714	0.7815959601341058	N/A	N/A	Sulf_D10_F5.mzXML|Sulf_D19_F5.mzXML|Sulf_D9_F5.mzXML	3	5	-1	7	251.046	1	251.046	7.80876e+06
 	GROUP-1	GROUP-1	G1,G2	1	4	7	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cdc2f0b796c849f1ab7c1890a88d23a9&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=cdc2f0b796c849f1ab7c1890a88d23a9&show=true	N/A	N/A	N/A	N/A	106.56363636363636	1.7250500531724926	N/A	N/A	BG-1X-P1-F5.mzXML|Sulf_D19_F5.mzXML|Sulf_D10_F5.mzXML|Sulf_D9_F5.mzXML	4	6	3	11	261.119	1	261.119	1.64666e+07
 	GROUP-1	GROUP-1	G1,G2	1	3	14	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cdc2f0b796c849f1ab7c1890a88d23a9&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=cdc2f0b796c849f1ab7c1890a88d23a9&show=true	N/A	N/A	N/A	N/A	799.6061764705883	1.3221940426825298	N/A	N/A	BG-1X-P1-F5.mzXML|Sulf_D19_F5.mzXML|Sulf_D10_F5.mzXML|Sulf_D9_F5.mzXML	4	7	-1	17	338.337	1	338.337	1.07939e+07
 	GROUP-1	GROUP-1	G1,G2	0	5	12	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cdc2f0b796c849f1ab7c1890a88d23a9&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=cdc2f0b796c849f1ab7c1890a88d23a9&show=true	N/A	N/A	N/A	N/A	315.19594117647057	1.3557649662086013	N/A	N/A	BG-1X-P1-F5.mzXML|Sulf_D19_F5.mzXML|Sulf_D10_F5.mzXML|Sulf_D9_F5.mzXML	4	8	-1	17	350.118	1	350.118	8.96786e+07
 	 	 	G2	1	0	15	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cdc2f0b796c849f1ab7c1890a88d23a9&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=cdc2f0b796c849f1ab7c1890a88d23a9&show=true	N/A	N/A	N/A	N/A	633.0002666666667	74.62927265934073	N/A	N/A	Sulf_D10_F5.mzXML|Sulf_D19_F5.mzXML|Sulf_D9_F5.mzXML	3	9	2	15	371.1	1	371.1	2.24e+07
 	 	 	G2	0	0	11	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cdc2f0b796c849f1ab7c1890a88d23a9&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=cdc2f0b796c849f1ab7c1890a88d23a9&show=true	N/A	N/A	N/A	N/A	716.5026363636364	1.1275030556481387	N/A	N/A	Sulf_D10_F5.mzXML|Sulf_D19_F5.mzXML|Sulf_D9_F5.mzXML	3	10	-1	11	395.218	1	395.218	5.26874e+06
 	GROUP-1	GROUP-1	G1	1	3	0	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=cdc2f0b796c849f1ab7c1890a88d23a9&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=cdc2f0b796c849f1ab7c1890a88d23a9&show=true	N/A	N/A	N/A	N/A	288.767	0.7832883675037312	N/A	N/A	BG-1X-P1-F5.mzXML	1	11	-1	3	399.062	1	399.062	2.87778e+06
