#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spectwo-00000.mzXML	263	-1	211.144	1	146.392	383601
1	inputspectra/spectwo-00002.mzXML	263	-1	211.144	1	147.499	398862
2	inputspectra/spectwo-00002.mzXML	88	-1	218.066	1	49.224	275633
2	inputspectra/spectwo-00002.mzXML	295	-1	218.066	1	165.426	566223
3	inputspectra/spec-00000.mzXML	295	-1	245.12	1	163.487	1.19061e+06
3	inputspectra/spec-00000.mzXML	315	-1	245.12	1	174.692	2.21556e+06
3	inputspectra/spec-00000.mzXML	316	-1	245.124	0	175.48	5.88337e+06
3	inputspectra/spec-00000.mzXML	318	-1	245.127	0	176.6	5.60829e+06
3	inputspectra/spec-00000.mzXML	320	-1	245.124	0	177.721	2.40955e+06
3	inputspectra/spectwo-00000.mzXML	313	-1	245.128	1	174.405	1.62475e+06
3	inputspectra/spectwo-00000.mzXML	315	-1	245.128	1	175.526	5.03723e+06
3	inputspectra/spectwo-00000.mzXML	317	-1	245.128	0	176.646	4.62858e+06
3	inputspectra/spectwo-00000.mzXML	319	-1	245.128	1	177.766	1.27009e+06
3	inputspectra/spectwo-00002.mzXML	311	-1	245.128	1	174.39	1.08682e+06
3	inputspectra/spectwo-00002.mzXML	313	-1	245.128	1	175.51	4.32719e+06
3	inputspectra/spectwo-00002.mzXML	315	-1	245.128	1	176.631	3.54472e+06
3	inputspectra/spectwo-00002.mzXML	317	-1	245.128	1	177.751	1.09051e+06
3	inputspectra/spectwo-00004.mzXML	314	-1	245.128	1	174.404	1.58722e+06
3	inputspectra/spectwo-00004.mzXML	316	-1	245.128	1	175.524	5.10016e+06
3	inputspectra/spectwo-00004.mzXML	318	-1	245.128	0	176.644	4.57029e+06
3	inputspectra/spectwo-00004.mzXML	320	-1	245.128	1	177.764	1.20342e+06
4	inputspectra/spectwo-00002.mzXML	209	-1	250.063	1	117.245	1.96536e+06
5	inputspectra/spectwo-00000.mzXML	1135	-1	251.046	1	634.923	1.1983e+06
5	inputspectra/spectwo-00000.mzXML	1137	-1	251.046	1	636.044	1.03156e+06
5	inputspectra/spectwo-00002.mzXML	1133	-1	251.046	1	634.924	1.11741e+06
5	inputspectra/spectwo-00002.mzXML	1135	-1	251.046	1	636.045	959460
5	inputspectra/spectwo-00004.mzXML	1134	-1	251.046	1	633.819	642820
5	inputspectra/spectwo-00004.mzXML	1136	-1	251.046	1	634.939	1.51855e+06
5	inputspectra/spectwo-00004.mzXML	1138	-1	251.046	1	636.06	1.34066e+06
6	inputspectra/spec-00000.mzXML	185	-1	261.115	1	101.859	649241
6	inputspectra/spec-00000.mzXML	193	-1	261.115	1	106.34	2.12978e+06
6	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.128	2.54202e+06
6	inputspectra/spec-00000.mzXML	197	-1	261.115	1	108.581	1.03155e+06
6	inputspectra/spectwo-00000.mzXML	191	-1	261.122	1	106.055	1.57348e+06
6	inputspectra/spectwo-00000.mzXML	193	-1	261.122	1	107.176	1.86624e+06
6	inputspectra/spectwo-00002.mzXML	189	-1	261.122	1	106.041	1.23099e+06
6	inputspectra/spectwo-00002.mzXML	191	-1	261.122	1	107.161	1.59267e+06
6	inputspectra/spectwo-00004.mzXML	192	-1	261.122	1	106.055	1.57566e+06
6	inputspectra/spectwo-00004.mzXML	194	-1	261.122	1	107.175	1.76746e+06
6	inputspectra/spectwo-00004.mzXML	197	-1	261.122	1	108.629	507522
7	inputspectra/spec-00000.mzXML	1429	-1	338.331	1	798.813	941340
7	inputspectra/spec-00000.mzXML	1430	-1	338.331	1	799.601	1.14316e+06
7	inputspectra/spec-00000.mzXML	1432	-1	338.331	1	800.723	889022
