ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	5	12	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b3adb07693214d5c8ce41904a8e934e6&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=b3adb07693214d5c8ce41904a8e934e6&show=true	N/A	N/A	N/A	N/A	172.4935294117647	5.747143363217089	N/A	N/A	BG-1X-P1-E9.mzXML|Sulin_D11_E9.mzXML|Sulin_D13_E9.mzXML	3	2	1	17	245.127	1	245.127	4.78931e+07
 	GROUP-1	GROUP-1	G1,G2	1	5	7	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b3adb07693214d5c8ce41904a8e934e6&view=cluster_details&protein=3&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=1&task=b3adb07693214d5c8ce41904a8e934e6&show=true	N/A	N/A	N/A	N/A	105.55641666666666	2.3706908788485177	N/A	N/A	BG-1X-P1-E9.mzXML|Sulin_D11_E9.mzXML|Sulin_D13_E9.mzXML	3	3	1	12	261.119	1	261.119	1.51202e+07
 	GROUP-1	GROUP-1	G1,G2	1	3	7	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b3adb07693214d5c8ce41904a8e934e6&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=b3adb07693214d5c8ce41904a8e934e6&show=true	N/A	N/A	N/A	N/A	799.9742	1.205779896996143	N/A	N/A	BG-1X-P1-E9.mzXML|Sulin_D11_E9.mzXML|Sulin_D13_E9.mzXML	3	6	-1	10	338.337	1	338.337	6.44936e+06
 	GROUP-1	GROUP-1	G1,G2	0	5	9	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b3adb07693214d5c8ce41904a8e934e6&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=b3adb07693214d5c8ce41904a8e934e6&show=true	N/A	N/A	N/A	N/A	315.4672142857143	1.5134832661574966	N/A	N/A	BG-1X-P1-E9.mzXML|Sulin_D11_E9.mzXML|Sulin_D13_E9.mzXML	3	7	-1	14	350.118	1	350.118	7.80407e+07
 	GROUP-1	GROUP-1	G1,G2	1	2	1	0	0	0	0	2	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b3adb07693214d5c8ce41904a8e934e6&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=b3adb07693214d5c8ce41904a8e934e6&show=true	N/A	N/A	N/A	N/A	321.58133333333336	0.5265645470616412	N/A	N/A	BG-1X-P1-E9.mzXML|Sulin_D11_E9.mzXML	2	9	-1	3	357.086	1	357.086	1.46015e+07
 	 	 	G2	1	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b3adb07693214d5c8ce41904a8e934e6&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=b3adb07693214d5c8ce41904a8e934e6&show=true	N/A	N/A	N/A	N/A	658.2713333333334	72.73128002142928	N/A	N/A	Sulin_D11_E9.mzXML|Sulin_D13_E9.mzXML	2	10	3	3	371.099	1	371.099	3.06512e+06
 	 	 	G2	0	0	5	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b3adb07693214d5c8ce41904a8e934e6&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=b3adb07693214d5c8ce41904a8e934e6&show=true	N/A	N/A	N/A	N/A	716.8006	0.827509419885972	N/A	N/A	Sulin_D11_E9.mzXML|Sulin_D13_E9.mzXML	2	11	-1	5	395.217	1	395.217	2.02933e+06
 	GROUP-1	GROUP-1	G1	1	2	0	0	0	0	0	2	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b3adb07693214d5c8ce41904a8e934e6&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=b3adb07693214d5c8ce41904a8e934e6&show=true	N/A	N/A	N/A	N/A	702.742	0.5600000000000023	N/A	N/A	BG-1X-P1-E9.mzXML	1	12	-1	2	408.295	1	408.295	613640
 	 	 	G2	1	0	6	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b3adb07693214d5c8ce41904a8e934e6&view=cluster_details&protein=13&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=b3adb07693214d5c8ce41904a8e934e6&show=true	N/A	N/A	N/A	N/A	638.4333333333334	0.8572140274685869	N/A	N/A	Sulin_D11_E9.mzXML|Sulin_D13_E9.mzXML	2	13	3	6	445.118	1	445.118	6.2856e+06
 	GROUP-1	GROUP-1	G1	1	3	0	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=b3adb07693214d5c8ce41904a8e934e6&view=cluster_details&protein=14&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=b3adb07693214d5c8ce41904a8e934e6&show=true	N/A	N/A	N/A	N/A	315.93533333333335	0.914884449291573	N/A	N/A	BG-1X-P1-E9.mzXML	1	14	-1	3	453.056	1	453.056	7.52275e+06
