#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spectwo-00000.mzXML	267	-1	211.144	1	148.639	582043
2	inputspectra/spec-00000.mzXML	295	-1	245.12	1	163.544	1.09416e+06
2	inputspectra/spec-00000.mzXML	315	-1	245.12	1	174.75	2.03975e+06
2	inputspectra/spec-00000.mzXML	316	-1	245.125	0	175.538	5.7655e+06
2	inputspectra/spec-00000.mzXML	318	-1	245.128	0	176.658	6.10954e+06
2	inputspectra/spec-00000.mzXML	320	-1	245.125	0	177.778	2.61989e+06
2	inputspectra/spectwo-00000.mzXML	293	-1	245.128	1	163.207	1.1604e+06
2	inputspectra/spectwo-00000.mzXML	295	-1	245.128	1	164.328	931194
2	inputspectra/spectwo-00000.mzXML	313	-1	245.128	1	174.413	2.04396e+06
2	inputspectra/spectwo-00000.mzXML	315	-1	245.128	0	175.533	6.95887e+06
2	inputspectra/spectwo-00000.mzXML	317	-1	245.128	0	176.653	5.56774e+06
2	inputspectra/spectwo-00000.mzXML	319	-1	245.128	1	177.774	1.60305e+06
2	inputspectra/spectwo-00001.mzXML	290	-1	245.128	1	163.258	759377
2	inputspectra/spectwo-00001.mzXML	292	-1	245.128	1	164.378	583027
2	inputspectra/spectwo-00001.mzXML	310	-1	245.128	1	174.463	1.41313e+06
2	inputspectra/spectwo-00001.mzXML	312	-1	245.128	1	175.584	4.68476e+06
2	inputspectra/spectwo-00001.mzXML	314	-1	245.128	1	176.705	3.53356e+06
2	inputspectra/spectwo-00001.mzXML	316	-1	245.128	1	177.826	1.02516e+06
3	inputspectra/spec-00000.mzXML	185	-1	261.115	1	101.919	460560
3	inputspectra/spec-00000.mzXML	187	-1	261.115	1	103.04	335959
3	inputspectra/spec-00000.mzXML	193	-1	261.115	1	106.401	2.07738e+06
3	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.189	2.38503e+06
3	inputspectra/spec-00000.mzXML	196	-1	261.115	1	108.31	1.15564e+06
3	inputspectra/spectwo-00000.mzXML	184	-1	261.122	1	101.911	373030
3	inputspectra/spectwo-00000.mzXML	185	-1	261.122	1	102.698	283027
3	inputspectra/spectwo-00000.mzXML	191	-1	261.122	1	106.06	1.97759e+06
3	inputspectra/spectwo-00000.mzXML	193	-1	261.122	1	107.18	2.2834e+06
3	inputspectra/spectwo-00000.mzXML	196	-1	261.122	1	108.634	649330
3	inputspectra/spectwo-00001.mzXML	188	-1	261.122	1	106.107	1.53747e+06
3	inputspectra/spectwo-00001.mzXML	190	-1	261.122	1	107.228	1.60184e+06
4	inputspectra/spectwo-00000.mzXML	255	-1	261.122	1	141.917	581612
5	inputspectra/spectwo-00001.mzXML	1184	-1	282.277	1	664.192	559426
6	inputspectra/spec-00000.mzXML	1429	-1	338.33	1	798.876	636901
6	inputspectra/spec-00000.mzXML	1431	-1	338.33	1	799.997	578053
6	inputspectra/spec-00000.mzXML	1433	-1	338.33	1	801.117	374325
6	inputspectra/spectwo-00000.mzXML	1429	-1	338.34	1	799.698	421220
6	inputspectra/spectwo-00000.mzXML	1431	-1	338.34	1	800.819	345584
6	inputspectra/spectwo-00001.mzXML	1423	-1	338.34	1	797.872	605654
6	inputspectra/spectwo-00001.mzXML	1424	-1	338.34	1	798.66	991438
6	inputspectra/spectwo-00001.mzXML	1426	-1	338.34	1	799.78	1.20684e+06
6	inputspectra/spectwo-00001.mzXML	1428	-1	338.34	1	800.901	917196
6	inputspectra/spectwo-00001.mzXML	1430	-1	338.34	1	802.022	372147
7	inputspectra/spec-00000.mzXML	562	-1	350.113	1	313.362	1.79801e+06
7	inputspectra/spec-00000.mzXML	564	-1	350.113	1	314.482	9.17968e+06
7	inputspectra/spec-00000.mzXML	566	-1	350.113	0	315.603	1.27689e+07
7	inputspectra/spec-00000.mzXML	568	-1	350.113	1	316.723	4.83027e+06
7	inputspectra/spec-00000.mzXML	570	-1	350.113	1	317.844	1.19171e+06
7	inputspectra/spectwo-00000.mzXML	561	-1	350.121	1	313.368	1.84573e+06
7	inputspectra/spectwo-00000.mzXML	563	-1	350.121	1	314.489	9.94544e+06
7	inputspectra/spectwo-00000.mzXML	565	-1	350.121	0	315.609	1.32946e+07
7	inputspectra/spectwo-00000.mzXML	567	-1	350.121	1	316.73	4.96573e+06
7	inputspectra/spectwo-00000.mzXML	569	-1	350.121	1	317.851	1.00956e+06
7	inputspectra/spectwo-00001.mzXML	558	-1	350.121	1	313.439	1.64728e+06
7	inputspectra/spectwo-00001.mzXML	560	-1	350.121	1	314.56	6.8524e+06
7	inputspectra/spectwo-00001.mzXML	562	-1	350.121	1	315.68	6.51538e+06
7	inputspectra/spectwo-00001.mzXML	564	-1	350.121	1	316.801	2.19603e+06
8	inputspectra/spectwo-00000.mzXML	566	-1	351.124	0	315.942	1.93503e+06
9	inputspectra/spec-00000.mzXML	576	-1	357.084	1	321.206	7.26389e+06
9	inputspectra/spec-00000.mzXML	578	-1	357.084	1	322.326	4.54583e+06
9	inputspectra/spectwo-00000.mzXML	575	-1	357.094	1	321.212	2.79181e+06
10	inputspectra/spectwo-00000.mzXML	993	-1	371.099	1	555.415	988897
10	inputspectra/spectwo-00000.mzXML	1268	-1	371.099	1	709.264	1.04524e+06
10	inputspectra/spectwo-00001.mzXML	1266	-1	371.099	1	710.135	1.03099e+06
11	inputspectra/spectwo-00000.mzXML	1280	-1	395.218	1	715.987	417782
11	inputspectra/spectwo-00000.mzXML	1282	-1	395.218	1	717.107	429759
11	inputspectra/spectwo-00001.mzXML	1276	-1	395.217	1	715.739	446722
11	inputspectra/spectwo-00001.mzXML	1279	-1	395.217	1	717.191	410712
11	inputspectra/spectwo-00001.mzXML	1280	-1	395.217	1	717.979	324353
12	inputspectra/spec-00000.mzXML	1256	-1	408.295	1	702.182	346670
12	inputspectra/spec-00000.mzXML	1258	-1	408.295	1	703.302	266970
13	inputspectra/spectwo-00000.mzXML	1139	-1	445.118	1	637.215	895391
13	inputspectra/spectwo-00000.mzXML	1141	-1	445.118	1	638.336	1.52978e+06
13	inputspectra/spectwo-00000.mzXML	1143	-1	445.118	1	639.456	1.04317e+06
13	inputspectra/spectwo-00001.mzXML	1137	-1	445.117	1	637.632	900049
13	inputspectra/spectwo-00001.mzXML	1138	-1	445.117	1	638.42	1.15432e+06
13	inputspectra/spectwo-00001.mzXML	1140	-1	445.117	1	639.541	762895
14	inputspectra/spec-00000.mzXML	565	-1	453.056	1	314.815	2.94471e+06
14	inputspectra/spec-00000.mzXML	567	-1	453.056	1	315.935	2.89368e+06
14	inputspectra/spec-00000.mzXML	569	-1	453.056	1	317.056	1.68436e+06
15	inputspectra/spec-00000.mzXML	1239	-1	536.147	1	692.429	952689
15	inputspectra/spec-00000.mzXML	1241	-1	536.147	1	693.55	1.0433e+06
15	inputspectra/spec-00000.mzXML	1243	-1	536.147	1	694.67	1.05012e+06
15	inputspectra/spec-00000.mzXML	1245	-1	536.147	1	695.79	1.06538e+06
15	inputspectra/spec-00000.mzXML	1247	-1	536.147	1	696.911	1.1056e+06
15	inputspectra/spec-00000.mzXML	1249	-1	536.147	1	698.032	1.14423e+06
15	inputspectra/spec-00000.mzXML	1250	-1	536.147	1	698.82	1.22776e+06
15	inputspectra/spec-00000.mzXML	1253	-1	536.147	1	700.273	1.24451e+06
