ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	 	 	G2	0	0	3	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3b29817e2b9c4c4f9c39656cd261def4&view=cluster_details&protein=1&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=3b29817e2b9c4c4f9c39656cd261def4&show=true	N/A	N/A	N/A	N/A	106.51633333333334	1.3672776682964696	N/A	N/A	Tolcap_D4_B5.mzXML|Tolcap_D16_B5.mzXML|Tolcap_D14_B5.mzXML	3	1	6	3	197.128	1	197.128	3.39978e+06
 	GROUP-1	GROUP-1	G1,G2	0	1	8	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3b29817e2b9c4c4f9c39656cd261def4&view=cluster_details&protein=2&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=6&task=3b29817e2b9c4c4f9c39656cd261def4&show=true	N/A	N/A	N/A	N/A	152.39033333333333	4.678342204005367	N/A	N/A	Tolcap_D4_B5.mzXML|Tolcap_D14_B5.mzXML|BG-1X-P1-B5.mzXML|Tolcap_D16_B5.mzXML|Tolcap_D15_B5.mzXML	5	2	6	9	211.143	1	211.143	9.16728e+06
 	GROUP-1	GROUP-1	G1,G2	0	5	25	0	0	0	0	5	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3b29817e2b9c4c4f9c39656cd261def4&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=3b29817e2b9c4c4f9c39656cd261def4&show=true	N/A	N/A	N/A	N/A	172.57263333333333	5.694483087359397	N/A	N/A	Tolcap_D4_B5.mzXML|Tolcap_D14_B5.mzXML|BG-1X-P1-B5.mzXML|Tolcap_D16_B5.mzXML|Tolcap_D15_B5.mzXML	5	4	4	30	245.128	1	245.128	9.75866e+07
 	 	 	G2	1	0	4	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3b29817e2b9c4c4f9c39656cd261def4&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=3b29817e2b9c4c4f9c39656cd261def4&show=true	N/A	N/A	N/A	N/A	176.67725000000002	0.5091332708633359	N/A	N/A	Tolcap_D14_B5.mzXML|Tolcap_D16_B5.mzXML|Tolcap_D15_B5.mzXML	3	5	4	4	246.131	0	246.131	3.91278e+06
 	 	 	G2	1	0	13	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3b29817e2b9c4c4f9c39656cd261def4&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=3b29817e2b9c4c4f9c39656cd261def4&show=true	N/A	N/A	N/A	N/A	635.3068461538462	1.4157549139350787	N/A	N/A	Tolcap_D4_B5.mzXML|Tolcap_D16_B5.mzXML|Tolcap_D15_B5.mzXML	3	6	5	13	251.046	1	251.046	3.77603e+07
 	GROUP-1	GROUP-1	G1,G2	1	3	17	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3b29817e2b9c4c4f9c39656cd261def4&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=3b29817e2b9c4c4f9c39656cd261def4&show=true	N/A	N/A	N/A	N/A	105.91555	2.5539114799655827	N/A	N/A	Tolcap_D4_B5.mzXML|Tolcap_D14_B5.mzXML|BG-1X-P1-B5.mzXML|Tolcap_D16_B5.mzXML|Tolcap_D15_B5.mzXML	5	7	4	20	261.121	1	261.121	2.95105e+07
 	GROUP-1	GROUP-1	G1,G2	1	1	4	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3b29817e2b9c4c4f9c39656cd261def4&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=4&task=3b29817e2b9c4c4f9c39656cd261def4&show=true	N/A	N/A	N/A	N/A	133.9062	4.027928122496727	N/A	N/A	Tolcap_D4_B5.mzXML|BG-1X-P1-B5.mzXML|Tolcap_D16_B5.mzXML|Tolcap_D15_B5.mzXML	4	8	4	5	261.121	1	261.121	2.00132e+06
 	 	 	G2	0	0	2	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3b29817e2b9c4c4f9c39656cd261def4&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=3b29817e2b9c4c4f9c39656cd261def4&show=true	N/A	N/A	N/A	N/A	644.4269999999999	0.5600000000000023	N/A	N/A	Tolcap_D16_B5.mzXML	1	9	3	2	269.246	1	269.246	592214
 	 	 	G2	1	0	2	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3b29817e2b9c4c4f9c39656cd261def4&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=3b29817e2b9c4c4f9c39656cd261def4&show=true	N/A	N/A	N/A	N/A	608.8015	0.39550000000002683	N/A	N/A	Tolcap_D4_B5.mzXML	1	11	3	2	280.262	1	280.262	642500
 	 	 	G2	1	0	5	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3b29817e2b9c4c4f9c39656cd261def4&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=3b29817e2b9c4c4f9c39656cd261def4&show=true	N/A	N/A	N/A	N/A	663.9624	0.770593693200247	N/A	N/A	Tolcap_D4_B5.mzXML|Tolcap_D15_B5.mzXML	2	12	3	5	282.278	1	282.278	4.42721e+06
