#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spectwo-00000.mzXML	189	-1	197.128	1	104.948	387555
1	inputspectra/spectwo-00001.mzXML	193	-1	197.128	1	106.321	519089
1	inputspectra/spectwo-00003.mzXML	194	-1	197.128	1	108.28	2.49314e+06
2	inputspectra/spec-00000.mzXML	267	-1	211.138	1	147.783	806365
2	inputspectra/spectwo-00000.mzXML	281	-1	211.144	0	156.493	2.8213e+06
2	inputspectra/spectwo-00000.mzXML	283	-1	211.144	1	157.614	697182
2	inputspectra/spectwo-00001.mzXML	268	-1	211.144	1	148.571	1.0462e+06
2	inputspectra/spectwo-00001.mzXML	284	-1	211.144	1	157.536	1.36895e+06
2	inputspectra/spectwo-00001.mzXML	286	-1	211.144	1	158.656	322328
2	inputspectra/spectwo-00002.mzXML	265	-1	211.144	1	147.561	799694
2	inputspectra/spectwo-00002.mzXML	267	-1	211.144	1	148.681	648589
2	inputspectra/spectwo-00003.mzXML	266	-1	211.144	1	148.618	656672
3	inputspectra/spectwo-00001.mzXML	226	-1	229.1	1	125.038	3.45442e+06
4	inputspectra/spec-00000.mzXML	296	-1	245.12	1	164.257	928799
4	inputspectra/spec-00000.mzXML	315	-1	245.12	1	174.679	1.97833e+06
4	inputspectra/spec-00000.mzXML	316	-1	245.124	0	175.467	5.35617e+06
4	inputspectra/spec-00000.mzXML	318	-1	245.128	0	176.588	5.62561e+06
4	inputspectra/spec-00000.mzXML	320	-1	245.124	0	177.708	2.09832e+06
4	inputspectra/spectwo-00000.mzXML	293	-1	245.128	1	163.217	1.07413e+06
4	inputspectra/spectwo-00000.mzXML	295	-1	245.128	1	164.338	959479
4	inputspectra/spectwo-00000.mzXML	313	-1	245.128	1	174.423	1.8664e+06
4	inputspectra/spectwo-00000.mzXML	315	-1	245.128	1	175.543	6.00759e+06
4	inputspectra/spectwo-00000.mzXML	317	-1	245.128	0	176.664	5.61533e+06
4	inputspectra/spectwo-00000.mzXML	319	-1	245.128	1	177.784	1.81068e+06
4	inputspectra/spectwo-00001.mzXML	296	-1	245.128	1	164.259	1.80346e+06
4	inputspectra/spectwo-00001.mzXML	298	-1	245.128	1	165.38	512937
4	inputspectra/spectwo-00001.mzXML	314	-1	245.128	1	174.344	2.22164e+06
4	inputspectra/spectwo-00001.mzXML	316	-1	245.128	0	175.465	8.20431e+06
4	inputspectra/spectwo-00001.mzXML	318	-1	245.128	0	176.586	7.75757e+06
4	inputspectra/spectwo-00001.mzXML	320	-1	245.128	1	177.706	3.00749e+06
4	inputspectra/spectwo-00001.mzXML	322	-1	245.128	1	178.826	575290
4	inputspectra/spectwo-00002.mzXML	293	-1	245.128	1	163.249	1.35599e+06
4	inputspectra/spectwo-00002.mzXML	295	-1	245.128	1	164.37	1.10979e+06
4	inputspectra/spectwo-00002.mzXML	313	-1	245.128	1	174.455	2.41243e+06
4	inputspectra/spectwo-00002.mzXML	315	-1	245.128	0	175.575	7.23084e+06
4	inputspectra/spectwo-00002.mzXML	317	-1	245.128	0	176.696	5.92114e+06
4	inputspectra/spectwo-00002.mzXML	319	-1	245.128	1	177.817	1.7779e+06
4	inputspectra/spectwo-00003.mzXML	292	-1	245.128	1	163.187	1.34256e+06
4	inputspectra/spectwo-00003.mzXML	294	-1	245.128	1	164.307	1.11659e+06
4	inputspectra/spectwo-00003.mzXML	312	-1	245.128	1	174.391	2.27584e+06
4	inputspectra/spectwo-00003.mzXML	314	-1	245.128	0	175.512	7.38964e+06
4	inputspectra/spectwo-00003.mzXML	316	-1	245.128	0	176.633	6.34002e+06
4	inputspectra/spectwo-00003.mzXML	318	-1	245.128	1	177.753	1.91033e+06
5	inputspectra/spectwo-00001.mzXML	317	-1	246.131	0	175.798	1.37875e+06
5	inputspectra/spectwo-00001.mzXML	319	-1	246.131	0	176.918	1.06254e+06
5	inputspectra/spectwo-00002.mzXML	318	-1	246.131	0	177.028	716333
5	inputspectra/spectwo-00003.mzXML	317	-1	246.131	0	176.965	755148
6	inputspectra/spectwo-00000.mzXML	1131	-1	251.046	1	632.729	1.04164e+06
6	inputspectra/spectwo-00000.mzXML	1133	-1	251.046	1	633.85	3.60364e+06
6	inputspectra/spectwo-00000.mzXML	1135	-1	251.046	0	634.971	7.83162e+06
6	inputspectra/spectwo-00000.mzXML	1137	-1	251.046	0	636.091	7.35876e+06
6	inputspectra/spectwo-00000.mzXML	1139	-1	251.046	1	637.211	2.93759e+06
6	inputspectra/spectwo-00001.mzXML	1134	-1	251.046	1	633.782	1.48047e+06
6	inputspectra/spectwo-00001.mzXML	1136	-1	251.046	1	634.903	3.30333e+06
6	inputspectra/spectwo-00001.mzXML	1138	-1	251.046	1	636.024	3.30996e+06
6	inputspectra/spectwo-00001.mzXML	1140	-1	251.046	1	637.144	1.41346e+06
6	inputspectra/spectwo-00002.mzXML	1133	-1	251.046	1	633.89	904142
6	inputspectra/spectwo-00002.mzXML	1135	-1	251.046	1	635.011	1.97028e+06
6	inputspectra/spectwo-00002.mzXML	1137	-1	251.046	1	636.131	1.90573e+06
6	inputspectra/spectwo-00002.mzXML	1139	-1	251.046	1	637.252	699660
7	inputspectra/spec-00000.mzXML	193	-1	261.115	1	106.323	1.91353e+06
7	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.111	2.32516e+06
7	inputspectra/spec-00000.mzXML	197	-1	261.115	1	108.564	797131
7	inputspectra/spectwo-00000.mzXML	183	-1	261.122	1	101.587	357499
7	inputspectra/spectwo-00000.mzXML	191	-1	261.122	1	106.068	1.95332e+06
7	inputspectra/spectwo-00000.mzXML	193	-1	261.122	1	107.189	2.12962e+06
7	inputspectra/spectwo-00000.mzXML	196	-1	261.122	1	108.642	630966
7	inputspectra/spectwo-00001.mzXML	184	-1	261.122	1	101.506	556415
7	inputspectra/spectwo-00001.mzXML	192	-1	261.122	1	105.989	2.57575e+06
7	inputspectra/spectwo-00001.mzXML	194	-1	261.122	1	107.109	3.24012e+06
7	inputspectra/spectwo-00001.mzXML	197	-1	261.122	1	108.563	988825
7	inputspectra/spectwo-00002.mzXML	183	-1	261.122	1	101.619	428682
7	inputspectra/spectwo-00002.mzXML	191	-1	261.122	1	106.101	2.35468e+06
7	inputspectra/spectwo-00002.mzXML	193	-1	261.122	1	107.222	2.42608e+06
7	inputspectra/spectwo-00002.mzXML	196	-1	261.122	1	108.675	652982
7	inputspectra/spectwo-00003.mzXML	182	-1	261.122	1	101.556	428499
7	inputspectra/spectwo-00003.mzXML	184	-1	261.122	1	102.677	332742
7	inputspectra/spectwo-00003.mzXML	190	-1	261.122	1	106.039	2.27381e+06
7	inputspectra/spectwo-00003.mzXML	192	-1	261.122	1	107.159	2.46541e+06
7	inputspectra/spectwo-00003.mzXML	195	-1	261.122	1	108.612	679296
8	inputspectra/spec-00000.mzXML	239	-1	261.115	1	132.096	357416
8	inputspectra/spectwo-00000.mzXML	237	-1	261.122	1	131.84	247113
8	inputspectra/spectwo-00001.mzXML	238	-1	261.122	1	131.762	443935
8	inputspectra/spectwo-00002.mzXML	237	-1	261.122	1	131.874	297374
8	inputspectra/spectwo-00002.mzXML	255	-1	261.122	1	141.959	655479
9	inputspectra/spectwo-00001.mzXML	1152	-1	269.246	1	643.867	271854
9	inputspectra/spectwo-00001.mzXML	1154	-1	269.246	1	644.987	320360
10	inputspectra/spectwo-00001.mzXML	690	-1	277.132	1	385.009	503635
11	inputspectra/spectwo-00000.mzXML	1088	-1	280.262	1	608.406	355219
11	inputspectra/spectwo-00000.mzXML	1089	-1	280.262	1	609.197	287281
12	inputspectra/spectwo-00000.mzXML	1185	-1	282.278	1	662.982	1.10171e+06
12	inputspectra/spectwo-00000.mzXML	1187	-1	282.278	1	664.103	1.28395e+06
12	inputspectra/spectwo-00000.mzXML	1189	-1	282.278	1	665.223	702602
12	inputspectra/spectwo-00002.mzXML	1186	-1	282.278	1	663.358	649340
12	inputspectra/spectwo-00002.mzXML	1187	-1	282.278	1	664.146	689608
13	inputspectra/spectwo-00001.mzXML	901	-1	286.236	1	503.005	210274
14	inputspectra/spectwo-00000.mzXML	896	-1	327.077	1	500.829	787420
