ATTRIBUTE_SAMPLE	ATTRIBUTE_STANDARD	AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	GNPSGROUP:GROUP-1	GNPSGROUP:GROUP-2	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	MZErrorPPM	MassDiff	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	GROUP-1	GROUP-1	G1,G2	0	2	4	0	0	0	0	2	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=744412d05e4c4219856630e446b42341&view=cluster_details&protein=1&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=-1&task=744412d05e4c4219856630e446b42341&show=true	N/A	N/A	N/A	N/A	151.14483333333334	3.820573622580194	N/A	N/A	Vorin_D5_G9.mzXML|BG-1X-P1-G9.mzXML|Vorin_D9_G9.mzXML	3	1	-1	6	211.142	1	211.142	8.7929e+06
 	GROUP-1	GROUP-1	G1,G2	0	6	13	0	0	0	0	6	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=744412d05e4c4219856630e446b42341&view=cluster_details&protein=4&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=744412d05e4c4219856630e446b42341&show=true	N/A	N/A	N/A	N/A	172.40484210526316	5.93340216830603	N/A	N/A	Vorin_D5_G9.mzXML|BG-1X-P1-G9.mzXML|Vorin_D9_G9.mzXML	3	4	2	19	245.127	1	245.127	6.27127e+07
 	 	 	G2	1	0	4	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=744412d05e4c4219856630e446b42341&view=cluster_details&protein=5&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=744412d05e4c4219856630e446b42341&show=true	N/A	N/A	N/A	N/A	176.40800000000002	0.5605644476775219	N/A	N/A	Vorin_D5_G9.mzXML|Vorin_D9_G9.mzXML	2	5	2	4	246.131	1	246.131	3.96368e+06
 	 	 	G2	0	0	10	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=744412d05e4c4219856630e446b42341&view=cluster_details&protein=6&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=744412d05e4c4219856630e446b42341&show=true	N/A	N/A	N/A	N/A	220.401	1.6815557082654142	N/A	N/A	Vorin_D5_G9.mzXML|Vorin_D9_G9.mzXML	2	6	2	10	249.16	1	249.16	2.70584e+07
 	 	 	G2	1	0	2	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=744412d05e4c4219856630e446b42341&view=cluster_details&protein=7&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=744412d05e4c4219856630e446b42341&show=true	N/A	N/A	N/A	N/A	275.789	0.5600000000000023	N/A	N/A	Vorin_D5_G9.mzXML	1	7	2	2	250.143	1	250.143	1.16381e+06
 	 	 	G2	1	0	10	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=744412d05e4c4219856630e446b42341&view=cluster_details&protein=8&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=744412d05e4c4219856630e446b42341&show=true	N/A	N/A	N/A	N/A	635.4832	1.6809961808404157	N/A	N/A	Vorin_D5_G9.mzXML|Vorin_D9_G9.mzXML	2	8	5	10	251.046	1	251.046	2.03464e+07
 	GROUP-1	GROUP-1	G1,G2	1	4	7	0	0	0	0	4	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=744412d05e4c4219856630e446b42341&view=cluster_details&protein=9&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=744412d05e4c4219856630e446b42341&show=true	N/A	N/A	N/A	N/A	106.3130909090909	2.3068783888246998	N/A	N/A	Vorin_D5_G9.mzXML|BG-1X-P1-G9.mzXML|Vorin_D9_G9.mzXML	3	9	2	11	261.119	1	261.119	1.878e+07
 	GROUP-1	GROUP-1	G1,G2	1	1	3	0	0	0	0	1	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=744412d05e4c4219856630e446b42341&view=cluster_details&protein=10&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=744412d05e4c4219856630e446b42341&show=true	N/A	N/A	N/A	N/A	134.7335	4.15217126934812	N/A	N/A	Vorin_D5_G9.mzXML|BG-1X-P1-G9.mzXML|Vorin_D9_G9.mzXML	3	10	2	4	261.121	1	261.121	1.6467e+06
 	GROUP-1	GROUP-1	G1,G2	0	3	10	0	0	0	0	3	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=744412d05e4c4219856630e446b42341&view=cluster_details&protein=11&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=2&task=744412d05e4c4219856630e446b42341&show=true	N/A	N/A	N/A	N/A	207.72338461538462	2.6254275999997114	N/A	N/A	Vorin_D5_G9.mzXML|BG-1X-P1-G9.mzXML|Vorin_D9_G9.mzXML	3	11	2	13	265.149	1	265.149	6.79704e+06
 	 	 	G2	1	0	4	0	0	0	0	0	0	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=744412d05e4c4219856630e446b42341&view=cluster_details&protein=12&show=true	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=744412d05e4c4219856630e446b42341&show=true	N/A	N/A	N/A	N/A	502.69825000000003	0.7927661619292355	N/A	N/A	Vorin_D5_G9.mzXML|Vorin_D9_G9.mzXML	2	12	5	4	327.077	1	327.077	4.02485e+06
