#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spec-00000.mzXML	267	-1	211.138	1	147.96	822942
1	inputspectra/spec-00000.mzXML	268	-1	211.138	1	148.748	752189
1	inputspectra/spectwo-00000.mzXML	264	-1	211.144	1	148.615	707852
1	inputspectra/spectwo-00000.mzXML	276	-1	211.144	0	155.338	4.62732e+06
1	inputspectra/spectwo-00000.mzXML	280	-1	211.144	1	157.578	985170
1	inputspectra/spectwo-00001.mzXML	262	-1	211.144	1	148.63	897421
2	inputspectra/spectwo-00000.mzXML	86	-1	218.066	1	48.892	421703
3	inputspectra/spectwo-00000.mzXML	224	-1	229.1	1	126.205	4.19243e+06
4	inputspectra/spec-00000.mzXML	295	-1	245.12	1	163.645	1.1695e+06
4	inputspectra/spec-00000.mzXML	296	-1	245.12	1	164.433	1.04484e+06
4	inputspectra/spec-00000.mzXML	315	-1	245.12	1	174.851	2.44901e+06
4	inputspectra/spec-00000.mzXML	316	-1	245.124	0	175.639	5.92948e+06
4	inputspectra/spec-00000.mzXML	318	-1	245.127	0	176.759	5.34016e+06
4	inputspectra/spec-00000.mzXML	320	-1	245.124	0	177.879	2.09564e+06
4	inputspectra/spectwo-00000.mzXML	290	-1	245.128	1	163.181	1.26492e+06
4	inputspectra/spectwo-00000.mzXML	292	-1	245.128	1	164.302	1.12138e+06
4	inputspectra/spectwo-00000.mzXML	310	-1	245.128	1	174.386	2.39187e+06
4	inputspectra/spectwo-00000.mzXML	312	-1	245.128	0	175.507	7.61017e+06
4	inputspectra/spectwo-00000.mzXML	314	-1	245.128	0	176.627	6.14838e+06
4	inputspectra/spectwo-00000.mzXML	316	-1	245.128	1	177.747	2.00749e+06
4	inputspectra/spectwo-00001.mzXML	288	-1	245.129	1	163.197	1.67267e+06
4	inputspectra/spectwo-00001.mzXML	290	-1	245.129	1	164.318	1.5123e+06
4	inputspectra/spectwo-00001.mzXML	308	-1	245.129	1	174.403	2.58123e+06
4	inputspectra/spectwo-00001.mzXML	310	-1	245.129	0	175.524	8.3167e+06
4	inputspectra/spectwo-00001.mzXML	312	-1	245.129	0	176.644	7.16584e+06
4	inputspectra/spectwo-00001.mzXML	314	-1	245.129	1	177.765	2.4619e+06
4	inputspectra/spectwo-00001.mzXML	316	-1	245.129	1	178.885	429229
5	inputspectra/spectwo-00000.mzXML	313	-1	246.131	1	175.839	1.01972e+06
5	inputspectra/spectwo-00000.mzXML	315	-1	246.131	0	176.96	859967
5	inputspectra/spectwo-00001.mzXML	311	-1	246.131	1	175.856	1.14496e+06
5	inputspectra/spectwo-00001.mzXML	313	-1	246.131	0	176.977	939034
6	inputspectra/spectwo-00000.mzXML	388	-1	249.16	1	218.083	2.2489e+06
6	inputspectra/spectwo-00000.mzXML	390	-1	249.16	1	219.203	4.74322e+06
6	inputspectra/spectwo-00000.mzXML	392	-1	249.16	1	220.324	3.71557e+06
6	inputspectra/spectwo-00000.mzXML	394	-1	249.16	1	221.445	1.62651e+06
6	inputspectra/spectwo-00000.mzXML	397	-1	249.16	1	222.898	254091
6	inputspectra/spectwo-00001.mzXML	386	-1	249.16	1	218.104	2.73774e+06
6	inputspectra/spectwo-00001.mzXML	388	-1	249.16	1	219.224	5.26627e+06
6	inputspectra/spectwo-00001.mzXML	390	-1	249.16	1	220.345	4.26084e+06
6	inputspectra/spectwo-00001.mzXML	392	-1	249.16	1	221.465	1.90212e+06
6	inputspectra/spectwo-00001.mzXML	395	-1	249.16	1	222.919	303136
7	inputspectra/spectwo-00000.mzXML	490	-1	250.143	1	275.229	566554
7	inputspectra/spectwo-00000.mzXML	492	-1	250.143	1	276.349	597258
8	inputspectra/spectwo-00000.mzXML	1128	-1	251.046	1	632.67	455706
8	inputspectra/spectwo-00000.mzXML	1130	-1	251.046	1	633.79	1.97011e+06
8	inputspectra/spectwo-00000.mzXML	1132	-1	251.046	1	634.911	4.39926e+06
8	inputspectra/spectwo-00000.mzXML	1134	-1	251.046	1	636.032	4.6146e+06
8	inputspectra/spectwo-00000.mzXML	1136	-1	251.046	1	637.152	2.20354e+06
8	inputspectra/spectwo-00000.mzXML	1138	-1	251.046	1	638.273	446784
8	inputspectra/spectwo-00001.mzXML	1128	-1	251.046	1	633.82	882320
8	inputspectra/spectwo-00001.mzXML	1130	-1	251.046	1	634.941	2.11576e+06
8	inputspectra/spectwo-00001.mzXML	1132	-1	251.046	1	636.061	2.29763e+06
8	inputspectra/spectwo-00001.mzXML	1134	-1	251.046	1	637.182	960730
9	inputspectra/spec-00000.mzXML	185	-1	261.115	1	102.018	474310
9	inputspectra/spec-00000.mzXML	193	-1	261.115	1	106.5	2.19473e+06
9	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.288	2.32509e+06
9	inputspectra/spec-00000.mzXML	196	-1	261.115	1	108.412	1.12976e+06
9	inputspectra/spectwo-00000.mzXML	188	-1	261.123	1	106.035	2.23537e+06
9	inputspectra/spectwo-00000.mzXML	190	-1	261.123	1	107.156	2.58866e+06
9	inputspectra/spectwo-00000.mzXML	193	-1	261.123	1	108.609	707235
9	inputspectra/spectwo-00001.mzXML	178	-1	261.123	1	101.572	563912
9	inputspectra/spectwo-00001.mzXML	186	-1	261.123	1	106.053	2.61101e+06
9	inputspectra/spectwo-00001.mzXML	188	-1	261.123	1	107.174	3.05862e+06
9	inputspectra/spectwo-00001.mzXML	191	-1	261.123	1	108.627	891284
10	inputspectra/spec-00000.mzXML	239	-1	261.115	1	132.273	362006
10	inputspectra/spectwo-00000.mzXML	252	-1	261.123	1	141.892	634413
10	inputspectra/spectwo-00001.mzXML	232	-1	261.123	1	131.824	442154
10	inputspectra/spectwo-00001.mzXML	234	-1	261.123	1	132.945	208130
11	inputspectra/spec-00000.mzXML	366	-1	265.146	1	203.65	1.5408e+06
11	inputspectra/spec-00000.mzXML	368	-1	265.146	1	204.77	1.30026e+06
11	inputspectra/spec-00000.mzXML	370	-1	265.146	1	205.89	585489
11	inputspectra/spectwo-00000.mzXML	371	-1	265.153	1	208.332	192852
11	inputspectra/spectwo-00000.mzXML	372	-1	265.153	1	209.119	183770
11	inputspectra/spectwo-00001.mzXML	362	-1	265.153	1	204.658	399900
11	inputspectra/spectwo-00001.mzXML	364	-1	265.153	1	205.779	487120
11	inputspectra/spectwo-00001.mzXML	366	-1	265.153	1	206.9	468230
11	inputspectra/spectwo-00001.mzXML	368	-1	265.153	1	208.02	555272
11	inputspectra/spectwo-00001.mzXML	370	-1	265.153	1	209.141	317928
11	inputspectra/spectwo-00001.mzXML	372	-1	265.153	1	210.261	335214
11	inputspectra/spectwo-00001.mzXML	374	-1	265.153	1	211.382	266524
11	inputspectra/spectwo-00001.mzXML	376	-1	265.153	1	212.502	163681
12	inputspectra/spectwo-00000.mzXML	894	-1	327.077	1	501.57	874451
12	inputspectra/spectwo-00000.mzXML	896	-1	327.077	1	502.691	1.39569e+06
12	inputspectra/spectwo-00000.mzXML	898	-1	327.077	1	503.812	854129
12	inputspectra/spectwo-00001.mzXML	894	-1	327.077	1	502.72	900579
13	inputspectra/spec-00000.mzXML	1427	-1	338.33	1	797.826	592232
13	inputspectra/spec-00000.mzXML	1429	-1	338.33	1	798.947	1.05421e+06
13	inputspectra/spec-00000.mzXML	1430	-1	338.33	1	799.734	1.05089e+06
13	inputspectra/spec-00000.mzXML	1433	-1	338.33	1	801.187	478397
13	inputspectra/spectwo-00000.mzXML	1422	-1	338.341	1	797.386	1.13817e+06
13	inputspectra/spectwo-00000.mzXML	1424	-1	338.341	1	798.507	2.16261e+06
13	inputspectra/spectwo-00000.mzXML	1426	-1	338.341	1	799.627	2.78911e+06
13	inputspectra/spectwo-00000.mzXML	1428	-1	338.341	1	800.748	2.21683e+06
13	inputspectra/spectwo-00000.mzXML	1430	-1	338.341	1	801.868	1.04366e+06
13	inputspectra/spectwo-00000.mzXML	1432	-1	338.341	1	802.989	292735
13	inputspectra/spectwo-00001.mzXML	1422	-1	338.341	1	798.535	825413
13	inputspectra/spectwo-00001.mzXML	1424	-1	338.341	1	799.655	984979
13	inputspectra/spectwo-00001.mzXML	1426	-1	338.341	1	800.775	870454
13	inputspectra/spectwo-00001.mzXML	1428	-1	338.341	1	801.896	380111
14	inputspectra/spec-00000.mzXML	562	-1	350.111	1	313.455	2.02897e+06
14	inputspectra/spec-00000.mzXML	564	-1	350.111	1	314.576	9.35864e+06
14	inputspectra/spec-00000.mzXML	566	-1	350.118	0	315.696	1.17473e+07
14	inputspectra/spec-00000.mzXML	568	-1	350.111	1	316.817	4.36179e+06
14	inputspectra/spec-00000.mzXML	570	-1	350.111	1	317.937	1.00952e+06
14	inputspectra/spectwo-00000.mzXML	558	-1	350.122	1	313.324	1.49745e+06
14	inputspectra/spectwo-00000.mzXML	560	-1	350.122	1	314.445	9.36334e+06
14	inputspectra/spectwo-00000.mzXML	562	-1	350.122	0	315.565	1.46844e+07
14	inputspectra/spectwo-00000.mzXML	564	-1	350.122	1	316.685	6.00792e+06
14	inputspectra/spectwo-00000.mzXML	566	-1	350.122	1	317.806	1.31975e+06
14	inputspectra/spectwo-00001.mzXML	556	-1	350.122	1	313.347	1.70759e+06
14	inputspectra/spectwo-00001.mzXML	558	-1	350.122	1	314.468	1.15572e+07
14	inputspectra/spectwo-00001.mzXML	560	-1	350.122	0	315.589	1.93435e+07
14	inputspectra/spectwo-00001.mzXML	562	-1	350.122	1	316.71	8.99821e+06
14	inputspectra/spectwo-00001.mzXML	564	-1	350.122	1	317.83	1.96236e+06
