"Compound Name","Formula","Mass","RT","CAS ID",D1-2X-P2-A1,D1-2X-P2-A10,D1-2X-P2-A11,D1-2X-P2-A2,D1-2X-P2-A3,D1-2X-P2-A5,D1-2X-P2-A6,D1-2X-P2-A7,D1-2X-P2-A9,D1-2X-P2-B1,D1-2X-P2-B10,D1-2X-P2-B11,D1-2X-P2-B2,D1-2X-P2-B3,D1-2X-P2-B5,D1-2X-P2--B6,D1-2X-P2-B7,D1-2X-P2-B9,D1-2X-P2-C1,D1-2X-P2-C10,D1-2X-P2-C11,D1-2X-P2-C2,D1-2X-P2-C3,D1-2X-P2-C5,D1-2X-P2-C6,D1-2X-P2-C7,D1-2X-P2-C9,D1-2X-P2-D1,D1-2X-P2-D10,D1-2X-P2--D11,D1-2X-P2-D2,D1-2X-P2-D3,D1-2X-P2-D5,D1-2X-P2-D6,D1-2X-P2-D7,D1-2X-P2-D9,D1-2X-P2-E1,D1-2X-P2-E10,D1-2X-P2-E11,D1-2X-P2-E2,D1-2X-P2-E3,D1-2X-P2-E5,D1-2X-P2-E6,D1-2X-P2-E7,D1-2X-P2-E9,D1-2X-P2-F1,D1-2X-P2-F10,D1-2X-P2-F11,D1-2X-P2-F12,D1-2X-P2-F2,D1-2X-P2-F3,D1-2X-P2-F5,D1-2X-P2-F6,D1-2X-P2-F7,D1-2X-P2-F9,D1-2X-P2-G1,D1-2X-P2-G10,D1-2X-P2-G11,D1-2X-P2-G12,D1-2X-P2-G2,D1-2X-P2-G3,D1-2X-P2-G5,D1-2X-P2-G6,D1-2X-P2-G7,D1-2X-P2-G9,D1-2X-P2-H1,D1-2X-P2-H10,D1-2X-P2-H11,D1-2X-P2-H12,D1-2X-P2-H2,D1-2X-P2-H3,D1-2X-P2-H5,D1-2X-P2-H6,D1-2X-P2-H7,D1-2X-P2-H8,D1-2X-P2-H9,BG-2X-P2-A1,BG-2X-P2-A10,BG-2X-P2-A11,BG-2X-P2-A2,BG-2X-P2-A3,BG-2X-P2-A5,BG-2X-P2-A6,BG-2X-P2-A7,BG-2X-P2-A9,BG-2X-P2-B1,BG-2X-P2-B10,BG-2X-P2-B11,BG-2X-P2-B2,BG-2X-P2-B3,BG-2X-P2-B5,BG-2X-P2--B6,BG-2X-P2-B7,BG-2X-P2-B9,BG-2X-P2-C1,BG-2X-P2-C10,BG-2X-P2-C11,BG-2X-P2-C2,BG-2X-P2-C3,BG-2X-P2-C5,BG-2X-P2-C6,BG-2X-P2-C7,BG-2X-P2-C9,BG-2X-P2-D1,BG-2X-P2-D10,BG-2X-P2--D11,BG-2X-P2-D2,BG-2X-P2-D3,BG-2X-P2-D5,BG-2X-P2-D6,BG-2X-P2-D7,BG-2X-P2-D9,BG-2X-P2-E1,BG-2X-P2-E10,BG-2X-P2-E11,BG-2X-P2-E2,BG-2X-P2-E3,BG-2X-P2-E5,BG-2X-P2-E6,BG-2X-P2-E7,BG-2X-P2-E9,BG-2X-P2-F1,BG-2X-P2-F10,BG-2X-P2-F11,BG-2X-P2-F2,BG-2X-P2-F3,BG-2X-P2-F5,BG-2X-P2-F6,BG-2X-P2-F7,BG-2X-P2-F9,BG-2X-P2-G1,BG-2X-P2-G10,BG-2X-P2-G11,BG-2X-P2-G2,BG-2X-P2-G3,BG-2X-P2-G5,BG-2X-P2-G6,BG-2X-P2-G7,BG-2X-P2-G9,BG-2X-P2-H1,BG-2X-P2-H10,BG-2X-P2-H11,BG-2X-P2-H2,BG-2X-P2-H3,BG-2X-P2-H5,BG-2X-P2-H6,BG-2X-P2-H7,BG-2X-P2-H9,HK-2X-P1-A1,HK-2X-P1-A10,HK-2X-P1-A11,HK-2X-P1-A2,HK-2X-P1-A3,HK-2X-P1-A5,HK-2X-P1-A6,HK-2X-P1-A7,HK-2X-P1-A9,HK-2X-P1-B1,HK-2X-P1-B10,HK-2X-P1-B11,HK-2X-P1-B2,HK-2X-P1-B3,HK-2X-P1-B5,HK-2X-P1-B6,HK-2X-P1-B7,HK-2X-P1-B9,HK-2X-P1-C1,HK-2X-P1-C10,HK-2X-P1-C11,HK-2X-P1-C2,HK-2X-P1-C3,HK-2X-P1-C5,HK-2X-P1-C6,HK-2X-P1-C7,HK-2X-P1-C9,HK-2X-P1-D1,HK-2X-P1-D10,HK-2X-P1-D11,HK-2X-P1-D2,HK-2X-P1-D3,HK-2X-P1-D5,HK-2X-P1-D6,HK-2X-P1-D7,HK-2X-P1-D9,HK-2X-P1-E1,HK-2X-P1-E10,HK-2X-P1-E11,HK-2X-P1-E2,HK-2X-P1-E3,HK-2X-P1-E5,HK-2X-P1-E6,HK-2X-P1-E7,HK-2X-P1-E9,HK-2X-P1-F1,HK-2X-P1-F10,HK-2X-P1-F11,HK-2X-P1-F2,HK-2X-P1-F3,HK-2X-P1-F5,HK-2X-P1-F6,HK-2X-P1-F7,HK-2X-P1-F9,HK-2X-P1-G1,HK-2X-P1-G10,HK-2X-P1-G11,HK-2X-P1-G2,HK-2X-P1-G3,HK-2X-P1-G5,HK-2X-P1-G6,HK-2X-P1-G7,HK-2X-P1-G9,HK-2X-P1-H1,HK-2X-P1-H10,HK-2X-P1-H11,HK-2X-P1-H2,HK-2X-P1-H3,HK-2X-P1-H5,HK-2X-P1-H6,HK-2X-P1-H7,HK-2X-P1-H9
,,472.1228,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7976359.27856613,,,,9219117.61328956,9823672.34783493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12475431.4843809,,,13366885.7835626,14753268.4672283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21055.3378403321,,,28011.4651345824,17959.2342668151,,,,,422692.507728258,,,735711.500076703,709844.207304386,60647.3028295898,,,,2257918.07299805,,,2273160.08175293,1659046.90973046,100246.799391723,,,,43793.4563927612,,,61837.5143748016,87818.2287703858,,,,
,,413.2124,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12726127.4091052,,12925701.0307155,,,,,,12478778.8863177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489084.086221983,573102.942006912,,,,,,514737.813165833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102092.219264709,101421.289395187,,,,,,98551.8937575684,,,,,,,,,,,,,,,,,,
,,410.2115,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13012.3534385376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20290.8182724914,,,,,,,,9711429.07612162,10599554.2060346,,,,,,9672266.33644754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75779.7908844909,85865.8185557862,,,,,,33905.13192202,,795699.214186936,1171614.33524227,,,,,,465234.974521668,,5734331.73626684,1356674.09652618,,,,,,1281035.25503938,,44906.0767507935,49831.2722798461,,,,,,65216.9126532593,,,,,,,,,
,,479.2066,4.81,,,,,,,,,,,10391.6823444672,,,8535.78415582278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12334039.6448874,,,11726659.7993734,11560545.1941452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416866.309023404,,,955547.788851867,1038142.75284448,149055.642655151,,,,777752.762043451,,,416938.778235998,1176045.20958765,335074.702401872,,,,21134.4966315307,,,52818.5392495119,26679.9443035506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,449.2313,2.78,,,,,,,,,,,11278268.176316,,,11875195.0015909,11976779.0251577,53082.5785640843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32466.5341817017,,,23029.0524783325,19957.9673440933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27912.930867096,,,30956.4609988861,30670.239164856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,404.2569,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5808518.68468351,6303152.09374687,6089764.44589557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6864253.68269345,6835544.12768403,6658885.07517331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7704.46615158846,8570.87860108371,8375.19246749685,,,,,,,54946.8640276138,81215.902975927,80611.4370756461,,,8357.46069515325,,,9488.42706300071,669306.777389353,739772.614246464,930883.762497271,209732.436483951,,,,,17255.5362588442,835122.385335198,1115680.11345214,1211489.41951864,208049.125908695,,,,,,29755.4594646098,73043.6906614914,141296.862757543,17662.3977534751,,,,,,,,,,,,,,,,,,
,,530.1483,4.59,,,7083758.88702799,6927095.75448637,,,,,,7068686.08138921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7648327.2867675,7732312.99350233,,,,,,7751679.79077095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499985.78112497,875837.184820072,,,,,19780.437058281,1307234.2351867,,107423.156796707,133787.63393396,,,,,,48199.2282389374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,312.1832,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4692432.33825753,5436067.94984625,5151468.21659077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3573038.73809575,3816814.53298476,3775932.42873627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14150.0425585937,20814.2190856322,19707.931162918,,,,,,,196240.170807464,261258.637107345,212032.789379029,37329.2957336731,,,,,,2651094.43745905,2714443.06008802,1471137.92600561,60346.4477070008,,,,,,11102.6712499695,45983.0833662108,21373.3915527649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,609.1776,13.14,,94191.4686299404,1181904.87469386,1678797.27269922,1405302.66263373,2758647.41991669,2411178.40960208,2415349.88946195,939290.412857171,635057.013664266,1382278.53899864,1485091.6909606,1348216.87347272,1134165.89323139,1039043.7071591,1041780.01791068,1306381.33016056,1225388.48503477,1049188.90912087,617315.527300313,1369675.89315175,744640.175479059,737878.281204731,602708.00048025,751411.676332034,1188811.23895018,1535620.44089077,981004.89948501,630948.919542753,1485906.56110141,1362743.43007134,411472.387307684,329526.632346737,528191.812788925,910165.267694579,1393773.97455284,822086.939499676,589460.88483434,1499504.53920526,1120909.08851207,398693.832047413,438982.148691072,699889.253666089,981241.021508571,1385568.36666966,940514.299143358,543391.902522736,1118457.1199353,743667.044597708,1256687.29411455,386327.968017891,349950.881511627,522124.311542339,810233.994576856,1020802.34181975,878934.357551671,585133.886234869,533322.356396285,1042329.50521996,65666.0394799348,460213.988991951,438034.195973572,605577.727507068,804305.628871175,70168.1103006135,399678.92696637,781656.288343013,70974.4088834685,65789.4658447876,278405.8233526,248515.480113968,599966.074893338,952922.658057216,210030.126846645,889378.924149965,69792.3278338318,955992.724625146,,2953083.10302982,5271909.59487016,,,,,1713533.38210435,1942434.10905764,2885049.83276713,1751567.1216065,3693555.50547799,4588038.68646208,4209491.73926055,4023161.65899268,2861287.70871776,4092940.73657502,2660552.48152117,3685095.02369095,2276655.42653858,3609573.63978992,3583132.25998693,3419010.64589984,3523803.62059485,2970678.74120903,4277375.69727139,2730152.27648848,2552987.2422219,2610193.4941209,3218619.48016927,2713828.547841,2833539.40596726,2939919.6528909,3888366.32107181,3235852.75447551,2059300.49211094,2674167.24753361,3582615.2700396,2461244.70721364,2381983.82092189,1823801.30189268,2341519.86895434,2802260.74058966,3068555.67311504,2044538.37859332,1699163.34433502,2900494.06011733,2932314.41959769,1686313.25286262,1529836.76501443,1818925.08481345,2671358.26437767,3115587.62435501,1574804.94221049,1809339.21675895,1427286.29389245,1544636.98654968,1921219.26067716,1781274.49203435,2178914.28053361,2291890.49457393,2219326.86375193,1065210.70453696,2226554.72654399,2215538.02050625,1972696.61144481,1552211.45652245,2149200.12127335,2638022.59286829,83799.6222261672,90059.156418973,1187039.42257817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,414.2056,7.12,,736894.370554603,540144.165691221,580830.414643381,687763.281443276,4262921.49603232,669270.310981438,672395.778924917,717657.515130356,557321.966734271,779485.799772937,496887.059912349,545676.923735427,673893.798893213,1522479.52937524,691335.142721792,680502.282818193,646294.210215347,539512.44034529,642743.300825614,703057.460211696,573636.384399627,659609.885432088,603302.216172432,664982.817492847,702462.687165298,3231153.34385679,586344.402497595,650204.235975143,856702.081874402,683006.183528377,689564.280465724,754762.978147917,639193.258544926,737877.754983952,516265.289499179,617003.899866424,694473.94227975,783409.385763949,656842.836413385,621690.920185798,710793.397349569,567410.35629913,738166.274135299,567451.087950482,761814.55496417,791224.879007046,592866.575896442,302957.865833461,750535.77355121,621460.329844421,557097.779477939,626598.374067542,658161.345670815,613922.520102613,621123.17766848,755977.616718793,640376.019743012,534348.857654519,344063.193412597,564397.915682211,545241.937698583,624175.837752466,637450.867817674,587380.677280828,602335.364963692,711984.630505939,543671.731060189,610066.028228734,233314.128967041,632209.808716234,529271.18675174,710457.939881736,817969.846166286,804105.366567736,695466.052301718,703981.999571252,880469.719462097,687901.535050186,652202.358581413,837713.325581912,5018202.20742149,865972.181209603,774317.831762419,734101.643941296,717127.988204302,901605.019642388,601911.360263652,731505.788452711,753511.485857761,2345144.90161966,738269.520525839,686831.83809007,671147.764236847,555602.912464337,756103.287869063,779534.981569448,686443.295867615,752809.655773536,699742.018195764,734189.286402625,747091.32930027,3549924.98685909,645598.888966098,657045.858298704,955623.467611394,689993.306813115,703366.107127953,856911.373338543,696573.317125322,757355.591707158,583053.38275531,711092.512448645,792462.55025214,801211.870857015,710445.354526025,626028.918827395,758348.324578464,620209.611926757,703124.375579433,615617.297177244,695140.345124835,858883.756728773,621939.79160793,734819.264096817,648340.944280411,650473.719447013,674181.78441607,627725.097605383,651378.683671271,630116.675166241,744347.633175151,580029.719338741,598685.146423954,659783.23349769,585144.439552763,629282.028461764,739733.566264229,677132.645505504,649578.728267439,738881.586868471,580385.58927401,636024.091858914,654403.313948858,566432.57703374,712292.049235789,900573.347663075,862794.399890991,707407.498649211,318136.295060629,246577.109294023,223899.666560287,298499.139501676,604306.758810251,293219.067763196,300951.590371563,292309.9155272,273225.874261778,290060.006339252,232551.604623565,217183.463726403,269753.490639276,419326.449743621,283555.111454531,292327.393766467,303140.589845625,256066.914986455,296729.550921827,285177.731090789,246320.761127407,272393.118948417,235398.296224055,271815.331694556,274387.183514798,748725.556522976,242746.723850252,291740.072275012,274226.239308532,234228.668237887,254354.349938062,287018.35515292,265860.969385927,321190.368627198,271815.512462601,255290.60241355,263145.457170231,260745.878304267,232090.406306779,297067.108975563,340980.547578861,268796.412658485,272777.850340806,271349.684999453,235390.545469295,287024.105297612,205628.116467239,243037.684726327,242703.856694444,190493.798452349,246872.253972419,222248.698240115,229040.021238596,229397.954320092,237048.091324631,194663.030692527,214690.356432751,204902.688208465,184070.758615794,246236.091043594,216708.475455009,238722.005092962,228835.563127803,251745.339431321,205454.731802199,222424.41320807,225343.219971429,164486.493924656,249960.146202541,267247.776719311,267648.869763089,218899.439423153
