"Compound Name","Formula","Mass","RT","CAS ID",HK-2X-P1-A1,HK-2X-P1-A10,HK-2X-P1-A11,HK-2X-P1-A2,HK-2X-P1-A3,HK-2X-P1-A5,HK-2X-P1-A6,HK-2X-P1-A7,HK-2X-P1-A9,HK-2X-P1-B1,HK-2X-P1-B10,HK-2X-P1-B11,HK-2X-P1-B2,HK-2X-P1-B3,HK-2X-P1-B5,HK-2X-P1-B6,HK-2X-P1-B7,HK-2X-P1-B9,HK-2X-P1-C1,HK-2X-P1-C10,HK-2X-P1-C11,HK-2X-P1-C2,HK-2X-P1-C3,HK-2X-P1-C5,HK-2X-P1-C6,HK-2X-P1-C7,HK-2X-P1-C9,HK-2X-P1-D1,HK-2X-P1-D10,HK-2X-P1-D11,HK-2X-P1-D2,HK-2X-P1-D3,HK-2X-P1-D5,HK-2X-P1-D6,HK-2X-P1-D7,HK-2X-P1-D9,HK-2X-P1-E1,HK-2X-P1-E10,HK-2X-P1-E11,HK-2X-P1-E2,HK-2X-P1-E3,HK-2X-P1-E5,HK-2X-P1-E6,HK-2X-P1-E7,HK-2X-P1-E9,HK-2X-P1-F1,HK-2X-P1-F10,HK-2X-P1-F11,HK-2X-P1-F2,HK-2X-P1-F3,HK-2X-P1-F5,HK-2X-P1-F6,HK-2X-P1-F7,HK-2X-P1-F9,HK-2X-P1-G1,HK-2X-P1-G10,HK-2X-P1-G11,HK-2X-P1-G2,HK-2X-P1-G3,HK-2X-P1-G5,HK-2X-P1-G6,HK-2X-P1-G7,HK-2X-P1-G9,HK-2X-P1-H1,HK-2X-P1-H10,HK-2X-P1-H11,HK-2X-P1-H2,HK-2X-P1-H3,HK-2X-P1-H5,HK-2X-P1-H6,HK-2X-P1-H7,HK-2X-P1-H9,BG-2X-P2-A1,BG-2X-P2-A10,BG-2X-P2-A11,BG-2X-P2-A2,BG-2X-P2-A3,BG-2X-P2-A5,BG-2X-P2-A6,BG-2X-P2-A7,BG-2X-P2-A9,BG-2X-P2-B1,BG-2X-P2-B10,BG-2X-P2-B11,BG-2X-P2-B2,BG-2X-P2-B3,BG-2X-P2-B5,BG-2X-P2--B6,BG-2X-P2-B7,BG-2X-P2-B9,BG-2X-P2-C1,BG-2X-P2-C10,BG-2X-P2-C11,BG-2X-P2-C2,BG-2X-P2-C3,BG-2X-P2-C5,BG-2X-P2-C6,BG-2X-P2-C7,BG-2X-P2-C9,BG-2X-P2-D1,BG-2X-P2-D10,BG-2X-P2--D11,BG-2X-P2-D2,BG-2X-P2-D3,BG-2X-P2-D5,BG-2X-P2-D6,BG-2X-P2-D7,BG-2X-P2-D9,BG-2X-P2-E1,BG-2X-P2-E10,BG-2X-P2-E11,BG-2X-P2-E2,BG-2X-P2-E3,BG-2X-P2-E5,BG-2X-P2-E6,BG-2X-P2-E7,BG-2X-P2-E9,BG-2X-P2-F1,BG-2X-P2-F10,BG-2X-P2-F11,BG-2X-P2-F2,BG-2X-P2-F3,BG-2X-P2-F5,BG-2X-P2-F6,BG-2X-P2-F7,BG-2X-P2-F9,BG-2X-P2-G1,BG-2X-P2-G10,BG-2X-P2-G11,BG-2X-P2-G2,BG-2X-P2-G3,BG-2X-P2-G5,BG-2X-P2-G6,BG-2X-P2-G7,BG-2X-P2-G9,BG-2X-P2-H1,BG-2X-P2-H10,BG-2X-P2-H11,BG-2X-P2-H2,BG-2X-P2-H3,BG-2X-P2-H5,BG-2X-P2-H6,BG-2X-P2-H7,BG-2X-P2-H9,D2-2X-P1-A1,D2-2X-P1-A10,D2-2X-P1-A11,D2-2X-P1-A2,D2-2X-P1-A3,D2-2X-P1-A5,D2-2X-P1-A6,D2-2X-P1-A7,D2-2X-P1-A9,D2-2X-P1-B1,D2-2X-P1-B10,D2-2X-P1-B11,D2-2X-P1-B2,D2-2X-P1-B3,D2-2X-P1-B5,D2-2X-P1--B6,D2-2X-P1-B7,D2-2X-P1-B9,D2-2X-P1-C1,D2-2X-P1-C10,D2-2X-P1-C11,D2-2X-P1-C2,D2-2X-P1-C3,D2-2X-P1-C5,D2-2X-P1-C6,D2-2X-P1-C7,D2-2X-P1-C9,D2-2X-P1-D1,D2-2X-P1-D10,D2-2X-P1--D11,D2-2X-P1-D2,D2-2X-P1-D3,D2-2X-P1-D5,D2-2X-P1-D6,D2-2X-P1-D7,D2-2X-P1-D9,D2-2X-P1-E1,D2-2X-P1-E10,D2-2X-P1-E11,D2-2X-P1-E2,D2-2X-P1-E3,D2-2X-P1-E5,D2-2X-P1-E6,D2-2X-P1-E7,D2-2X-P1-E9,D2-2X-P1-F1,D2-2X-P1-F10,D2-2X-P1-F11,D2-2X-P1-F2,D2-2X-P1-F3,D2-2X-P1-F5,D2-2X-P1-F6,D2-2X-P1-F7,D2-2X-P1-F9,D2-2X-P1-G1,D2-2X-P1-G10,D2-2X-P1-G11,D2-2X-P1-G2,D2-2X-P1-G3,D2-2X-P1-G5,D2-2X-P1-G6,D2-2X-P1-G7,D2-2X-P1-G9,D2-2X-P1-H1,D2-2X-P1-H10,D2-2X-P1-H11,D2-2X-P1-H2,D2-2X-P1-H3,D2-2X-P1-H5,D2-2X-P1-H6,D2-2X-P1-H7,D2-2X-P1-H9
,,413.2123,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107035.079166168,101811.213518478,,,,,,104912.429897202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493302.559216124,577652.849983474,,,,,,517668.277075989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12795495.9687122,13905138.7997166,,,,,,12827568.1518526,,,,,,,,,,,,,,,,,,
,,472.1231,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21055.3378403321,,,28011.4651345824,17959.2342668151,,,,,422692.507728258,,,735711.500076703,709844.207304386,60647.3028295898,,,,2257918.07299805,,,2273160.08175293,1659046.90973046,100246.799391723,,,,43793.4563927612,,,61837.5143748016,87818.2287703858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12474736.1790884,,,13366415.9668643,14753268.4672283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2969343.13639326,,,4623504.62799876,5035785.93169337,,,,,,,,,,,,,
,,449.2316,2.78,,,,,,,,,,,20548.2413760071,,,23574.5268779144,23592.5879205933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24131.8550328369,,,18059.8019943237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11075808.0427021,,,10963234.2853196,10772851.8119457,48318.9893162152,29538.7981024475,,,159218.352437866,,,55770.8767988129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,410.2112,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75779.7908844909,85865.8185557862,,,,,,33905.13192202,,795699.214186936,1171614.33524227,,,,,,465234.974521668,,5734331.73626684,1356674.09652618,,,,,,1281035.25503938,,44906.0767507935,49831.2722798461,,,,,,65216.9126532593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20290.8182724914,,,,,,,,9711429.07612162,10599554.2060346,,,,,,9672266.33644754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67401.7234454039,87427.7432457887,,,,,,51386.5413866271,,,,,,,,,,,,,,,,,,
,,479.2065,4.81,,416866.309023404,,,955547.788851867,1038142.75284448,149055.642655151,,,,777752.762043451,,,416938.778235998,1176045.20958765,335074.702401872,,,,21134.4966315307,,,52818.5392495119,26679.9443035506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12334039.6448874,,,11726659.7993734,11560545.1941452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195568.573787476,,,104850.171606598,45769.9182837067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,530.1483,4.60,,,1499985.78112497,2190947.95752979,,,,,19780.437058281,1307234.2351867,,107423.156796707,133787.63393396,,,,,,48199.2282389374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7645543.72003952,7732312.99350233,,,,,,7751679.79077095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8390559.8870911,8462560.22300536,,,,,,8209551.55417715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,404.2565,8.60,,,,,,,,,,,,,,,,7704.46615158846,8570.87860108371,8375.19246749685,,,,,,,54946.8640276138,81215.902975927,80611.4370756461,,,8357.46069515325,,,9488.42706300071,669306.777389353,739772.614246464,930883.762497271,209732.436483951,,,,,17255.5362588442,835122.385335198,1115680.11345214,671561.150689158,208049.125908695,,,,,,29755.4594646098,73043.6906614914,141296.862757543,17662.3977534751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6864253.68269345,6835544.12768403,6658885.07517331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6174849.80243327,6163226.61278142,6151850.64604827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,609.1769,13.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2946367.77862338,5268687.53377264,,,,,1713533.38210435,1942434.10905764,2889212.07201724,1751567.1216065,3693555.50547799,2812598.285264,4209491.73926055,4023327.87498174,2861066.28413104,4092940.73657502,2660384.24302811,3686487.33047852,4706554.30125393,3609124.61744759,3583132.25998693,3412699.95433014,3525627.50695311,2970678.74120903,4277375.69727139,2730152.27648848,2552987.2422219,2610035.98509454,3218619.48016927,2713828.547841,2833539.40596726,2939957.93959697,3889125.37149029,3235852.75447551,2058329.37516228,2691701.85480497,3582615.2700396,2461244.70721364,2383416.74763556,1823801.30189268,2341519.86895434,2802260.74058966,3068074.67237234,2044538.37859332,1699163.34433502,2900494.06011733,2932314.41959769,1686313.25286262,1530388.63914662,1818925.08481345,2671358.26437767,3115588.47279865,1574713.34095364,1809339.21675895,1427286.29389245,1540514.25090409,1921219.26067716,1780571.87889047,2179686.42425062,2287839.80817505,2219326.86375193,1065331.42175006,2226145.28554441,2215538.02050625,1972696.61144481,1552211.45652245,2149200.12127335,2638815.64996208,83799.6222261672,89495.1307998815,1186904.4774972,,500638.657341874,1124936.23905981,625083.278998067,67980.2139779206,964966.36857392,409413.871044824,1284197.20007975,251030.717937613,730808.808787017,826988.367797823,683447.399598215,636728.390730288,574001.330007289,585175.519752271,853035.739415523,902280.68585977,641026.990526959,395782.377032134,740665.126647488,595330.70616098,337690.847891193,288896.187766307,364593.260231873,857581.15879686,839917.95606289,738926.719682325,339895.410900269,884227.074247263,689591.801546738,222018.952090543,153703.450379959,303672.456735657,529908.620101931,728032.009458528,672084.981588951,334245.670770111,684561.125213819,483189.82259082,235571.135461411,172424.667151664,376401.791201707,552642.40818274,759657.838959541,360958.432799143,343347.868358093,786231.935784003,639632.33770259,211422.547143745,210981.042838612,299882.828141754,444528.702816445,512555.615961712,576348.543530441,231310.394454387,645384.959687824,597106.884134666,315105.468949646,285128.040474396,223450.920187159,437810.372896343,607267.487249603,520022.388865889,434007.937264712,830105.284190887,880991.965222936,327572.240654007,329852.440747818,508282.048404498,654038.003174491,741277.657219482,622672.593766739
,,414.2057,7.12,,318136.295060629,246577.109294023,223899.666560287,298499.139501676,604306.758810251,293219.067763196,300951.590371563,292309.9155272,273225.874261778,290060.006339252,232551.604623565,217183.463726403,269753.490639276,419326.449743621,283555.111454531,292327.393766467,303140.589845625,256066.914986455,296729.550921827,285177.731090789,246320.761127407,272393.118948417,235398.296224055,271815.331694556,274387.183514798,748725.556522976,242746.723850252,291740.072275012,274226.239308532,234228.668237887,247220.410903519,287018.35515292,265860.969385927,321190.368627198,271815.512462601,255290.60241355,263145.457170231,260738.941839182,232090.406306779,297067.108975563,340980.547578861,268796.412658485,272777.850340806,271349.684999453,235390.545469295,287024.105297612,205628.116467239,243037.684726327,242703.856694444,190493.798452349,246872.253972419,222248.698240115,229040.021238596,229397.954320092,237048.091324631,194663.030692527,214690.356432751,204902.688208465,184070.758615794,246236.091043594,216708.475455009,238722.005092962,228835.563127803,251745.339431321,205454.731802199,222424.41320807,225343.219971429,164486.493924656,249960.146202541,267247.776719311,267648.869763089,218899.439423153,880469.719462097,687901.535050186,652202.358581413,837713.325581912,5018202.20742149,865972.181209603,774317.831762419,734101.643941296,717127.988204302,901605.019642388,601911.360263652,731505.788452711,753511.485857761,2345144.90161966,738269.520525839,686831.83809007,671147.764236847,555602.912464337,756103.287869063,779534.981569448,686443.295867615,752809.655773536,699742.018195764,734189.286402625,747091.32930027,3549924.98685909,645598.888966098,657045.858298704,955623.467611394,689993.306813115,703366.107127953,856911.373338543,696573.317125322,757355.591707158,583053.38275531,711092.512448645,792462.55025214,801211.870857015,710445.354526025,626028.918827395,758348.324578464,620209.611926757,703124.375579433,615617.297177244,695140.345124835,858883.756728773,621939.79160793,734819.264096817,648340.944280411,650473.719447013,674181.78441607,627725.097605383,651378.683671271,630116.675166241,744347.633175151,580029.719338741,598685.146423954,659783.23349769,585144.439552763,629282.028461764,739733.566264229,677132.645505504,649578.728267439,738881.586868471,580385.58927401,636024.091858914,654403.313948858,566432.57703374,712292.049235789,900573.347663075,862794.399890991,707407.498649211,828916.602866459,598586.635245514,682039.817934928,866178.864780698,4474749.62949026,846201.458208578,758391.351859911,707027.002416265,667935.984744095,854979.686384467,533165.767996044,554765.967236714,772710.815351808,2113390.16168319,771991.105463518,676721.029094626,691960.482046232,592619.706668293,711334.915590285,659300.681203165,581378.347305042,728934.181449295,619324.390316279,751582.302788004,676287.193339959,3256087.28634585,603901.928233574,695776.072826458,1017816.69314351,747292.337462459,772815.657065524,848496.163668545,713013.913903321,736533.457762953,532697.166130279,635294.298560192,749918.217441304,848256.971702045,695003.716020243,690432.698686822,756911.439750823,612663.208257996,713573.76821952,616260.462081694,736115.620216943,880399.547964147,636775.467523722,792922.384841767,648599.290167428,646375.234562693,721607.088068271,676029.466767436,659789.178016259,782793.411607148,728756.648453256,480029.231030021,606982.567822911,615256.015568658,572386.193602735,658197.139842537,677930.175474566,648508.500061872,589067.082819508,621156.167719219,567536.130809142,686276.039804732,714348.666271591,551051.510702497,679996.86006145,911948.085343383,869865.287718447,647971.242811802
,,433.2106,4.27,,9029.51727798603,,,28891.2841537378,54287.7305436509,9080.26617122839,,,,191933.498097031,,,346293.075090664,303814.55728395,127289.047132799,,,,2716740.46641968,,,2648414.98517912,2569825.71642987,52355.8363971244,7856.39999162578,,,13238.1594084882,,,12243.0337185793,8528.6436778908,21995.4574914315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4084777.91202523,,,4284793.9809263,4110121.02275234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3268434.4685917,,,3103974.10620538,2989867.56736752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
