drug,mass,RT,donors,m_plus_H,m_plus_Na,m_plus_K,drug_mz,drug_RT,donors_run,link,metabolite_present,drug_present,mass_diff
capecitabine,259.0965,4.1,5   7   9  10  15  18,260.1035,282.0862,298.060208,360.1561,4.112,10,0,0,1,-100.0526
capecitabine,648.3111,4.11,10,649.3181,671.3008,687.274808,360.1561,4.112,10,0,0,1,289.162
capecitabine,266.1316,3.01,10,267.1386,289.1213,305.095308,360.1561,4.112,10,0,0,1,-93.0175
clofazimine,643.1894,7.42,8,644.1964,666.1791,682.153108,473.1294,7.007,8   9  10  13  15  16,0,0,0,171.067
clofazimine,500.1173,6.54,9,501.1243,523.107,539.081008,473.1294,7.007,8   9  10  13  15  16,0,0,0,27.9949
clofazimine,498.1354,7.32,10,499.1424,521.1251,537.099108,473.1294,7.007,8   9  10  13  15  16,0,0,0,26.013
clofazimine,496.1203,7.32,13  17,497.1273,519.11,535.084008,473.1294,7.007,8   9  10  13  15  16,0,0,0,23.9979
clofazimine,498.1017,6.42,15,499.1087,521.0914,537.065408,473.1294,7.007,8   9  10  13  15  16,0,0,0,25.9793
clofazimine,480.1716,6.09,16,481.1786,503.1613,519.135308,473.1294,7.007,8   9  10  13  15  16,0,0,0,8.04920000000004
clonazepam,632.0553,2.26,1   3   4   7   8  10,633.0623,655.045,671.019008,316.0484,5.216,8  10  16  17,0,0,1,317.0139
clonazepam,343.1081,2.67,4   8  19,344.1151,366.0978,382.071808,316.0484,5.216,8  10  16  17,0,0,1,28.0667
clonazepam,748.1367,2.67,4  8,749.1437,771.1264,787.100408,316.0484,5.216,8  10  16  17,0,0,1,433.0953
clonazepam,288.0648,2.2,7   8  10  11  12  13  15  16  17  18  19  20,289.0718,311.0545,327.028508,316.0484,5.216,8  10  16  17,0,0,1,-26.9766
clonazepam,414.1248,5.21,7  10,415.1318,437.1145,453.088508,316.0484,5.216,8  10  16  17,0,0,1,99.0834
clonazepam,447.0836,4.2,8  19,448.0906,470.0733,486.047308,316.0484,5.216,8  10  16  17,0,0,1,132.0422
clonazepam,399.1323,2.6,8,400.1393,422.122,438.096008,316.0484,5.216,8  10  16  17,0,0,1,84.0909
clonazepam,381.124,3.56,8,382.131,404.1137,420.087708,316.0484,5.216,8  10  16  17,0,0,1,66.0826
clonazepam,592.1145,2.28,10  18,593.1215,615.1042,631.078208,316.0484,5.216,8  10  16  17,0,0,1,277.0731
clonazepam,389.0959,3.56,16,390.1029,412.0856,428.059608,316.0484,5.216,8  10  16  17,0,0,1,74.0545
clonazepam,411.0375,5.18,17,412.0445,434.0272,450.001208,316.0484,5.216,8  10  16  17,0,0,1,95.9961
clonazepam,414.0876,5.09,17,415.0946,437.0773,453.051308,316.0484,5.216,8  10  16  17,0,0,1,99.0462
digoxin,244.1237,3.14,19,245.1307,267.1134,283.087408,803.4188,4.41,19,0,1,0,-558.2881
dolasetron,326.1541,3.11,1   2   3   4   7   8   9  11  12  15  16  18  20,327.1611,349.1438,365.117808,325.1541,3.103,1  10,0,0,0,2.00700000000001
dolasetron,368.1744,3.35,1   2   4   5   7   8  10  13  15  16  17  18  19,369.1814,391.1641,407.138108,325.1541,3.103,1  10,0,0,0,44.0273
dolasetron,370.1884,2.92,3  10  18  19  20,371.1954,393.1781,409.152108,325.1541,3.103,1  10,0,0,0,46.0413
dolasetron,443.2423,3.05,3   4   5   7   8   9  10  16  18  19  20,444.2493,466.232,482.206008,325.1541,3.103,1  10,0,0,0,119.0952
dolasetron,327.1663,3.05,5  10  11  12,328.1733,350.156,366.130008,325.1541,3.103,1  10,0,0,0,3.01919999999996
duloxetine,426.1778,6.06,7  10,427.1848,449.1675,465.141508,298.1262,4.803,7   8  16,0,1,1,129.0586
duloxetine,297.1184,6.07,7  8,298.1254,320.1081,336.082108,298.1262,4.803,7   8  16,0,0,1,-0.000799999999969714
duloxetine,153.0609,6.07,7,154.0679,176.0506,192.024608,298.1262,4.803,7   8  16,0,0,1,-144.0583
duloxetine,355.1603,4.78,8,356.1673,378.15,394.124008,298.1262,4.803,7   8  16,0,0,1,58.0411
duloxetine,514.4059,14.58,16,515.4129,537.3956,553.369608,298.1262,4.803,7   8  16,0,0,1,217.2867
hydrocortisone,467.3043,3.89,4  18,468.3113,490.294,506.268008,363.2162,4.225,7   8  15  18,0,0,1,105.0951
hydrocortisone,575.4571,13.77,7,576.4641,598.4468,614.420808,363.2162,4.225,7   8  15  18,0,0,1,213.2479
hydrocortisone,465.2863,4.13,8  17,466.2933,488.276,504.250008,363.2162,4.225,7   8  15  18,0,0,1,103.0771
