gene,coverage,RPKM,cohort,sample_id,subject_id
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR1778450,SRR1778450
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413673,SRR413673
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413674,SRR413674
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413675,SRR413675
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413676,SRR413676
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413677,SRR413677
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413678,SRR413678
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413679,SRR413679
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413680,SRR413680
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413681,SRR413681
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413682,SRR413682
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413683,SRR413683
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413684,SRR413684
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413685,SRR413685
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413686,SRR413686
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413687,SRR413687
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413689,SRR413689
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413690,SRR413690
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413691,SRR413691
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413692,SRR413692
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413694,SRR413694
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413695,SRR413695
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413696,SRR413696
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413697,SRR413697
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413698,SRR413698
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0.170940170940171,0.0604823446024916,Chinese,SRR413699,SRR413699
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413700,SRR413700
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413701,SRR413701
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413702,SRR413702
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413703,SRR413703
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413704,SRR413704
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413705,SRR413705
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413706,SRR413706
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413707,SRR413707
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413708,SRR413708
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413709,SRR413709
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413710,SRR413710
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413711,SRR413711
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413712,SRR413712
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413713,SRR413713
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413714,SRR413714
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413715,SRR413715
20a-HSDH-CLOSCI_00901_Clostridium-scindens-ATCC-35704,0,0,Chinese,SRR413716,SRR413716
