sample	reads
EF1-G-3	65441
EF1-G	58910
EF1-L	68612
EF1-R	63806
EF5	21787
HD1-BB-01	9719
HD1-BB-02	60525
HD1-BB-03	124179
HD1-BB-04	77541
HD1-BB-FFC	109186
HD1-BestMix-01-PBSr	85908
HD1-BestMix-01	93832
HD1-BestMix-02	90813
HD1-BestMix-03	111220
HD1-BestMix-04	70995
HD1-BHI-01-PBSr	90198
HD1-BHI-01	113913
HD1-BHI-02	113185
HD1-BHI-03	98660
HD1-BHI-04	130990
HD1-BHI-FFC	132046
HD1-BT-01-PBSr	69826
HD1-BT-01	133407
HD1-BT-02	86815
HD1-BT-03	104311
HD1-BT-04	81515
HD1-BT-FFC	87632
HD1-Feces	132228
HD1-GAM-01-PBSr	117669
HD1-GAM-01	147725
HD1-GAM-02	117631
HD1-GAM-03	113747
HD1-GAM-04	92969
HD1-GMM-01-PBSr	92511
HD1-GMM-01	134987
HD1-GMM-02	112366
HD1-GMM-03	138593
HD1-GMM-04	108788
HD1-GMM-FFC	124257
HD1-LB-01-PBSr	98979
HD1-LB-01	106152
HD1-LB-02	87026
HD1-LB-03	78271
HD1-LB-04	94752
HD1-LB-FFC	86
HD1-Liver-01-PBSr	97283
HD1-Liver-01	144331
HD1-Liver-02	86392
HD1-Liver-03	87216
HD1-Liver-04	91552
HD1-M17-01-PSBr	75891
HD1-M17-01	98567
HD1-M17-02	106796
HD1-M17-03	116446
HD1-M17-04	108053
HD1-Meat-01-PBSr	111964
HD1-Meat-01	113952
HD1-Meat-02	100829
HD1-Meat-03	108888
HD1-Meat-04	118998
HD1-Meat-FFC	103648
HD1-MRS-01-PBSr	114174
HD1-MRS-01	105296
HD1-MRS-02	89036
HD1-MRS-03	81170
HD1-MRS-04	88870
HD1-MRS-FFC	71465
HD1-RCM-01	119356
HD1-RCM-02	84475
HD1-RCM-03	102843
HD1-RCM-04	77075
HD1-RCM-FFC	84048
HD1-TB-01-PBSr	78027
HD1-TB-01	114573
HD1-TB-02	69365
HD1-TB-03	104869
HD1-TB-04	98750
HD1-TB-FFC	104632
HD1-TYG-01-PBSr	115589
HD1-TYG-01	135756
HD1-TYG-02	133194
HD1-TYG-03	98183
HD1-TYG-04	113202
HD1-TYG-FFC	87094
Neg	260
PBSc-GST	106817
SB10403-1	69784
SB10403-2	69148
SB3-3	333
SB4-2	69109
SB5-15	132468
SB5-15R	84156
SB5-16	78038
SB5-35	124130
SB5-37	90261
YS-B6	55793
