#OTU ID	EF1.G	EF1.G.3	EF1.L	EF1.R	EF5	HD1.BB.01	HD1.BB.02	HD1.BB.03	HD1.BB.04	HD1.BB.FFC	HD1.BestMix.01	HD1.BestMix.01.PBSr	HD1.BestMix.02	HD1.BestMix.03	HD1.BestMix.04	HD1.BHI.01	HD1.BHI.01.PBSr	HD1.BHI.02	HD1.BHI.03	HD1.BHI.04	HD1.BHI.FFC	HD1.BT.01	HD1.BT.01.PBSr	HD1.BT.02	HD1.BT.03	HD1.BT.04	HD1.BT.FFC	HD1.Feces	HD1.GAM.01	HD1.GAM.01.PBSr	HD1.GAM.02	HD1.GAM.03	HD1.GAM.04	HD1.GMM.01	HD1.GMM.01.PBSr	HD1.GMM.02	HD1.GMM.03	HD1.GMM.04	HD1.GMM.FFC	HD1.LB.01	HD1.LB.01.PBSr	HD1.LB.02	HD1.LB.03	HD1.LB.04	HD1.LB.FFC	HD1.Liver.01	HD1.Liver.01.PBSr	HD1.Liver.02	HD1.Liver.03	HD1.Liver.04	HD1.M17.01	HD1.M17.01.PSBr	HD1.M17.02	HD1.M17.03	HD1.M17.04	HD1.Meat.01	HD1.Meat.01.PBSr	HD1.Meat.02	HD1.Meat.03	HD1.Meat.04	HD1.Meat.FFC	HD1.MRS.01	HD1.MRS.01.PBSr	HD1.MRS.02	HD1.MRS.03	HD1.MRS.04	HD1.MRS.FFC	HD1.RCM.01	HD1.RCM.02	HD1.RCM.03	HD1.RCM.04	HD1.RCM.FFC	HD1.TB.01	HD1.TB.01.PBSr	HD1.TB.02	HD1.TB.03	HD1.TB.04	HD1.TB.FFC	HD1.TYG.01	HD1.TYG.01.PBSr	HD1.TYG.02	HD1.TYG.03	HD1.TYG.04	HD1.TYG.FFC	Neg	PBSc.GST
d46e2205f0c6ecf67b51f83d111c509c	8	0	5	9	18	94	978	32618	33354	102	35380	9568	28333	33394	18813	37319	34237	32210	22900	36179	9787	38931	29553	25391	26864	22238	5297	103	33048	14806	17525	12771	10669	45211	17557	33006	38416	33035	2270	46975	25421	30692	26486	27449	27	39937	38822	25734	26425	24025	26066	34569	21410	22878	11830	38079	41615	32470	33753	34948	6371	21929	15134	8120	5717	4029	45	9624	3281	2336	1083	143	82558	52336	48486	71341	65988	2967	36517	31685	53674	34925	36454	9845	10	80
9580aa8a52ec18a4e92e701cdb595faa	0	0	0	4	0	0	24	13	11	0	23829	4680	16432	4874	1010	27704	10468	21461	19050	16285	245	49482	434	30428	36833	23650	19	37	9974	1283	2017	6801	1448	68	0	91	8	0	0	27492	617	7630	322	197	0	52002	181	27944	31564	28813	38469	0	42228	26647	18570	31927	22327	2160	790	709	2714	50	273	0	60	11	0	4624	2093	2407	1362	0	106	161	40	93	62	0	9914	7	4326	5000	4563	0	0	0
fd2eb1fe2266eed160a855f715f7c77e	0	0	0	0	0	5276	44339	34150	5908	4	570	770	511	766	390	191	683	235	195	247	240	386	117	665	1420	1578	234	0	204	34	72	62	165	6536	137	5327	10008	11174	0	11	0	10	9	22	0	206	38	65	65	39	107	186	167	167	349	162	347	371	346	518	259	54768	32557	60372	56704	35443	58	3833	2461	5748	5024	0	43	107	37	79	105	34	4303	71	1639	1180	1534	0	0	11
cdfdf79dc2628b9ce00adbdfa59da2e9	402	1527	6632	9701	46	5	0	2	0	0	0	0	0	0	0	0	2	0	4	0	0	0	240	0	0	0	60	0	5	48	0	0	10	0	3	11	0	0	0	2	3	0	0	0	0	0	5	0	0	0	5	18	0	0	0	0	0	0	2	13	0	0	0	2	6	0	29	2	3	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0
a5d2b14f0434d7b75cccf19d8963facb	0	0	0	0	0	29	161	6087	5933	0	5291	1549	4530	4769	2757	5931	5154	4652	3650	5305	1566	5974	4369	3949	4286	3561	941	0	5007	1894	2535	1754	1307	7943	2782	5424	6509	6008	321	7883	3542	4777	4098	4157	0	5909	5900	3969	4265	3630	3578	4820	3020	3475	1639	6608	6066	5226	5345	5711	993	3492	1863	1316	918	651	0	1462	509	366	162	0	12608	6397	7694	11990	10254	442	5293	3644	8257	5359	5640	1573	0	0
35ffcc3b809d667286737d79670b8de5	0	0	0	0	0	0	0	561	76	45	3696	6202	2707	3414	2510	84	835	70	51	68	221	5930	4153	4335	6953	6854	5637	692	1118	955	1482	560	627	3383	1529	1281	1377	1212	1132	58	0	37	39	0	0	3978	4210	2139	2532	1983	6275	8069	3954	5032	4572	167	1737	180	81	94	553	124	25900	350	440	524	3044	33512	23734	23983	15816	1847	330	901	305	808	973	6356	5053	1269	612	379	385	696	0	316
99deb3c5ecb022ec05609ebd1112a557	0	0	0	0	0	270	494	145	40	4113	1850	11106	4287	5426	4254	5324	4991	5329	4888	6946	6766	79	3870	39	46	52	2865	4493	16213	17142	5883	8292	6940	11451	1633	6683	6531	4095	7606	14	3048	118	128	200	0	212	1861	142	128	163	16	647	29	817	245	2223	2748	3876	3977	4528	4453	93	50	17	21	7	68	1926	397	175	106	1479	41	477	23	64	47	3473	4212	5646	5741	4956	6076	2817	0	12281
85b848c63545237026c4884e6b42a196	51300	53992	51929	45196	10034	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	267	0	0	3	5	0	0	0	258	0	0	0	0	0	81	0	0	0	0	0	83	0	0	0	0	55	3	0	0	0	36	2	0	5	0	0	16	0	0	0	291	0	0	4	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	52
5a6c87d6a4eb5e114959f6192f29b641	0	0	0	0	0	66	29	0	0	90	573	15230	378	446	199	62	972	40	30	44	346	1430	3787	958	1642	2909	3056	1155	1810	1618	1387	509	809	2847	1329	1393	1342	1240	1209	0	53	26	28	59	0	9451	15495	5808	1891	3934	1332	1074	890	933	2070	96	627	215	140	190	549	0	715	0	44	0	17891	18027	22662	30875	25539	5982	305	926	273	634	1132	8539	2496	1524	487	403	367	584	0	762
b15193fce14759d1c06728933e044af6	0	0	0	0	0	38	84	584	6437	1917	502	2268	1836	1643	1023	3080	2618	1447	1217	1311	1737	53	745	48	44	45	321	1404	2671	1504	1527	1038	820	6853	11579	2994	1959	1233	1242	1151	3447	8895	6687	8739	0	80	1290	63	48	61	80	728	378	940	315	2429	2529	5907	5833	7363	1472	36	110	7	0	0	0	191	81	65	44	193	45	325	32	62	52	502	3754	3172	1649	1355	1841	1233	0	2963
