# Constructed from biom file
#OTU ID	EF1.G	EF1.G.3	EF1.L	EF1.R	EF5	HD1.BB.01	HD1.BB.02	HD1.BB.03	HD1.BB.04	HD1.BB.FFC	HD1.BestMix.01	HD1.BestMix.01.PBSr	HD1.BestMix.02	HD1.BestMix.03	HD1.BestMix.04	HD1.BHI.01	HD1.BHI.01.PBSr	HD1.BHI.02	HD1.BHI.03	HD1.BHI.04	HD1.BHI.FFC	HD1.BT.01	HD1.BT.01.PBSr	HD1.BT.02	HD1.BT.03	HD1.BT.04	HD1.BT.FFC	HD1.Feces	HD1.GAM.01	HD1.GAM.01.PBSr	HD1.GAM.02	HD1.GAM.03	HD1.GAM.04	HD1.GMM.01	HD1.GMM.01.PBSr	HD1.GMM.02	HD1.GMM.03	HD1.GMM.04	HD1.GMM.FFC	HD1.LB.01	HD1.LB.01.PBSr	HD1.LB.02	HD1.LB.03	HD1.LB.04	HD1.LB.FFC	HD1.Liver.01	HD1.Liver.01.PBSr	HD1.Liver.02	HD1.Liver.03	HD1.Liver.04	HD1.M17.01	HD1.M17.01.PSBr	HD1.M17.02	HD1.M17.03	HD1.M17.04	HD1.Meat.01	HD1.Meat.01.PBSr	HD1.Meat.02	HD1.Meat.03	HD1.Meat.04	HD1.Meat.FFC	HD1.MRS.01	HD1.MRS.01.PBSr	HD1.MRS.02	HD1.MRS.03	HD1.MRS.04	HD1.MRS.FFC	HD1.RCM.01	HD1.RCM.02	HD1.RCM.03	HD1.RCM.04	HD1.RCM.FFC	HD1.TB.01	HD1.TB.01.PBSr	HD1.TB.02	HD1.TB.03	HD1.TB.04	HD1.TB.FFC	HD1.TYG.01	HD1.TYG.01.PBSr	HD1.TYG.02	HD1.TYG.03	HD1.TYG.04	HD1.TYG.FFC	Neg	PBSc.GST	SB10403.1	SB10403.2	SB3.3	SB4.2	SB5.15	SB5.15R	SB5.16	SB5.35	SB5.37	YS.B6
Unassigned;__;__;__	0.0	0.0	0.0	0.0	0.00249609984399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000183161924299	0.000170959653522	0.000106434740299	0.0	0.0	0.0
k__Bacteria;__;__;__	0.00187124333724	0.00256777529346	0.00221586493146	0.00166412916475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000272631851579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00374181478017	0.000877637130802	0.0	0.00363786986511	0.000164845731869	0.000313426031457	4.56148886997e-05	0.00022250815057	0.000103947402614	0.0
k__Bacteria;p__;c__;o__	0.000567043435527	0.000733650083846	0.0004795528583	0.000548808554332	0.318148725949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000259602591699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53001394356e-05	0.0	0.0	0.000108055540548	5.49485772898e-05	4.27399133804e-05	6.08198515996e-05	2.90228022483e-05	3.89802759804e-05	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.60185135159e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000511852021815	0.000438818565401	0.0	0.000918472094657	0.000329691463739	0.000113973102348	0.000243279406398	0.000193485348322	0.000246875081209	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000168776371308	0.0	0.0	0.0	0.0	0.0	0.0	2.59868506536e-05	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.0	0.0	0.0	0.0	0.000468018720749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0304110701237	0.0103966244726	0.0	0.125110306698	0.00951526196734	0.00672441303852	0.00500243279406	0.00951947913744	0.0119409578753	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0	0.0	0.0	0.0	0.0	0.00101781170483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000167838996628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.000101265822785	0.0	0.000252129594612	0.0	0.0	0.0	0.0	0.0	0.050863847344
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0	0.0	0.0	0.0	0.0	0.00839694656489	0.00112431737873	0.0187294654626	0.00489141691761	0.00432646317071	0.0735382998292	0.41740703695	0.0581096974233	0.0583331542874	0.0656345065516	0.0017650952416	0.0305316044085	0.00152756110244	0.00123681338669	0.00125421479792	0.00696483256398	0.0921632653061	0.196598142544	0.104820612273	0.133324058616	0.18915029965	0.137228519394	0.0207618736502	0.0265172202975	0.0314989402909	0.0336172987955	0.012616369687	0.0221726288152	0.078317926477	0.0479549221081	0.0388556149733	0.0337181203387	0.0392700874009	0.0258682565963	0.00111247204774	0.00174630492002	0.00125472283314	0.00128381618227	0.00108633732099	0.0	0.129679088068	0.285359194292	0.127135366747	0.0728425038067	0.0943688904936	0.108946495381	0.221805797715	0.0669710117018	0.0743133757962	0.0889653341592	0.00354571942754	0.0390701900507	0.00553999682031	0.00283222693638	0.00334351820417	0.0152108675234	0.00283534024083	0.360092418511	0.00748167611672	0.0105038544187	0.00989653621233	0.364253880946	0.717586784875	0.831194530177	0.796054790525	0.80502380721	0.127531534071	0.0096640350968	0.0455148842674	0.0141611082606	0.0216104534286	0.0323532926975	0.183851175236	0.0810906704039	0.0347403106857	0.0115232297226	0.011258013306	0.00938821719998	0.0206189748651	0.0	0.0148869296842	0.0	0.000168776371308	0.0225225225225	9.00462837899e-05	0.000137371443224	0.0	0.000486558812796	8.70684067449e-05	0.000129934253268	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	0.0	0.0	0.0	0.0	0.0	0.000636132315522	0.0	1.96738082591e-05	0.00127463633032	0.00597878076354	0.0	0.00516297952459	0.000467764353683	0.00199815224631	0.00304209649734	0.000556845522647	0.00201234057865	0.00037918183394	0.000642657936219	0.000408983086277	0.00935871146081	0.0	0.000695676371352	0.0	0.000301428306437	0.000534029549635	0.0125037375302	0.00561695794995	0.00324434481353	0.00759023188315	0.00821325942079	0.000895151438561	0.00547423695438	0.00022432632002	0.000278422273782	0.00020320855615	0.000243389370838	0.000153527289476	0.00247868237456	0.000101133822521	0.00420125531484	0.000169176112333	0.000603238929019	0.000967105176	0.0	0.000193777223594	0.00283337197022	0.00179004341208	0.0062691194425	0.019269600567	0.0	0.000162948720038	0.000181247663604	0.000366878980892	0.00294228259186	0.000214242865713	0.00152516522623	0.00151646712079	0.00155604562908	0.00179006820777	0.0061278720821	0.0	5.66289895123e-05	0.0	0.0	0.0	0.00026508060107	0.000168667840314	0.000118138724397	0.000109386584343	4.8586143232e-05	0.0113593122402	0.0	0.000259387540243	5.13083632632e-05	5.58409649319e-05	3.58551452133e-05	0.0170691762969	0.00943781156309	0.00108792300853	0.000652595632079	0.000569565796968	0.000288375272354	0.0118035180703	0.0	0.00240550997946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00242822760873
