#OTU ID	EF1.G	EF1.G.3	EF1.L	EF1.R	EF5	HD1.BB.01	HD1.BB.02	HD1.BB.03	HD1.BB.04	HD1.BB.FFC	HD1.BestMix.01	HD1.BestMix.01.PBSr	HD1.BestMix.02	HD1.BestMix.03	HD1.BestMix.04	HD1.BHI.01	HD1.BHI.01.PBSr	HD1.BHI.02	HD1.BHI.03	HD1.BHI.04	HD1.BHI.FFC	HD1.BT.01	HD1.BT.01.PBSr	HD1.BT.02	HD1.BT.03	HD1.BT.04	HD1.BT.FFC	HD1.Feces	HD1.GAM.01	HD1.GAM.01.PBSr	HD1.GAM.02	HD1.GAM.03	HD1.GAM.04	HD1.GMM.01	HD1.GMM.01.PBSr	HD1.GMM.02	HD1.GMM.03	HD1.GMM.04	HD1.GMM.FFC	HD1.LB.01	HD1.LB.01.PBSr	HD1.LB.02	HD1.LB.03	HD1.LB.04	HD1.LB.FFC	HD1.Liver.01	HD1.Liver.01.PBSr	HD1.Liver.02	HD1.Liver.03	HD1.Liver.04	HD1.M17.01	HD1.M17.01.PSBr	HD1.M17.02	HD1.M17.03	HD1.M17.04	HD1.Meat.01	HD1.Meat.01.PBSr	HD1.Meat.02	HD1.Meat.03	HD1.Meat.04	HD1.Meat.FFC	HD1.MRS.01	HD1.MRS.01.PBSr	HD1.MRS.02	HD1.MRS.03	HD1.MRS.04	HD1.MRS.FFC	HD1.RCM.01	HD1.RCM.02	HD1.RCM.03	HD1.RCM.04	HD1.RCM.FFC	HD1.TB.01	HD1.TB.01.PBSr	HD1.TB.02	HD1.TB.03	HD1.TB.04	HD1.TB.FFC	HD1.TYG.01	HD1.TYG.01.PBSr	HD1.TYG.02	HD1.TYG.03	HD1.TYG.04	HD1.TYG.FFC	Neg	PBSc.GST	SB10403.1	SB10403.2	SB3.3	SB4.2	SB5.15	SB5.15R	SB5.16	SB5.35	SB5.37	YS.B6
Unassigned;__	0.0	0.0	0.0	0.0	0.00249609984399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000183161924299	0.000170959653522	0.000106434740299	0.0	0.0	0.0
k__Bacteria;__	0.00187124333724	0.00256777529346	0.00221586493146	0.00166412916475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000272631851579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00374181478017	0.000877637130802	0.0	0.00363786986511	0.000164845731869	0.000313426031457	4.56148886997e-05	0.00022250815057	0.000103947402614	0.0
k__Bacteria;p__	0.000567043435527	0.000733650083846	0.0004795528583	0.000548808554332	0.318148725949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000259602591699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53001394356e-05	0.0	0.0	0.000108055540548	5.49485772898e-05	4.27399133804e-05	6.08198515996e-05	2.90228022483e-05	3.89802759804e-05	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000511852021815	0.000607594936709	0.0	0.000954490608173	0.000329691463739	0.000113973102348	0.000243279406398	0.000193485348322	0.000272861931862	0.0
k__Bacteria;p__Actinobacteria	0.0	0.0	0.0	0.0	0.000468018720749	0.0100508905852	0.00112431737873	0.0187491392709	0.00616605324793	0.0103052439343	0.0735382998292	0.422570016474	0.058577461777	0.0603313065337	0.0686766030489	0.00232194076424	0.0325439449871	0.00190674293638	0.00187947132291	0.00166319788419	0.0163235440248	0.0921632653061	0.197293818915	0.104820612273	0.133625486923	0.1896843292	0.149732256925	0.0263788316002	0.0297615651111	0.039089172174	0.0418305582163	0.0135115211256	0.0276468657696	0.0785422527971	0.0482333443818	0.0390588235294	0.0339615097095	0.0394236146904	0.0283469389708	0.00121360587026	0.00594756023487	0.00142389894547	0.00188705511129	0.00205344249699	0.0	0.129872865291	0.288192566262	0.12892541016	0.0791116232492	0.113638491061	0.108946495381	0.221968746435	0.0671522593654	0.0746802547771	0.0919076167511	0.00375996229326	0.040595355277	0.0070564639411	0.00438827256546	0.00513358641194	0.0213387396055	0.00283534024083	0.3601490475	0.00748167611672	0.0105038544187	0.00989653621233	0.364518961547	0.717755452715	0.831312668901	0.796164177109	0.805072393353	0.138890846311	0.0096640350968	0.0459421108043	0.0142124166239	0.0216662943936	0.0323891478427	0.200920351533	0.090528481967	0.0358282336942	0.0121758253547	0.011827579103	0.00967659247234	0.0324224929355	0.015	0.0172924396637	0.0304110701237	0.0107848101266	0.0225225225225	0.125452482576	0.00965263341057	0.00672441303852	0.00548899160686	0.00960654754419	0.0120708921286	0.0532920749527
k__Bacteria;p__Bacteroidetes	5.67043435527e-05	8.73392956959e-05	0.0	0.0	0.00135205408216	0.0810432569975	0.0236708962416	0.0141651419465	0.266765450982	0.160068266806	0.0441203521219	0.273461402683	0.170025660216	0.174677180242	0.188864907123	0.146481892014	0.211442355105	0.161325619691	0.168412756154	0.150160412255	0.157490130895	0.00176870748299	0.113743086716	0.00148219975066	0.00117093303654	0.00158725449475	0.0716518524559	0.166957042522	0.257485225189	0.278092732379	0.181527299407	0.206811575888	0.204266491631	0.287287240506	0.317441166722	0.205465240642	0.175648893448	0.135268508263	0.153640026414	0.0166196581677	0.196940170075	0.246926633959	0.233561739184	0.243379303949	0.0	0.00368176724828	0.069610797723	0.00321362124373	0.00281218705845	0.00324948850644	0.0021673063651	0.0341703465919	0.00674014749029	0.038349044586	0.0135942304714	0.0772666895192	0.0990383887332	0.319729971016	0.322459671551	0.28796436324	0.20385769592	0.00206524782974	0.00397535506376	0.000387221684414	0.000796429591116	0.000313526629316	0.00195496943289	0.031741179199	0.00955446933562	0.00466716093197	0.00354678845593	0.0437037559016	0.000962264736619	0.0231160072629	0.000940653326492	0.00186508822872	0.0016134815346	0.0906050331004	0.137149851869	0.22659134892	0.151429005641	0.188235436687	0.199267313197	0.14189910899	0.105	0.454993135219	0.246359673121	0.137721518987	0.045045045045	0.189151223729	0.147069867116	0.116922156371	0.136753436322	0.14380798514	0.187884930225	0.282512463469
k__Bacteria;p__Chlamydiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000529502091533	0.000236286919831	0.0	0.00646532317611	0.0	0.0	0.0	0.0	0.000285855357189	0.0
k__Bacteria;p__Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000123550488024	0.0	0.0	0.00136870351361	0.000183161924299	0.0	0.000258484369298	0.000154788278658	0.000220888230555	0.0
k__Bacteria;p__Cyanobacteria	0.00759838203606	0.0266734209055	0.109668777802	0.171741670502	0.00239209568383	0.00139949109415	0.0	3.93476165181e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6653517598e-05	0.0	4.85024857524e-05	0.0	0.0	0.0	0.00525235660371	0.0	0.0	0.0	0.000815461143277	0.0	4.07581006725e-05	0.000657750493313	0.0	0.0	0.000131276665573	0.0	3.97746105403e-05	0.000117647058824	0.0	0.0	0.0	2.24741827825e-05	3.79631504353e-05	0.0	0.0	0.0	0.0	0.0	6.43948175051e-05	0.0	0.0	0.0	6.05392839413e-05	0.000293307696068	0.0	0.0	0.0	0.0	0.0	0.0	2.23891457421e-05	0.000174891721449	0.0	0.0	0.0	2.76586917439e-05	9.01618405037e-05	0.0	0.00048045858944	2.10834800392e-05	4.43020216489e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000115068779748	1.78793323857e-05	0.0	0.0	0.0	0.0	0.0	0.53405580952	0.733232067511	0.0	0.0733336935185	0.55903766725	0.644318440848	0.736923731906	0.561562200702	0.576206439542	0.0
k__Bacteria;p__Fibrobacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59868506536e-05	0.0
