structural_class,name,description,SMARTS
alkane,Alkyl Carbon,,"[CX4]
"
alkene (-ene),Allenic Carbon,,"[$([CX2](=C)=C)]
"
alkene (-ene),Vinylic Carbon,Ethenyl carbon,"[$([CX3]=[CX3])]
"
alkyne (-yne),Acetylenic Carbon,,"[$([CX2]#C)]
"
"arene (Ar , aryl-, aromatic hydrocarbons)",Arene,,"c
"
carbonyl,Carbonyl group,Hits either resonance structure,"[$([CX3]=[OX1]),$([CX3+]-[OX1-])]
"
carbonyl,Carbonyl with Carbon,"Hits aldehyde, ketone, carboxylic acid (except formic), anhydride (except formic), acyl halides (acid halides). Won't hit carbamic acid/ester, carbonic acid/ester.","[CX3](=[OX1])C
"
carbonyl,Carbonyl with Nitrogen.,"Hits amide, carbamic acid/ester, poly peptide","[OX1]=CN
"
carbonyl,Carbonyl with Oxygen.,"Hits ester, carboxylic acid, carbonic acid or ester, carbamic acid or ester, anhydride Won't hit aldehyde or ketone.","[CX3](=[OX1])O
"
carbonyl,Acyl Halide,"acid halide, -oyl halide","[CX3](=[OX1])[F,Cl,Br,I]
"
carbonyl,Aldehyde,-al,"[CX3H1](=O)[#6]
"
carbonyl,Anhydride,,"[CX3](=[OX1])[OX2][CX3](=[OX1])
"
carbonyl,Amide,-amide,"[NX3][CX3](=[OX1])[#6]
"
carbonyl,Amidinium,,"[NX3][CX3]=[NX3+]
"
carbonyl,Carbamic ester,,"[NX3][CX3](=[OX1])[OX2H0]
"
carbonyl,Carbamic acid.,Hits carbamic acids and zwitterions.,"[NX3,NX4+][CX3](=[OX1])[OX2H,OX1-]
"
carbonyl,Carbonic Acid or Carbonic Ester,"Carbonic Acid, Carbonic Ester, or combination","[CX3](=[OX1])(O)O
"
carbonyl,Carbonic Acid or Carbonic Acid-Ester,Hits acid and conjugate base. Won't hit carbonic acid diester,"[CX3](=[OX1])([OX2])[OX2H,OX1H0-1]
"
carbonyl,Carbonic Ester carbonic acid diester,Won't hit carbonic acid or combination carbonic acid/ester,"C[OX2][CX3](=[OX1])[OX2]C
"
carbonyl,Carboxylic acid,"-oic acid, COOH","[CX3](=O)[OX2H1]
"
carbonyl,Cyanamide,,"[NX3][CX2]#[NX1]
"
carbonyl,Ester Also hits anhydrides,won't hit formic anhydride.,"[#6][CX3](=O)[OX2H0][#6]
"
carbonyl,Ketone,-one,"[#6][CX3](=O)[#6]
"
ether,Ether,,"[OD2]([#6])[#6]
"
mine (-amino),"Primary or secondary amine, not amide.","Not ammonium ion (N must be 3-connected), not ammonia (H count can't be 3). Primary or secondary is specified by N's H-count (H2 & H1 respectively). Also note that ""&"" (and) is the dafault opperator and is higher precedence that "","" (or), which is higher precedence than "";"" (and). Will hit cyanamides and thioamides","[NX3;H2,H1;!$(NC=O)]
"
mine (-amino),Enamine,,"[NX3][CX3]=[CX3]
"
mine (-amino),"Primary amine, not amide.","Not amide (C not double bonded to a hetero-atom), not ammonium ion (N must be 3-connected), not ammonia (N's H-count can't be 3), not cyanamide (C not triple bonded to a hetero-atom)","[NX3;H2;!$(NC=[!#6]);!$(NC#[!#6])][#6]
"
mine (-amino),Two primary or secondary amines,"Here we use the disconnection symbol (""."") to match two separate unbonded identical patterns.","[NX3;H2,H1;!$(NC=O)].[NX3;H2,H1;!$(NC=O)]
"
mine (-amino),Enamine or Aniline Nitrogen,,"[NX3][$(C=C),$(cc)]
"
azide (-azido),Azide group.,Hits any atom with an attached azide.,"[$(*-[NX2-]-[NX2+]#[NX1]),$(*-[NX2]=[NX2+]=[NX1-])]
"
azide (-azido),Azide ion.,Hits N in azide ion,"[$([NX1-]=[NX2+]=[NX1-]),$([NX1]#[NX2+]-[NX1-2])]
"
azo,Nitrogen.,"Nitrogen in N-containing compound. aromatic or aliphatic. Most general interpretation of ""azo""","[#7]
"
azo,Azo Nitrogen. Low specificity.,"Hits diazene, azoxy and some diazo structures","[NX2]=N
"
azo,Azo Nitrogen.diazene,(diaza alkene),"[NX2]=[NX2]
"
azo,Azoxy Nitrogen.,,"[$([NX2]=[NX3+]([O-])[#6]),$([NX2]=[NX3+0](=[O])[#6])]
"
azo,Diazo Nitrogen,,"[$([#6]=[N+]=[N-]),$([#6-]-[N+]#[N])]
"
azo,Azole.,"5 member aromatic heterocycle w/ 2double bonds. contains N & another non C (N,O,S) subclasses are furo-, thio-, pyrro- (replace CH o' furfuran, thiophene, pyrrol w/ N)","[$([nr5]:[nr5,or5,sr5]),$([nr5]:[cr5]:[nr5,or5,sr5])]
"
hydrazine,Hydrazine H2NNH2,,"[NX3][NX3]
"
hydrazone,Hydrazone C=NNH2,,"[NX3][NX2]=[*]
"
imine,Substituted imine,Schiff base,"[CX3;$([C]([#6])[#6]),$([CH][#6])]=[NX2][#6]
"
imine,Substituted or un-substituted imine,,"[$([CX3]([#6])[#6]),$([CX3H][#6])]=[$([NX2][#6]),$([NX2H])]
"
imine,Iminium,,"[NX3+]=[CX3]
"
imide,Unsubstituted dicarboximide,,"[CX3](=[OX1])[NX3H][CX3](=[OX1])
"
imide,Substituted dicarboximide,,"[CX3](=[OX1])[NX3H0]([#6])[CX3](=[OX1])
"
imide,Dicarboxdiimide,,"[CX3](=[OX1])[NX3H0]([NX3H0]([CX3](=[OX1]))[CX3](=[OX1]))[CX3](=[OX1])
"
nitrate,Nitrate group,Also hits nitrate anion,"[$([NX3](=[OX1])(=[OX1])O),$([NX3+]([OX1-])(=[OX1])O)]
"
nitrate,Nitrate Anion,,"[$([OX1]=[NX3](=[OX1])[OX1-]),$([OX1]=[NX3+]([OX1-])[OX1-])]
"
nitrile,Nitrile,,"[NX1]#[CX2]
"
nitrile,Isonitrile,,"[CX1-]#[NX2+]
"
nitro,Nitro group.,Hits both forms.,"[$([NX3](=O)=O),$([NX3+](=O)[O-])][!#8]
"
nitroso,Nitroso-group,,"[NX2]=[OX1]
"
n-oxide,N-Oxide,"Hits both forms. Won't hit azoxy, nitro, nitroso,or nitrate.","[$([#7+][OX1-]),$([#7v5]=[OX1]);!$([#7](~[O])~[O]);!$([#7]=[#7])]
"
"hydroxyl (includes alcohol, phenol)",Hydroxyl in Alcohol,,"[#6][OX2H]
"
"hydroxyl (includes alcohol, phenol)",Hydroxyl in Carboxylic Acid,,"[OX2H][CX3]=[OX1]
"
"hydroxyl (includes alcohol, phenol)",Hydroxyl in H-O-P-,,"[OX2H]P
"
"hydroxyl (includes alcohol, phenol)",Enol,,"[OX2H][#6X3]=[#6]
"
