,+group/+mod,+group,-group/+mod,-group,prop_group,prop_nongroup,direction,p_val,corrected_p_val,structural_class,SMARTS
sp2 N in N-Oxide,13,15,30,397,0.8666666666666667,0.07556675062972293,enriched,7.781364710165557e-23,4.240843767040228e-21,Orbital Configuration,"[$([$([NX3]=O),$([NX3+][O-])])]
"
Nitro group.,13,15,30,397,0.8666666666666667,0.07556675062972293,enriched,7.781364710165557e-23,4.240843767040228e-21,nitro,"[$([NX3](=O)=O),$([NX3+](=O)[O-])][!#8]
"
Hydrazone C=NNH2,3,3,40,409,1.0,0.097799511002445,enriched,3.534711275339954e-07,9.632088225301375e-06,hydrazone,"[NX3][NX2]=[*]
"
Nitrogen on -N-N=C-,3,3,40,409,1.0,0.097799511002445,enriched,3.534711275339954e-07,9.632088225301375e-06,Chains & Branching,"[$([NX3]N=C)]
"
Substituted imine,4,7,39,405,0.5714285714285714,0.0962962962962963,enriched,4.570977488985789e-05,0.0008303942438324184,imine,"[CX3;$([C]([#6])[#6]),$([CH][#6])]=[NX2][#6]
"
Substituted or un-substituted imine,4,7,39,405,0.5714285714285714,0.0962962962962963,enriched,4.570977488985789e-05,0.0008303942438324184,imine,"[$([CX3]([#6])[#6]),$([CX3H][#6])]=[$([NX2][#6]),$([NX2H])]
"
Aromatic 5-Ring O with Lone Pair,6,16,37,396,0.375,0.09343434343434344,enriched,0.0003044228467297755,0.004740298613363647,Cyclic Features,"[oX2r5]
"
Acid,9,191,34,221,0.04712041884816754,0.15384615384615385,depleted,0.00041037289955895184,0.005153661886713239,Acids & Bases,"[!H0;F,Cl,Br,I,N+,$([OH]-*=[!#6]),+]
"
Ketone,11,42,32,370,0.2619047619047619,0.08648648648648649,enriched,0.0004255317154166895,0.005153661886713239,carbonyl,"[#6][CX3](=O)[#6]
"
sp3 nitrogen,28,336,15,76,0.08333333333333333,0.19736842105263158,depleted,0.0033203921645195695,0.0361922745932633,Orbital Configuration,"[$([NX4+]),$([NX3]);!$(*=*)&!$(*:*)]
"
Hydrogen-bond acceptor,32,228,11,184,0.14035087719298245,0.059782608695652176,enriched,0.007833989035078502,0.07762770952941424,H-bond Donors & Acceptors,"[#6,#7;R0]=[#8]
"
Enamine or Aniline Nitrogen,22,138,21,274,0.15942028985507245,0.07664233576642336,enriched,0.009493120992903175,0.07959616832511124,mine (-amino),"[NX3][$(C=C),$(cc)]
"
Any sp2 nitrogen.,29,200,14,212,0.145,0.0660377358490566,enriched,0.008792599204235833,0.07959616832511124,Orbital Configuration,"[$([nX3](:*):*),$([nX2](:*):*),$([#7X2]=*),$([NX3](=*)=*),$([#7X3+](-*)=*),$([#7X3+H]=*)]
"
Carbonyl with Carbon,28,200,15,212,0.14,0.07075471698113207,enriched,0.021584596543312688,0.16805150165864877,carbonyl,"[CX3](=[OX1])C
"
Enamine,4,14,39,398,0.2857142857142857,0.09798994974874371,enriched,0.02394456052834946,0.1739971398393394,mine (-amino),"[NX3][CX3]=[CX3]
"
Ester Also hits anhydrides,10,53,33,359,0.18867924528301888,0.09192200557103064,enriched,0.03150380115741232,0.2146196453848714,carbonyl,"[#6][CX3](=O)[OX2H0][#6]
"
Hydrogen-bond donor.,35,372,8,40,0.09408602150537634,0.2,depleted,0.03735332183078308,0.23950071056207975,H-bond Donors & Acceptors,"[!$([#6,H0,-,-2,-3])]
"
Generic amino acid: low specificity.,0,30,43,382,0.0,0.112565445026178,depleted,0.0521645107046468,0.3158850926003612,amino acids,"[NX3,NX4+][CX4H]([*])[CX3](=[OX1])[O,N]
"
CIS or TRANS double bond in a ring,10,58,33,354,0.1724137931034483,0.09322033898305085,enriched,0.06746750942045789,0.3870504487805215,Cyclic Features,"*/,\[R]=;@[R]/,\*
"
Nitrogen.,37,382,6,30,0.0968586387434555,0.2,depleted,0.07520590750513914,0.39035447228857933,azo,"[#7]
"
Non-standard amino acid.,0,26,43,386,0.0,0.11139896373056994,depleted,0.07212913210191922,0.39035447228857933,Amino Acids,"[$([NX3,NX4+][CX4H]([*])[CX3](=[OX1])[O,N]);!$([$([$([NX3H,NX4H2+]),$([NX3](C)(C)(C))]1[CX4H]([CH2][CH2][CH2]1)[CX3](=[OX1])[OX2H,OX1-,N]),$([$([NX3H2,NX4H3+]),$([NX3H](C)(C))][CX4H2][CX3](=[OX1])[OX2H,OX1-,N]),$([$([NX3H2,NX4H3+]),$([NX3H](C)(C))][CX4H]([$([CH3X4]),$([CH2X4][CH2X4][CH2X4][NHX3][CH0X3](=[NH2X3+,NHX2+0])[NH2X3]),$([CH2X4][CX3](=[OX1])[NX3H2]),$([CH2X4][CX3](=[OX1])[OH0-,OH]),$([CH2X4][SX2H,SX1H0-]),$([CH2X4][CH2X4][CX3](=[OX1])[OH0-,OH]),$([CH2X4][#6X3]1:[$([#7X3H+,#7X2H0+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]:[$([#7X3H+,#7X2H0+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]1),$([CHX4]([CH3X4])[CH2X4][CH3X4]),$([CH2X4][CHX4]([CH3X4])[CH3X4]),$([CH2X4][CH2X4][CH2X4][CH2X4][NX4+,NX3+0]),$([CH2X4][CH2X4][SX2][CH3X4]),$([CH2X4][cX3]1[cX3H][cX3H][cX3H][cX3H][cX3H]1),$([CH2X4][OX2H]),$([CHX4]([CH3X4])[OX2H]),$([CH2X4][cX3]1[cX3H][nX3H][cX3]2[cX3H][cX3H][cX3H][cX3H][cX3]12),$([CH2X4][cX3]1[cX3H][cX3H][cX3]([OHX2,OH0X1-])[cX3H][cX3H]1),$([CHX4]([CH3X4])[CH3X4])])[CX3](=[OX1])[OX2H,OX1-,N])])]
"
